Year,Canton,Id Of Animal Category,Genetically Modified,Degree of severity 0,Degree of severity 1,Degree of severity 2,Degree of severity 3,Id Experiment Category,Id Of Disease Category,Id Of Institute,Id Of Legal Restriction,Number Of Animals Used For The First Time
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_53,disease_3,institute_4,legal_3,0
2013,BL,animal_1,gm_0,0,0,0,0,experiment_6,disease_3,institute_4,legal_4,0
2013,BL,animal_1,gm_0,0,0,0,40,experiment_2,disease_14,institute_4,legal_4,40
2013,BL,animal_1,gm_0,0,0,0,590,experiment_2,disease_13,institute_4,legal_4,590
2013,BL,animal_1,gm_0,0,0,157,2,experiment_2,disease_14,institute_4,legal_4,159
2013,BL,animal_1,gm_0,0,0,243,0,experiment_2,disease_14,institute_4,legal_4,243
2013,BL,animal_1,gm_0,0,0,369,4,experiment_2,disease_14,institute_4,legal_4,373
2013,BL,animal_1,gm_0,0,10656,0,0,experiment_2,disease_14,institute_4,legal_3,10656
2013,BL,animal_1,gm_0,0,16,0,0,experiment_2,disease_12,institute_4,legal_4,16
2013,BL,animal_1,gm_1,0,17,10,48,experiment_2,disease_13,institute_4,legal_4,75
2013,BL,animal_1,gm_0,0,181,0,0,experiment_2,disease_14,institute_4,legal_4,181
2013,BL,animal_1,gm_0,0,20,11,10,experiment_2,disease_14,institute_4,legal_4,41
2013,BL,animal_1,gm_0,0,22,0,0,experiment_51,disease_14,institute_4,legal_3,22
2013,BL,animal_1,gm_0,0,22,0,11,experiment_2,disease_14,institute_4,legal_4,33
2013,BL,animal_1,gm_1,0,390,0,0,experiment_51,disease_14,institute_4,legal_3,390
2013,BL,animal_1,gm_0,0,4,37,0,experiment_2,disease_14,institute_4,legal_4,41
2013,BL,animal_1,gm_0,0,54,0,0,experiment_4,disease_3,institute_4,legal_3,54
2013,BL,animal_1,gm_0,0,6,0,0,experiment_6,disease_3,institute_4,legal_4,6
2013,BL,animal_1,gm_0,0,6,308,0,experiment_2,disease_14,institute_4,legal_4,314
2013,BL,animal_1,gm_0,0,68,0,0,experiment_2,disease_14,institute_4,legal_4,68
2013,BL,animal_1,gm_0,0,9,0,0,experiment_51,disease_14,institute_4,legal_3,9
2013,BL,animal_1,gm_0,1,0,0,0,experiment_4,disease_3,institute_2,legal_4,1
2013,BL,animal_1,gm_0,1,0,695,19,experiment_2,disease_14,institute_4,legal_4,715
2013,BL,animal_1,gm_0,11,281,0,0,experiment_53,disease_14,institute_4,legal_3,292
2013,BL,animal_1,gm_0,12,247,72,0,experiment_2,disease_14,institute_4,legal_4,331
2013,BL,animal_1,gm_0,13,584,86,29,experiment_51,disease_14,institute_4,legal_3,712
2013,BL,animal_1,gm_0,167,17,0,0,experiment_2,disease_13,institute_4,legal_4,184
2013,BL,animal_1,gm_0,2,2,0,0,experiment_51,disease_14,institute_4,legal_4,4
2013,BL,animal_1,gm_0,200,752,0,0,experiment_2,disease_14,institute_4,legal_4,952
2013,BL,animal_1,gm_0,202,86,75,61,experiment_2,disease_14,institute_4,legal_4,424
2013,BL,animal_1,gm_0,34,83,0,0,experiment_2,disease_14,institute_4,legal_4,117
2013,BL,animal_1,gm_0,37,0,30,3,experiment_2,disease_12,institute_4,legal_4,70
2013,BL,animal_1,gm_0,4,1,237,67,experiment_2,disease_14,institute_4,legal_4,309
2013,BL,animal_1,gm_0,4,16,0,0,experiment_2,disease_12,institute_4,legal_4,20
2013,BL,animal_1,gm_0,4,200,0,0,experiment_51,disease_14,institute_4,legal_3,204
2013,BL,animal_1,gm_0,40,0,210,0,experiment_2,disease_14,institute_4,legal_4,250
2013,BL,animal_1,gm_0,412,26,0,0,experiment_2,disease_14,institute_4,legal_4,435
2013,BL,animal_1,gm_0,56,13,0,0,experiment_4,disease_3,institute_7,legal_4,46
2013,BL,animal_1,gm_0,56,287,10,0,experiment_2,disease_14,institute_4,legal_4,353
