Id Of Animal Category,DE,FR,IT,EN
animal_0,unbekannt,inconnu,sconosciuto,unknown
animal_1,Mäuse,souris,topi,mice
animal_2,Ratten,rats,ratti,rats
animal_3,Primaten,primates,primati,primates
animal_4,Hamster,hamsters,criceti,hamsters
animal_5,Vögel (inkl. Geflügel),oiseaux (y compris volaille),uccelli (incl. pollame),birds (incl. poultry)
animal_6,Kaninchen,lapins,conigli,rabbits
animal_7,Katzen,chats,gatti,cats
animal_8,Meerschweinchen,cobayes,cavie,guinea pigs
animal_9,Hunde,chiens,cani,dogs
animal_10,Fische,poissons,pesci,fish
animal_11,Amphibien,amphibiens,anfibi,amphibians
animal_12,Rindvieh,bovins,bovini,cattle
animal_13,Schweine,porcs,suini,pigs
animal_14,Schafe/Ziegen,moutons/chèvres,pecore/capre,sheep/goats
animal_15,Andere Nager,autres rongeurs,altri roditori,other rodents
animal_16,Pferde,chevaux,cavalli,horses
animal_17,Wirbellose,invertébrés,invertebrati,invertebrates
animal_18,Diverse Säuger,divers mammifères,vari mammiferi,various mammals
