Year,Category,Count
2014,ANIMALS_USED,606505
2014,BRED,1047992
2014,FISH_GEN_ENGINEERED,30443
2014,FISH_TOTAL,67786
2014,IMPORTED,298042
2014,MICE_GEN_ENGINEERED,780071
2014,MICE_TOTAL,1187442
2014,OTHER_TOTAL,7598
2014,RATS_GEN_ENGINEERED,2511
2014,RATS_TOTAL,83208
2014,SUM,1346034
2015,ANIMALS_USED,682333
2015,BRED,1303083
2015,FISH_GEN_ENGINEERED,40053
2015,FISH_TOTAL,67276
2015,IMPORTED,288111
2015,MICE_GEN_ENGINEERED,1098432
2015,MICE_TOTAL,1444659
2015,OTHER_TOTAL,6211
2015,RATS_GEN_ENGINEERED,4366
2015,RATS_TOTAL,73048
2015,SUM,1591194
2016,ANIMALS_USED,629773
2016,BRED,1092156
2016,FISH_GEN_ENGINEERED,31402
2016,FISH_TOTAL,76179
2016,IMPORTED,288454
2016,MICE_GEN_ENGINEERED,780314
2016,MICE_TOTAL,1225018
2016,OTHER_TOTAL,9319
2016,RATS_GEN_ENGINEERED,2918
2016,RATS_TOTAL,70094
2016,SUM,1380610
2017,ANIMALS_USED,614581
2017,BRED,1110068
2017,FISH_GEN_ENGINEERED,35628
2017,FISH_TOTAL,64047
2017,IMPORTED,286656
2017,MICE_GEN_ENGINEERED,890496
2017,MICE_TOTAL,1254527
2017,OTHER_TOTAL,11983
2017,RATS_GEN_ENGINEERED,4151
2017,RATS_TOTAL,66167
2017,SUM,1396724
2018,ANIMALS_USED,586643
2018,BRED,1061891
2018,FISH_GEN_ENGINEERED,48670
2018,FISH_TOTAL,74874
2018,IMPORTED,267634
2018,MICE_GEN_ENGINEERED,862319
2018,MICE_TOTAL,1186618
2018,OTHER_TOTAL,6616
2018,RATS_GEN_ENGINEERED,2815
2018,RATS_TOTAL,61417
2018,SUM,1329525
2019,ANIMALS_USED,572069
2019,BRED,1046877
2019,FISH_GEN_ENGINEERED,41630
2019,FISH_TOTAL,71989
2019,IMPORTED,253203
2019,MICE_GEN_ENGINEERED,864725
2019,MICE_TOTAL,1155792
2019,OTHER_TOTAL,9290
2019,RATS_GEN_ENGINEERED,3094
2019,RATS_TOTAL,63009
2019,SUM,1300080
2020,ANIMALS_USED,556107
2020,BRED,1064704
2020,FISH_GEN_ENGINEERED,142733
2020,FISH_TOTAL,198247
2020,IMPORTED,231787
2020,MICE_GEN_ENGINEERED,777512
2020,MICE_TOTAL,1027696
2020,OTHER_TOTAL,19093
2020,RATS_GEN_ENGINEERED,3084
2020,RATS_TOTAL,51455
2020,SUM,1296491
2021,ANIMALS_USED,574673
2021,BRED,1053788
2021,FISH_GEN_ENGINEERED,123970
2021,FISH_TOTAL,156263
2021,IMPORTED,244233
2021,MICE_GEN_ENGINEERED,814040
2021,MICE_TOTAL,1069286
2021,OTHER_TOTAL,24620
2021,RATS_GEN_ENGINEERED,3563
2021,RATS_TOTAL,47852
2021,SUM,1298021
2022,ANIMALS_USED,585991
2022,BRED,1040015
2022,FISH_GEN_ENGINEERED,104911
2022,FISH_TOTAL,158746
2022,IMPORTED,222368
2022,MICE_GEN_ENGINEERED,799712
2022,MICE_TOTAL,1030183
2022,OTHER_TOTAL,26507
2022,RATS_GEN_ENGINEERED,3650
2022,RATS_TOTAL,46947
2022,SUM,1262383
2023,ANIMALS_USED,595305
2023,BRED,996864
2023,FISH_GEN_ENGINEERED,112978
2023,FISH_TOTAL,153405
2023,IMPORTED,216651
2023,MICE_GEN_ENGINEERED,749850
2023,MICE_TOTAL,999498
2023,OTHER_TOTAL,16635
2023,RATS_GEN_ENGINEERED,1917
2023,RATS_TOTAL,43977
2023,SUM,1213515
2024,ANIMALS_USED,522636
2024,BRED,925836
2024,FISH_GEN_ENGINEERED,108368
2024,FISH_TOTAL,151982
2024,IMPORTED,216925
2024,MICE_GEN_ENGINEERED,722308
2024,MICE_TOTAL,939838
2024,OTHER_TOTAL,12724
2024,RATS_GEN_ENGINEERED,1537
2024,RATS_TOTAL,38217
2024,SUM,1142761
