DE,FR,IT,EN,ID
Andere Gattungen,Autres espèces,Altre specie,Other species,OTHER_TOTAL
Mäuse,Souris,Topi,Mice,MICE_TOTAL
Fische,Poissons,Pesci,Fish,FISH_TOTAL
Ratten,Rats,Ratti,Rats,RATS_TOTAL
Alle,Total,Totale,Total,SUM
in Tierversuchen eingesetzte Tiere,Animaux utilisés dans les expériences,Animali utilizzati negli esperimenti,Animals used in experiments,ANIMALS_USED
Mäuse gentechnisch verändert,Souris génétiquement modifiées,Topi geneticamente modificati,Genetically modified mice,MICE_GEN_ENGINEERED
Fische gentechnisch verändert,Poissons génétiquement modifiés,Pesci geneticamente modificati,Genetically modified fish,FISH_GEN_ENGINEERED
Ratten gentechnisch verändert,Rats génétiquement modifiés,Ratti geneticamente modificati,Genetically modified rats,RATS_GEN_ENGINEERED
Gezüchtet,Gezüchtet,Gezüchtet,Bred,BRED
Importiert,Importiert,Importiert,Imported,IMPORTED
