Year,AnimalSpecies,Origin,Count
2014,Mäuse-wt,gezüchtet,211417
2014,Mäuse-gm,gezüchtet,765327
2014,Ratten-wt,gezüchtet,11396
2014,Rats gm,gezüchtet,1942
2014,andere Labornager,gezüchtet,5197
2014,Kaninchen,gezüchtet,68
2014,Kaninchen-gm,gezüchtet,0
2014,Hunde,gezüchtet,0
2014,Katzen,gezüchtet,20
2014,Primaten,gezüchtet,7
2014,Fische-wt,gezüchtet,23661
2014,Fische-gm,gezüchtet,28957
2014,Mäuse-wt,importiert,195954
2014,Mäuse-gm,importiert,14744
2014,Ratten-wt,importiert,69301
2014,Rats gm,importiert,569
2014,andere Labornager,importiert,1117
2014,Kaninchen,importiert,768
2014,Kaninchen-gm,importiert,3
2014,Hunde,importiert,357
2014,Katzen,importiert,58
2014,Primaten,importiert,3
2014,Fische-wt,importiert,13682
2014,Fische-gm,importiert,1486
2015,Mäuse-wt,gezüchtet,164476
2015,Mäuse-wt,importiert,181751
2015,Mäuse-gm,gezüchtet,1062910
2015,Mäuse-gm,importiert,35522
2015,Ratten-wt,gezüchtet,8098
2015,Ratten-wt,importiert,60584
2015,Rats gm,gezüchtet,2484
2015,Rats gm,importiert,1882
2015,andere Labornager,gezüchtet,4831
2015,andere Labornager,importiert,618
2015,Kaninchen,gezüchtet,135
2015,Kaninchen,importiert,420
2015,Hunde,gezüchtet,6
2015,Hunde,importiert,142
2015,Katzen,gezüchtet,22
2015,Katzen,importiert,20
2015,Primaten,gezüchtet,13
2015,Primaten,importiert,4
2015,Fische-wt,gezüchtet,25858
2015,Fische-wt,importiert,1365
2015,Fische-gm,gezüchtet,34250
2015,Fische-gm,importiert,5803
2016,Andere Labornager,gezüchtet,158
2016,Andere Labornager,importiert,226
2016,Amphibians,gezüchtet,750
2016,Amphibians,importiert,239
2016,Wildtiere,gezüchtet,1632
2016,Wildtiere,importiert,0
2016,Nutztiere,gezüchtet,1836
2016,Nutztiere,importiert,115
2016,Geflügel,gezüchtet,544
2016,Geflügel,importiert,2903
2016,Reptiles,gezüchtet,0
2016,Reptiles,importiert,0
2016,Mäuse-wt,gezüchtet,251162
2016,Mäuse-wt,importiert,193542
2016,Mäuse-gm,gezüchtet,759441
2016,Mäuse-gm,importiert,20873
2016,Ratten-wt,gezüchtet,7474
2016,Ratten-wt,importiert,59702
2016,Ratten gm,gezüchtet,1947
2016,Ratten gm,importiert,971
2016,Meerschweinchen,gezüchtet,99
2016,Meerschweinchen,importiert,285
2016,Kaninchen,gezüchtet,311
2016,Kaninchen,importiert,148
2016,Kaninchen-gm,gezüchtet,0
2016,Kaninchen-gm,importiert,6
2016,Hunde,gezüchtet,0
2016,Hunde,importiert,12
2016,Katzen,gezüchtet,13
2016,Katzen,importiert,24
2016,Primaten,gezüchtet,6
2016,Primaten,importiert,12
2016,Fische-wt,gezüchtet,36087
2016,Fische-wt,importiert,8690
2016,Fische-gm,gezüchtet,30696
2016,Fische-gm,importiert,706
2017,Maus wt,gezüchtet,172672
2017,Maus wt,importiert,191359
2017,Maus gm,gezüchtet,862694
2017,Maus gm,importiert,27802
2017,Meerschweinchen,gezüchtet,20
2017,Meerschweinchen,importiert,239
2017,Gerbilis,gezüchtet,117
2017,Gerbilis,importiert,31
2017,Hamster,gezüchtet,0
2017,Hamster,importiert,260
2017,Ratten wt,gezüchtet,5265
2017,Ratten wt,importiert,56751
2017,Ratten gm,gezüchtet,3141
2017,Ratten gm,importiert,1010
2017,Kaninchen,gezüchtet,68
2017,Kaninchen,importiert,535
2017,Hunde,gezüchtet,7
2017,Hunde,importiert,0
2017,Katzen,gezüchtet,2
2017,Katzen,importiert,0
2017,Primaten,gezüchtet,5
2017,Primaten,importiert,2
2017,Fische-wt,gezüchtet,24743
2017,Fische-wt,importiert,3676
2017,Fische-gm,gezüchtet,32202
2017,Fische-gm,importiert,3426
2017,Dekapoden,gezüchtet,0
2017,Dekapoden,importiert,0
2017,Amphibien,gezüchtet,4000
2017,Amphibien,importiert,39
2017,Reptilien,gezüchtet,206
2017,Reptilien,importiert,20
2017,Rinderartige,gezüchtet,76
2017,Rinderartige,importiert,0
2017,Schafe,gezüchtet,44
2017,Schafe,importiert,0
2017,Ziegen,gezüchtet,14
2017,Ziegen,importiert,0
2017,Pferde,gezüchtet,0
2017,Pferde,importiert,0
2017,Schweine,gezüchtet,2571
2017,Schweine,importiert,58
2017,Lama,gezüchtet,0
2017,Lama,importiert,0
2017,Geflügel,gezüchtet,330
2017,Geflügel,importiert,1440
2017,Wilde Nagetiere,gezüchtet,1444
2017,Wilde Nagetiere,importiert,0
2017,Fledermäuse,gezüchtet,0
2017,Fledermäuse,importiert,0
2017,Vögel (ohne Geflügel),gezüchtet,389
2017,Vögel (ohne Geflügel),importiert,8
2017,Steinbock,gezüchtet,0
2017,Steinbock,importiert,0
2017,Luchs,gezüchtet,0
2017,Luchs,importiert,0
2017,Rothirsch,gezüchtet,0
2017,Rothirsch,importiert,0
2017,Tupaia,gezüchtet,12
2017,Tupaia,importiert,0
2017,diverse Säugetiere,gezüchtet,46
2017,diverse Säugetiere,importiert,0
2018,Maus wt,gezüchtet,151515
2018,Maus wt,importiert,172784
2018,Maus gm,gezüchtet,828739
2018,Maus gm,importiert,33580
2018,Meerschweinchen,gezüchtet,0
2018,Meerschweinchen,importiert,188
2018,Gerbilis,gezüchtet,53
2018,Gerbilis,importiert,41
2018,Hamster,gezüchtet,0
2018,Hamster,importiert,288
2018,Ratten wt,gezüchtet,6950
2018,Ratten wt,importiert,51652
2018,Ratten gm,gezüchtet,2508
2018,Ratten gm,importiert,307
2018,Kaninchen,gezüchtet,99
2018,Kaninchen,importiert,401
2018,Hunde,gezüchtet,0
2018,Hunde,importiert,0
2018,Katzen,gezüchtet,9
2018,Katzen,importiert,24
2018,Primaten,gezüchtet,9
2018,Primaten,importiert,6
2018,Fische-wt,gezüchtet,23175
2018,Fische-wt,importiert,3029
2018,Fische-gm,gezüchtet,43692
2018,Fische-gm,importiert,4978
2018,Dekapoden,gezüchtet,0
2018,Dekapoden,importiert,0
2018,Amphibien,gezüchtet,52
2018,Amphibien,importiert,240
2018,Reptilien,gezüchtet,134
2018,Reptilien,importiert,7
2018,Rinderartige,gezüchtet,74
2018,Rinderartige,importiert,0
2018,Schafe,gezüchtet,35
2018,Schafe,importiert,0
2018,Ziegen,gezüchtet,0
2018,Ziegen,importiert,0
2018,Pferde,gezüchtet,0
2018,Pferde,importiert,0
2018,Schweine,gezüchtet,2523
2018,Schweine,importiert,15
2018,Lama,gezüchtet,0
2018,Lama,importiert,0
2018,Geflügel,gezüchtet,303
2018,Geflügel,importiert,0
2018,Wilde Nagetiere,gezüchtet,1575
2018,Wilde Nagetiere,importiert,94
2018,Fledermäuse,gezüchtet,0
2018,Fledermäuse,importiert,0
2018,Vögel (ohne Geflügel),gezüchtet,351
2018,Vögel (ohne Geflügel),importiert,0
2018,Steinbock,gezüchtet,0
2018,Steinbock,importiert,0
2018,Luchs,gezüchtet,0
2018,Luchs,importiert,0
2018,Rothirsch,gezüchtet,0
2018,Rothirsch,importiert,0
2018,Tupaia,gezüchtet,28
2018,Tupaia,importiert,0
2018,diverse Säugetiere,gezüchtet,67
2018,diverse Säugetiere,importiert,0
2019,Maus wt,gezüchtet,130220
2019,Maus wt,importiert,160847
2019,Maus gm,gezüchtet,831536
2019,Maus gm,importiert,33189
2019,Meerschweinchen,gezüchtet,0
2019,Meerschweinchen,importiert,396
2019,Gerbilis,gezüchtet,104
2019,Gerbilis,importiert,55
2019,Hamster,gezüchtet,0
2019,Hamster,importiert,158
2019,Ratten wt,gezüchtet,10113
2019,Ratten wt,importiert,49802
2019,Ratten gm,gezüchtet,2186
2019,Ratten gm,importiert,908
2019,Kaninchen wt,gezüchtet,14
2019,Kaninchen wt,importiert,405
2019,Kaninchen gm,gezüchtet,0
2019,Kaninchen gm,importiert,9
2019,Hunde,gezüchtet,0
2019,Hunde,importiert,0
2019,Katzen,gezüchtet,2
2019,Katzen,importiert,0
2019,Primaten,gezüchtet,7
2019,Primaten,importiert,0
2019,Fische-wt,gezüchtet,25883
2019,Fische-wt,importiert,4476
2019,Fische-gm,gezüchtet,39188
2019,Fische-gm,importiert,2442
2019,Dekapoden,gezüchtet,0
2019,Dekapoden,importiert,0
2019,Amphibien wt,gezüchtet,0
2019,Amphibien wt,importiert,347
2019,Amphibien gm,gezüchtet,0
2019,Amphibien gm,importiert,30
2019,Reptilien,gezüchtet,289
2019,Reptilien,importiert,32
2019,Rinderartige,gezüchtet,262
2019,Rinderartige,importiert,0
2019,Schafe,gezüchtet,43
2019,Schafe,importiert,0
2019,Ziegen,gezüchtet,24
2019,Ziegen,importiert,0
2019,Pferde,gezüchtet,0
2019,Pferde,importiert,0
