ID,DE,FR,IT,EN
ac2,Frösche - Larven,Grenouilles – larves,Rane - Larve,Frogs - Larvae
ac3,Frösche - Larven gentechnisch verändert,Grenouilles – larves génétiquement modifié,Rane - Larve geneticamente modificato,Frogs - Larvae      genetically modified
ac4,Frösche,Grenouilles,Rane,Frogs
ac5,Frösche gentechnisch verändert,Grenouilles génétiquement modifié,Rane geneticamente modificato,Frogs genetically modified
ac6,Salamander,Salamandres,Salamandre,Salamanders
ac8,Kröten,Crapauds,Rospi,Toads
ac10,Kröten - Larven,Crapauds – larves,Rospi - Larve,Toads - Larvae
ac12,Amphibien gentechnisch verändert,Amphibiens génétiquement modifié,Anfibi geneticamente modificato,Amphibians genetically modified
ac14,Amphibien,Amphibiens,Anfibi,Amphibians
ac15,Amphibien - Larven,Amphibiens - larves,Anfibi - Larve,Amphibians - Larvae
ac18,Strausse,Autruches,Struzzi,Ostriches
ac22,Enten,Canards,Anatre,Ducks
ac24,Gänse,Oies,Oche,Geese
ac26,Hühner - Feten,Poules - fœtus,Polli - Feti,Chicken - Foetus
ac27,Hühner,Poules,Polli,Chicken
ac28,Wachteln,Cailles,Quaglie,Quails
ac31,Singvögel,Oscines,Passeri,Songbirds
ac35,Vögel,Oiseaux,Uccelli,Birds
ac36,Buntbarsche,Cichlidés,Ciclidi,Cichlids
ac41,Buntbarsche - Larven,Cichlidés – larves,Ciclidi - Larve,Cichlid - Larvae
ac44,Stichlinge - Larven,Épinoches – larves,Spinarelli - Larve,Sticklebacks - Larvae
ac46,Stichlinge,Épinoches,Spinarelli,Sticklebacks
ac47,Forellen,Truites,Trote,Trouts
ac49,Zebrafische,Poissons zèbres,Danio rerio,Zebrafish
ac50,Zebrafische gentechnisch verändert,Poissons zèbres génétiquement modifié,Danio rerio geneticamente modificato,Zebrafish genetically modified
ac51,Zebrafische - Larven,Poissons zèbres – larves,Danio rerio - Larve,Zebrafish -      Larvae
ac52,Zebrafische - Larven gentechnisch verändert,Poissons zèbres – larves génétiquement modifié,Danio rerio - Larve geneticamente modificato,Zebrafish - Larvae      genetically modified
ac53,Fische - Larven gentechnisch verändert,Poissons - Larves génétiquement modifié,Pesci - Larve geneticamente modificato,Fish - Larvae genetically modified
ac55,Fische transgene,Poissons transgènes,Pesci transgenici,Fish transgene
ac56,Fische gentechnisch verändert,Poissons génétiquement modifié,Pesci geneticamente modificato,Fish genetically modified
ac57,Fische,Poissons,Pesci,Fish
ac58,Fische gentechnisch verändert,Poissons génétiquement modifié,Pesci geneticamente modificato,Fish genetically modified
