Year,Type,Count,Degree of severity,Canton
2014,ABGELEHNT,4,all,CH
2014,ABGELEHNT,2,all,VD
2014,ABGELEHNT,2,all,ZH
2014,ACTIVE,2469,all,CH
2014,CONTINUATION,323,all,CH
2014,INACTIVE,1170,all,CH
2014,NEW,731,all,CH
2014,REKURS,0,all,CH
2014,REKURS,0,all,VD
2014,REKURS,0,all,ZH
2015,ABGELEHNT,2,all,BE
2015,ABGELEHNT,6,all,CH
2015,ABGELEHNT,1,all,FR
2015,ABGELEHNT,1,all,GE
2015,ABGELEHNT,1,all,VS
2015,ABGELEHNT,1,all,ZH
2015,ACTIVE,2522,all,CH
2015,CONTINUATION,288,all,CH
2015,INACTIVE,1189,all,CH
2015,NEW,703,all,CH
2015,REKURS,0,all,BE
2015,REKURS,0,all,CH
2015,REKURS,0,all,FR
2015,REKURS,0,all,GE
2015,REKURS,0,all,VS
2015,REKURS,0,all,ZH
2016,ABGELEHNT,4,all,CH
2016,ABGELEHNT,4,all,GE
2016,ACTIVE,2430,all,CH
2016,CONTINUATION,304,all,CH
2016,INACTIVE,1192,all,CH
2016,NEW,749,all,CH
2016,REKURS,0,all,CH
2016,REKURS,0,all,GE
2017,ABGELEHNT,1,all,BE
2017,ABGELEHNT,9,all,CH
2017,ABGELEHNT,5,all,GE
2017,ABGELEHNT,1,all,TI
2017,ABGELEHNT,2,all,VD
2017,ACTIVE,2438,all,CH
2017,CONTINUATION,255,all,CH
2017,INACTIVE,1151,all,CH
2017,NEW,687,all,CH
2017,REKURS,0,all,BE
2017,REKURS,0,all,CH
2017,REKURS,0,all,GE
2017,REKURS,0,all,TI
2017,REKURS,0,all,VD
2018,ABGELEHNT,9,all,CH
2018,ABGELEHNT,3,all,GE
2018,ABGELEHNT,1,all,TG
2018,ABGELEHNT,3,all,VD
2018,ABGELEHNT,2,all,ZH
2018,ACTIVE,2423,all,CH
2018,CONTINUATION,321,all,CH
2018,INACTIVE,1058,all,CH
2018,NEW,637,all,CH
2018,REKURS,0,all,CH
2018,REKURS,0,all,GE
2018,REKURS,0,all,TG
2018,REKURS,0,all,VD
2018,REKURS,0,all,ZH
2019,ABGELEHNT,1,all,BE
2019,ABGELEHNT,5,all,CH
2019,ABGELEHNT,1,all,GE
2019,ABGELEHNT,0,all,VD
2019,ABGELEHNT,3,all,ZH
2019,ACTIVE,2370,all,CH
2019,CONTINUATION,304,all,CH
2019,INACTIVE,895,all,CH
2019,NEW,630,all,CH
2019,REKURS,0,all,BE
2019,REKURS,1,all,CH
2019,REKURS,0,all,GE
2019,REKURS,1,all,VD
2019,REKURS,0,all,ZH
2020,ABGELEHNT,7,all,CH
2020,ABGELEHNT,4,all,FR
2020,ABGELEHNT,1,all,GE
2020,ABGELEHNT,1,all,GR
2020,ABGELEHNT,1,all,VD
2020,ACTIVE,2286,all,CH
2020,CONTINUATION,0,0,AG
2020,CONTINUATION,0,1,AG
2020,CONTINUATION,4,2,AG
2020,CONTINUATION,0,3,AG
2020,CONTINUATION,4,all,AG
2020,CONTINUATION,11,0,BE
2020,CONTINUATION,14,1,BE
2020,CONTINUATION,15,2,BE
2020,CONTINUATION,5,3,BE
2020,CONTINUATION,45,all,BE
2020,CONTINUATION,0,0,BL
2020,CONTINUATION,1,1,BL
2020,CONTINUATION,5,2,BL
