year,canton,diseasesGroup,diseases,species,count
1991,NE,Epidemics to be eradicated,Rabies,Marten,2
1991,LU,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,1
1991,AR,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,2
1991,BE,Epidemics to be fought,European foulbrood of honey bees,Bees,2
1991,TI,Epidemics to be fought,Leptospirosis,Cattle,1
1991,AG,Epidemics to be fought,American foulbrood of honey bees,Bees,2
1991,JU,Epidemics to be supervised,Q fever,Cattle,4
1991,AG,Epidemics to be fought,Salmonellosis,Chicken,2
1991,TG,Epidemics to be eradicated,Tuberculosis / Mycobacteriosis,Cattle,1
1991,SG,Epidemics to be fought,Leptospirosis,Cattle,1
1991,GR,Epidemics to be supervised,Q fever,Cattle,1
1991,TI,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,3
1991,JU,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,18
1991,AI,Epidemics to be fought,Salmonellosis,Chicken,1
1991,ZH,Epidemics to be supervised,Varrosis of honey bees,Bees,3
1991,SZ,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,1
1991,UR,Epidemics to be supervised,Q fever,Cattle,3
1991,VD,Epidemics to be fought,American foulbrood of honey bees,Bees,5
1991,SG,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,1
1991,BE,Epidemics to be eradicated,Rabies,Cattle,1
1991,VS,Epidemics to be fought,American foulbrood of honey bees,Bees,9
1991,TI,Epidemics to be fought,American foulbrood of honey bees,Bees,6
1991,TI,Epidemics to be fought,Leptospirosis,Goat,1
1991,FR,Epidemics to be fought,American foulbrood of honey bees,Bees,4
1991,GR,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,1
1991,VS,Epidemics to be supervised,Rabbit haemorrhagic disease,Hare,1
1991,NE,Epidemics to be eradicated,Rabies,Fox,25
1991,LU,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,1
1991,FR,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,1
1991,BE,Epidemics to be eradicated,Rabies,Marten,4
1991,NE,Epidemics to be eradicated,Rabies,Cat,1
1991,SG,Epidemics to be fought,Avian chlamydiosis,Pigeon,1
1991,VS,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,1
1991,SZ,Epidemics to be supervised,Q fever,Cattle,1
1991,BE,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,3
1991,FR,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,3
1991,ZH,Epidemics to be fought,Avian chlamydiosis,Parrot,4
1991,VD,Epidemics to be supervised,Blackleg,Cattle,1
1991,NW,Epidemics to be fought,Salmonellosis,Cattle,3
1991,SZ,Epidemics to be fought,Sheep mange,Sheep,15
1991,FR,Epidemics to be fought,Salmonellosis,Other wild bird,1
1991,AR,Epidemics to be fought,Leptospirosis,Cattle,10
1991,AG,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,5
1991,BE,Epidemics to be supervised,Varrosis of honey bees,Bees,1
1991,AR,Epidemics to be fought,Avian chlamydiosis,Parrot,1
1991,ZH,Epidemics to be supervised,Q fever,Cattle,13
1991,LU,Epidemics to be fought,American foulbrood of honey bees,Bees,3
1991,FR,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,3
1991,TG,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,11
1991,SZ,Epidemics to be eradicated,Scrapie,Sheep,1
1991,VD,Epidemics to be fought,Salmonellosis,Pig,1
1991,VD,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,2
1991,SO,Epidemics to be eradicated,Rabies,Fox,1
1991,BE,Epidemics to be eradicated,Rabies,Badger,1
1991,VS,Epidemics to be supervised,Varrosis of honey bees,Bees,2
1991,SH,Epidemics to be fought,Salmonellosis,Cattle,1
1991,BE,Epidemics to be supervised,Q fever,Goat,1
1991,SG,Epidemics to be supervised,Q fever,Cattle,20
1991,BL,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,1
1991,FR,Epidemics to be fought,Leptospirosis,Cattle,36
1991,GL,Epidemics to be supervised,Q fever,Cattle,1
1991,AG,Epidemics to be fought,Avian chlamydiosis,Parrot,1
1991,AG,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,1
1991,SZ,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,1
1991,ZG,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,1
1991,BE,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,3
1991,ZH,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,3
1991,ZG,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,2
1991,SH,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,1
1991,SO,Epidemics to be supervised,Blackleg,Cattle,1
1991,VD,Epidemics to be fought,Leptospirosis,Cattle,1
1991,TI,Highly contagious epidemics,Newcastle disease,Pigeon,1
1991,TI,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,1
1991,BE,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,6
1991,AI,Epidemics to be supervised,Q fever,Cattle,3
1991,NE,Epidemics to be fought,Salmonellosis,Dog,1
1991,BE,Epidemics to be fought,Sheep mange,Sheep,14
1991,AG,Epidemics to be eradicated,Rabies,Fox,1
1991,SH,Epidemics to be fought,Salmonellosis,Chicken,1
1991,SZ,Epidemics to be fought,Leptospirosis,Cattle,2
1991,BL,Epidemics to be eradicated,Rabies,Fox,1
1991,BE,Epidemics to be fought,American foulbrood of honey bees,Bees,20
1991,VD,Epidemics to be fought,Infectious pancreatic necrosis,Fish,2
1991,OW,Epidemics to be fought,European foulbrood of honey bees,Bees,1
1991,FR,Epidemics to be supervised,Blackleg,Cattle,3
1991,NW,Epidemics to be supervised,Q fever,Cattle,1
1991,SO,Epidemics to be fought,Salmonellosis,Cattle,1
1991,LU,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,2
1991,VD,Epidemics to be fought,Salmonellosis,Pigeon,1
1991,JU,Epidemics to be eradicated,Rabies,Fox,29
1991,UR,Epidemics to be fought,American foulbrood of honey bees,Bees,3
1991,GR,Epidemics to be fought,American foulbrood of honey bees,Bees,7
1991,VS,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,1
1991,AR,Epidemics to be supervised,Q fever,Cattle,4
1991,SG,Epidemics to be fought,Salmonellosis,Cattle,6
1991,AG,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
1991,OW,Epidemics to be fought,Salmonellosis,Cattle,2
1991,AG,Epidemics to be fought,Leptospirosis,Cattle,1
1991,NE,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,1
1991,NE,Epidemics to be fought,Salmonellosis,Snake,1
1991,NE,Epidemics to be supervised,Q fever,Cattle,2
1991,VD,Epidemics to be fought,Salmonellosis,Cattle,2
1991,BL,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,2
1991,SG,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,1
1991,BE,Epidemics to be fought,Infectious pancreatic necrosis,Fish,2
1991,TI,Epidemics to be fought,Sheep mange,Sheep,33
1991,BE,Epidemics to be fought,Avian chlamydiosis,Pigeon,3
1991,GL,Epidemics to be fought,Avian chlamydiosis,Other wild bird,1
1991,AI,Epidemics to be fought,Leptospirosis,Cattle,1
1991,SG,Epidemics to be fought,Avian chlamydiosis,Parrot,2
1991,SH,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,1
1991,UR,Epidemics to be fought,Sheep mange,Sheep,9
1991,VD,Epidemics to be eradicated,Bovine spongiform encephalitis,Cattle,1
1991,ZH,Epidemics to be fought,Salmonellosis,Cattle,8
1991,SZ,Epidemics to be fought,Salmonellosis,Cattle,3
1991,GR,Epidemics to be fought,European foulbrood of honey bees,Bees,3
1991,BE,Highly contagious epidemics,Newcastle disease,Pigeon,1
1991,TG,Epidemics to be fought,European foulbrood of honey bees,Bees,3
1991,JU,Epidemics to be supervised,Varrosis of honey bees,Bees,1
1991,BE,Epidemics to be fought,Sheep mange,Goat,1
1991,ZH,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,2
1991,AI,Epidemics to be fought,Salmonellosis,Cattle,1
1991,ZH,Epidemics to be fought,European foulbrood of honey bees,Bees,1
1991,LU,Epidemics to be fought,Salmonellosis,Cattle,16
1991,FR,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,1
1991,SO,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,1
1991,VS,Epidemics to be fought,Salmonellosis,Chicken,1
1991,GR,Epidemics to be fought,Sheep mange,Sheep,1
1991,NE,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,4
1991,FR,Epidemics to be supervised,Q fever,Cattle,14
1991,AG,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,2
1991,SZ,Epidemics to be supervised,Blackleg,Cattle,1
1991,VD,Epidemics to be supervised,Rabbit haemorrhagic disease,Rabbit,6
1991,VS,Epidemics to be supervised,Q fever,Cattle,5
1991,FR,Epidemics to be fought,Salmonellosis,Cattle,1
1991,BE,Epidemics to be eradicated,Rabies,Fox,35
1991,TG,Epidemics to be fought,Salmonellosis,Cattle,4
1991,SG,Epidemics to be fought,European foulbrood of honey bees,Bees,4
1991,BE,Epidemics to be supervised,Q fever,Cattle,27
1991,VS,Epidemics to be fought,European foulbrood of honey bees,Bees,4
1991,SH,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,5
1991,SH,Epidemics to be fought,American foulbrood of honey bees,Bees,4
1991,SZ,Epidemics to be supervised,Q fever,Goat,1
1991,SO,Epidemics to be fought,Avian chlamydiosis,Parrot,1
1991,AG,Epidemics to be fought,Salmonellosis,Cattle,8
1991,JU,Epidemics to be fought,American foulbrood of honey bees,Bees,2
1991,BE,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
1991,UR,Epidemics to be fought,Salmonellosis,Cattle,1
1991,BE,Epidemics to be fought,Salmonellosis,Cattle,12
1991,VD,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,4
1991,ZG,Epidemics to be fought,European foulbrood of honey bees,Bees,3
1991,ZH,Epidemics to be fought,Avian chlamydiosis,Pigeon,1
1991,VD,Epidemics to be eradicated,Enzootic bovine leukosis,Cattle,2
1991,AG,Epidemics to be supervised,Q fever,Cattle,6
1991,BE,Epidemics to be fought,Salmonellosis,Chicken,13
1991,SG,Epidemics to be supervised,Varrosis of honey bees,Bees,4
1991,SG,Epidemics to be fought,Sheep mange,Sheep,1
1991,TI,Epidemics to be eradicated,Contagious agalactia,Goat,1
1991,VS,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,3
