ID,DE,FR,IT,EN
pn1,Aubergine,Aubergines,Melanzane,Eggplant
pn2,Basilikum (Ocimum basilicum),Basilic (Ocimum basilicum),Basilico (Ocimum basilicum),Basil (Ocimum basilicum)
pn3,Bohnen (Phaseolus vulgaris),Haricots (Phaseolus vulgaris),Fagioli (Phaseolus vulgaris),Beans (Phaseolus vulgaris)
pn4,Chili (Capsicum spp.),Piments (Capsicum spp.),Peperoncini (Capsicum spp.),Chillies (Capsicum spp.)
pn5,Drachenfrucht (Pitahaya),Fruit du dragon (pitaya),Frutto del drago (Pitahaya),Dragon fruit (pitaya)
pn6,Gotu Kola,Gotu Kola,Gotu Kola,Gotu Kola
pn7,"Granadilla (Passiflora liguralis), Passionsfrucht (Passiflora edulis)","Granadilla (Passiflora liguralis), fruit de la passion (Passiflora edulis)","Granadilla (Passiflora liguralis), frutto della passione (Passiflora edulis)","Granadilla (Passiflora liguralis), passion fruit (Passiflora edulis)"
pn8,Guave (Psidium guajava),Goyave (Psidium guajava),Guava (Psidium guajava),Guava (Psidium guajava)
pn9,Korianderblätter,Feuilles de coriandre,Foglie di coriandolo,Coriander leaves
pn10,Minze,Menthe,Menta,Mint
pn11,Mukunu-Wenna (Alternanthera sessiliflora),Alternanthera sessiliflora,Alternanthera sessiliflora,Sissoo spinach (Alternanthera sessiliflora)
pn12,Okra (Abelmoschus esculentus),Gombo (Abelmoschus esculentus),Gombo (Abelmoschus esculentus),Okra (Abelmoschus esculentus)
pn13,Pfeffer,Poivre,Pepe,Pepper
pn14,Pistazien,Pistaches,Pistacchi,Pistachios
pn15,Moringa oleifera,Moringa oleifera,Moringa oleifera,Moringa oleifera
pn16,Spargelbohne,Dolique asperge,Fagiolo asparago,Asparagus bean
pn17,Tee,Thé,Tè,Tea
