ID,DE,FR,IT,EN
po1,"Ägypten, Äthiopien, Indien, Thailand, Uganda, Vietnam","Égypte, Éthiopie, Inde, Thaïlande, Ouganda, Vietnam","Egitto, Etiopia, India, Thailandia, Uganda, Vietnam","Egypt, Ethiopia, India, Thailand, Uganda, Vietnam"
po2,Äthiopien,Éthiopie,Etiopia,Ethiopia
po3,China,Chine,Cina,China
po4,Dominikanische Republik,République dominicaine,Repubblica Dominicana,Dominican Republic
po5,"Dominikanische Republik, Indien, Kenia, Ruanda, Thailand, Uganda, Vietnam","République dominicaine, Inde, Kenya, Rwanda, Thaïlande, Ouganda, Vietnam","Repubblica Dominicana, India, Kenia, Ruanda, Thailandia, Uganda, Vietnam","Dominican Republic, India, Kenya, Rwanda, Thailand, Uganda, Vietnam"
po6,"Dominikanische Republik, Indien, Thailand, Uganda, Vietnam","République dominicaine, Inde, Thaïlande, Ouganda, Vietnam","Repubblica Dominicana, India, Thailandia, Uganda, Vietnam","Dominican Republic, India, Thailand, Uganda, Vietnam"
po7,Indien,Inde,India,India
po8,"Indien, Iran","Inde, Iran","India, Iran","India, Iran"
po9,"Indien, Kenia, Ruanda, Sri Lanka","Inde, Kenya, Rwanda, Sri Lanka","India, Kenia, Ruanda, Sri Lanka","India, Kenya, Rwanda, Sri Lanka"
po10,"Indien, Peru","Inde, Pérou","India, Perù","India, Peru"
po11,"Indien, Kenia, Ruanda, Thailand, Uganda, Vietnam","Inde, Kenya, Rwanda, Thaïlande, Ouganda, Vietnam","India, Kenia, Ruanda, Thailandia, Uganda, Vietnam","India, Kenya, Rwanda, Thailand, Uganda, Vietnam"
po12,Iran,Iran,Iran,Iran
po13,"Iran, Türkei","Iran, Turquie","Iran, Turchia","Iran, Turkey"
po14,Israel,Israël,Israele,Israel
po15,"Israel, Vietnam","Israël, Vietnam","Israele, Vietnam","Israel, Vietnam"
po16,Kenia,Kenya,Kenia,Kenya
po17,"Kenia, Uganda","Kenya, Ouganda","Kenia, Uganda","Kenya, Uganda"
po18,Kolumbien,Colombie,Colombia,Colombia
po19,"Kolumbien, Thailand","Colombie, Thaïlande","Colombia, Thailandia","Colombia, Thailand"
po20,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
po21,Türkei,Turquie,Turchia,Turkey
po22,Vietnam,Vietnam,Vietnam,Vietnam
