year,campaignID,productName,productCategory,productOrigin,examinationParameter,examinationParameterCategory,numberOfSamplesCollected,numberOfNonCompliantSamples,proportionOfNonCompliance
2024,SPP 2024-1,pn19,pc1,po4,ep18,epc5,40,7,17.5
2024,SPP 2024-2,pn47,pc8,po13,ep10,epc2,31,2,6.45
2024,SPP 2024-3,pn29,pc1,po27,ep18,epc5,33,3,9.09
2024,SPP 2024-4,pn31,pc6,po11,ep13,epc4,28,1,3.57
2024,SPP 2024-5,pn33,pc2,po30,ep18,epc5,27,1,3.7
2024,SPP 2024-6,pn46,pc1,po30,ep18,epc5,28,1,3.57
2024,SPP 2024-7,pn40,pc4,po30,ep13,epc4,29,0,0
2024,SPP 2024-8A,pn18,pc1,po18,ep18,epc5,34,1,2.94
2024,SPP 2024-8B,pn9,pc4,po33,ep23,epc1,20,0,0
2024,SPP 2024-9,pn19,pc1,po4,ep18,epc5,40,12,30
2024,SPP 2024-11,pn36,pc7,po16,ep6,epc2,27,1,3.7
2024,SPP 2024-11,pn36,pc7,po16,ep6,epc5,27,1,3.7
2023,SPP 2023-1,pn2,pc5,po7,ep10,epc2,39,0,0
2023,SPP 2023-2,pn33,pc2,po10,ep18,epc5,43,9,20.93
2023,SPP 2023-3,pn1,pc1,po11,ep18,epc5,41,4,9.76
2023,SPP 2023-4,pn19,pc1,po1,ep18,epc5,40,2,5
2023,SPP 2023-5,pn25,pc8,po29,ep23,epc1,7,1,14.29
2023,SPP 2023-6,pn26,pc6,po30,ep14,epc4,30,1,3.33
2023,SPP 2023-7,pn6,pc1,po8,ep18,epc5,41,1,2.44
2023,SPP 2023-8,pn19,pc1,po1,ep18,epc5,40,10,25
2023,SPP 2023-9,pn11,pc5,po19,ep2,epc1,47,18,38.3
2023,SPP 2023-10,pn37,pc7,po16,ep21,epc2,26,0,0
2023,SPP 2023-11,pn5,pc8,po20,ep25,epc1,40,1,2.5
2022,SPP 2022-1,pn13,pc3,po11,ep13,epc4,33,3,9.09
2022,SPP 2022-2,pn3,pc8,po32,ep8,epc3,33,4,12.12
2022,"SPP 2022-3, 2022-4",pn42,pc1,po17,ep20,epc5,62,3,4.84
2022,"SPP 2022-3, 2022-4",pn42,pc4,po17,ep20,epc5,62,3,4.84
2022,"SPP 2022-3, 2022-4",pn42,pc6,po17,ep20,epc5,62,3,4.84
2022,SPP 2022-5,pn21,pc1,po3,ep18,epc5,40,7,17.5
2022,SPP 2022-6,pn28,pc1,po11,ep18,epc5,46,6,13.04
