ID,DE,FR,IT,EN
pn1,Auberginen,Aubergines,Melanzane,Eggplants
pn2,Babyfeuchttücher,Lingettes humides pour bébés,Salviette detergenti per neonati,Baby wipes
pn3,Barbecue Saucen,Sauces barbecue,Salse per barbecue,Barbecue sauces
pn4,Cashewnüsse,Noix de cajou,Anacardi,Cashew nuts
pn5,Kaugummi,Chewing-gum,Gomme da masticare,Chewing gum
pn6,Chili,Piments,Peperoncini,Chillies
pn7,Schokolade,Chocolat,Cioccolato,Chocolate
pn8,Kakaobutter,Beurre de cacao,Burro di cacao,Cocoa butter
pn9,"Farbige Gewürze (Chili, Paprika, Curry, Sumach,...)","Épices colorées (piment, paprika, curry, sumach,…)","Spezie colorate (peperoncino, paprica, curry, sumach,…)","Coloured spices (chilli, paprika, curry, sumac…)"
pn10,Kosmetikartikel für Babies und Kleinkinder,Produits cosmétiques pour bébés et jeunes enfants,Cosmetici per neonati e bambini in tenera età,Cosmetic products for babies and toddlers
pn11,Kosmetika mit Duftstoffen,Produits cosmétiques contenant des parfums,Cosmetici con fragranze,Cosmetics containing fragrances
pn12,Getrocknete Aprikosen,Abricots secs,Albicocche secche,Dried apricots
pn13,Getrocknete Feigen,Figues séchées,Fichi secchi,Dried figs
pn14,Getrocknete Sultaninen,Raisins secs,Uva sultanina,Dried sultanas
pn15,Hart- und Weichweizen,Blé dur et blé tendre,Grano duro e tenero,Durum wheat and common wheat
pn16,Schminkprodukte für die Augen,Produits de maquillage pour les yeux,Prodotti per il trucco degli occhi,Eye makeup products
pn17,Nahrungsergänzungsmittel,Compléments alimentaires,Integratori alimentari,Food supplements
pn18,"Frische Chili, Peperoni, Auberginen und Zucchetti","Piments frais, poivrons, aubergines et courgettes","Peperoncini freschi, peperoni, melanzane e zucchine","Fresh chillies, peppers, eggplants and courgettes"
pn19,Früchte und Gemüse,Fruits et légumes,Frutta e verdura,Fruits and vegetables
pn20,Früchte und Gemüse mit verstärkten Kontrolle (via Strasse importiert),Fruits et légumes concernés par les contrôles renforcés (importés par la route),Frutta e verdura oggetto di controlli approfonditi (importati via strada),Fruits and vegetables affected by more stringent controls (imported by road)
pn21,Früchte und Gemüse nicht durch verstärkten Kontrollen betroffen,Fruits et légumes non concernés par les contrôles renforcés,Frutta e verdura non oggetto di controlli approfonditi,Fruits and vegetables not affected by more stringent controls
pn22,Natürliches Mineralwasser,Eau minérale naturelle,Acqua minerale naturale,Natural mineral water
pn23,Bio exotische Früchte,Fruits exotiques bio,Frutta esotica biologica,Organic tropical fruits
pn24,Austern und Muscheln,Huîtres et moules,Ostriche e molluschi bivalvi,Oysters and mussels
pn25,Palmöl,Huile de palme,Olio di palma,Palm oil
pn26,Erdnüsse und Hartschalenobst geschält,Arachides et fruits à coque décortiqués,Arachidi e frutta oleaginosa sgusciata,Peanuts and shelled nuts
pn27,Peperoni,Poivrons,Peperoni,Peppers
pn28,Peperoni und Auberginen,Poivrons et aubergines,Peperoni e melanzane,Peppers and eggplants
pn29,"Peperoni, Auberginen und Produkte mit Umgehungsverkehr","Poivrons, aubergines et produits concernés par les contrôles renforcés (trafic de contournement)","Melanzane, peperoni e prodotti con traffico di aggiramento","Peppers, eggplants and products with circumvention traffic"
pn30,Parfüms und Toilettenwässer,Parfums et eaux de toilette,Profumi e acque da toeletta,Perfumes and eau de toilette
pn31,Pistazien,Pistaches,Pistacchi,Pistachios
pn32,Proteinpulver,Protéines en poudre,Polveri proteiche,Protein powder
pn33,"Pseudogetreide wie Quinoa, Chia, Amarant, Buchweizen","Pseudo-céréales comme le quinoa, le chia, l’amarante, le sarrasin","Pseudocereali come quinoa, chia, amaranto, grano saraceno","Pseudocereals such as quinoa, chia, amaranth, buckwheat"
pn34,Reis,Riz,Riso,Rice
pn35,Sesam- und Humusprodukte,Produits au sésame et au houmous,Prodotti a base di sesamo e hummus,Sesame seeds and hummus
pn36,Sesam- und Leinsamen,Graines de sésame et de lin,Semi di sesamo e di lino,Sesame seeds and linseeds
pn37,"Sesam-, Leinsamen und Johannisbrotkernmehl","Graines de sésame, graines de lin et farine de graines de caroube","Semi di sesamo, di lino e farina di semi di carrube","Sesame seeds, linseeds and locust bean gum"
pn38,Shampoo und Duschgel,Shampoing et gel douche,Shampoo e docciaschiuma,Shampoo and shower gel
pn39,Soja,Soja,Soia,Soy
pn40,Gewürze,Épices,Spezie,Spices
pn41,"Gewürze wie Paprika, Chili, Pfeffer, Muskatnuss, Ingwer, Kurkuma","Épices comme paprika, piment, poivre, noix de muscade, gingembre, curcuma","Spezie come paprica, peperoncino, pepe, noce moscata, zenzero, curcuma","Spices such as paprika, chilli, pepper, nutmeg, ginger, turmeric"
pn42,"Gewürze, Gemüse und Nüsse","Épices, légumes et fruits à coque","Spezie, verdura e frutta oleaginosa","Spices, vegetables and nuts"
pn43,Tafeltrauben,Raisins de table,Uva da tavola,Table grapes
pn44,Tee,Thé,Tè,Tea
pn45,Tomaten,Tomates,Pomodori,Tomatoes
pn46,"Tropische Früchte wie Passionsfrucht, Granatäpfel und Wurzelgemüse","Fruits tropicaux comme fruit de la passion, grenade et légumes-racines","Frutta esotica come melograno, frutto della passione e tuberi","Tropical fruits such as passion fruit, pomegranate and root vegetables"
pn47,Rohmilchweichkäse,Fromages au lait cru à pâte molle,Formaggi di latte crudo a pasta molle,Unpasteurised soft cheese
