ID,DE,FR,IT,EN
po1,Asien,Asie,Asia,Asia
po2,"Asien, Afrika","Asie, Afrique","Asia, Africa","Asia, Africa"
po3,"Asien, Dominikanische Republik","Asie, République dominicaine","Asia, Repubblica Dominicana","Asia, Dominican Republic"
po4,bestimmte Importeure und Versender,Certains importateurs et expéditeurs,Determinati importatori e speditori,Certain importers and shippers
po5,EU,UE,UE,EU
po6,EU und Türkei,UE et Turquie,UE e Turchia,EU and Turkey
po7,Europa,Europe,Europa,Europe
po8,Fokus China,Chine en priorité,In particolare Cina,Focus on China
po9,"Fokus China, weltweit ohne EU","Chine en priorité, monde entier sauf UE","Focus Cina, tutto il mondo senza UE","Focus on China, worldwide excluding EU"
po10,Fokus Südamerika,Amérique du Sud en priorité,In particolare Sud America,Focus on South America
po11,Fokus Türkei,Turquie en priorité,In particolare Turchia,Focus on Turkey
po12,"Fokus Türkei, weltweit ohne EU","Turquie en priorité, monde entier sauf UE","In particolare Turchia, tutto il mondo senza UE","Focus on Turkey, worldwide excluding EU"
po13,Frankreich,France,Francia,France
po14,"HU, FR, CA, IT, ES, GR, MA, TN","HU, FR, CA, IT, ES, GR, MA, TN","HU, FR, CA, IT, ES, GR, MA, TN","HU, FR, CA, IT, ES, GR, MA, TN"
po15,Indien,Inde,India,India
po16,"Indien, Thailand, China, Uganda","Inde, Thaïlande, Chine, Ouganda","India, Thailandia, Cina, Uganda","India, Thailand, China, Uganda"
po17,"Indien, Türkei, China","Inde, Turquie, Chine","India, Turchia, Cina","India, Turkey, China"
po18,"ohne EU, bestimmte Importeure","Sauf UE, certains importateurs","Non UE, determinati importatori","non-EU, certain importers"
po19,"ausserhalb EU, Fokus Türkei","Pays hors UE, Turquie en priorité","Al di fuori dell'UE, in particolare Turchia","outside EU, focus on Turkey"
po20,"ausserhalb EU, Fokus UK","Pays hors UE, Royaume-Uni en priorité","Al di fuori dell'UE, in particolare UK","outside EU, focus on UK"
po21,ausserhalb EU,Pays hors UE,Al di fuori dell’UE,outside of EU
po22,ausserhalb Europa,Pays non européens,Paesi extraeuropei,outside of Europe
po23,ausgewählte Länder,Sélection de pays,Determinati Paesi,selected countries
po24,"Sri Lanka, Indien, Äthiopien, Indonesien","Sri Lanka, Inde, Éthiopie, Indonésie","Sri Lanka, India, Etiopia, Indonesia","Sri Lanka, India, Ethiopia, Indonesia"
po25,Drittland via EU Grenze zur Schweiz,Pays tiers via frontière de l’UE avec la Suisse,Paese terzo attraverso il confine UE con la Svizzera,Third country via EU border with Switzerland
po26,Türkei,Turquie,Turchia,Turkey
po27,Türkei und Drittstaaten via EU-Grenze,Turquie et pays tiers via frontière de l’UE avec la Suisse,In particolare Turchia e Paesi terzi attraverso il confine UE con la Svizzera,Turkey and third countries via the EU border
po28,USA,États-Unis,USA,United States
po29,"Westafrika, Asien","Afrique de l’Ouest, Asie","Africa occidentale, Asia","West Africa, Asia"
po30,weltweit,Monde entier,Tutto il mondo,worldwide
po31,"weltweit (ohne DE, IT, FR)","Monde entier (sans DE, IT, FR)","Tutto il mondo (eccetto DE, IT, FR)","worldwide (excluding DE, IT, FR)"
po32,weltweit ohne EU,Monde entier sauf UE,Tutto il mondo senza UE,worldwide excluding EU
po33,"weltweit, bestimmte Importeure","Monde entier, certains importateurs","Tutto il mondo, determinati importatori","worldwide, certain importers"
