TIMESTEP;BVD_AMPEL;N_FARMS
01.11.2024;green;29832
01.11.2024;orange;4586
01.11.2024;red;82
02.11.2024;green;29832
02.11.2024;orange;4586
02.11.2024;red;82
03.11.2024;green;29832
03.11.2024;orange;4586
03.11.2024;red;82
04.11.2024;green;29835
04.11.2024;orange;4584
04.11.2024;red;80
05.11.2024;green;29623
05.11.2024;orange;4820
05.11.2024;red;58
06.11.2024;green;29625
06.11.2024;orange;4818
06.11.2024;red;58
07.11.2024;green;29916
07.11.2024;orange;4507
07.11.2024;red;78
08.11.2024;green;29927
08.11.2024;orange;4496
08.11.2024;red;78
09.11.2024;green;29927
09.11.2024;orange;4496
09.11.2024;red;78
10.11.2024;green;29940
10.11.2024;orange;4481
10.11.2024;red;79
11.11.2024;green;29941
11.11.2024;orange;4479
11.11.2024;red;79
12.11.2024;green;29945
12.11.2024;orange;4477
12.11.2024;red;78
13.11.2024;green;29975
13.11.2024;orange;4448
13.11.2024;red;77
14.11.2024;green;29977
14.11.2024;orange;4447
14.11.2024;red;75
15.11.2024;green;30005
15.11.2024;orange;4422
15.11.2024;red;75
16.11.2024;green;30020
16.11.2024;orange;4405
16.11.2024;red;76
17.11.2024;green;30020
17.11.2024;orange;4405
17.11.2024;red;76
18.11.2024;green;30030
18.11.2024;orange;4396
18.11.2024;red;75
19.11.2024;green;30044
19.11.2024;orange;4382
19.11.2024;red;74
20.11.2024;green;30050
20.11.2024;orange;4377
20.11.2024;red;73
21.11.2024;green;30072
21.11.2024;orange;4355
21.11.2024;red;73
22.11.2024;green;30075
22.11.2024;orange;4352
22.11.2024;red;73
23.11.2024;green;30074
23.11.2024;orange;4352
23.11.2024;red;73
24.11.2024;green;30074
24.11.2024;orange;4352
24.11.2024;red;73
25.11.2024;green;30079
25.11.2024;orange;4347
25.11.2024;red;73
26.11.2024;green;30093
26.11.2024;orange;4332
26.11.2024;red;73
27.11.2024;green;30160
27.11.2024;orange;4270
27.11.2024;red;70
28.11.2024;green;30173
28.11.2024;orange;4257
28.11.2024;red;70
29.11.2024;green;30256
29.11.2024;orange;4177
29.11.2024;red;69
30.11.2024;green;30256
30.11.2024;orange;4177
30.11.2024;red;69
01.12.2024;green;30307
01.12.2024;orange;4126
01.12.2024;red;69
02.12.2024;green;30311
02.12.2024;orange;4124
02.12.2024;red;67
03.12.2024;green;30316
03.12.2024;orange;4122
03.12.2024;red;64
04.12.2024;green;30332
04.12.2024;orange;4106
04.12.2024;red;64
05.12.2024;green;30334
05.12.2024;orange;4104
05.12.2024;red;64
06.12.2024;green;30349
06.12.2024;orange;4083
06.12.2024;red;65
07.12.2024;green;30383
07.12.2024;orange;4046
07.12.2024;red;68
08.12.2024;green;30384
08.12.2024;orange;4046
08.12.2024;red;68
09.12.2024;green;30396
09.12.2024;orange;4036
09.12.2024;red;68
10.12.2024;green;30415
10.12.2024;orange;4017
10.12.2024;red;68
11.12.2024;green;30443
11.12.2024;orange;3991
11.12.2024;red;66
12.12.2024;green;30447
12.12.2024;orange;3987
12.12.2024;red;67
13.12.2024;green;30493
13.12.2024;orange;3942
13.12.2024;red;67
14.12.2024;green;30505
14.12.2024;orange;3932
14.12.2024;red;66
15.12.2024;green;30504
15.12.2024;orange;3933
15.12.2024;red;65
16.12.2024;green;30505
16.12.2024;orange;3932
16.12.2024;red;65
17.12.2024;green;30529
17.12.2024;orange;3908
17.12.2024;red;65
18.12.2024;green;30552
18.12.2024;orange;3888
18.12.2024;red;63
19.12.2024;green;30582
19.12.2024;orange;3863
19.12.2024;red;61
20.12.2024;green;30597
20.12.2024;orange;3844
20.12.2024;red;60
21.12.2024;green;30612
21.12.2024;orange;3829
21.12.2024;red;59
22.12.2024;green;30613
22.12.2024;orange;3828
22.12.2024;red;59
23.12.2024;green;30619
23.12.2024;orange;3827
23.12.2024;red;58
24.12.2024;green;30628
24.12.2024;orange;3819
24.12.2024;red;58
25.12.2024;green;30634
25.12.2024;orange;3813
25.12.2024;red;58
26.12.2024;green;30632
26.12.2024;orange;3815
26.12.2024;red;58
27.12.2024;green;30634
27.12.2024;orange;3814
27.12.2024;red;56
28.12.2024;green;30639
28.12.2024;orange;3809
28.12.2024;red;56
29.12.2024;green;30640
29.12.2024;orange;3808
