"TIMESTEP","BVD_AMPEL","N_FARMS"
"11.01.2024","green","29'315"
"11.01.2024","orange","5'341"
"11.01.2024","red","182"
"12.01.2024","green","29'319"
"12.01.2024","orange","5'337"
"12.01.2024","red","182"
"13.01.2024","green","29'324"
"13.01.2024","orange","5'336"
"13.01.2024","red","181"
"14.01.2024","green","29'343"
"14.01.2024","orange","5'341"
"14.01.2024","red","180"
"15.01.2024","green","29'352"
"15.01.2024","orange","5'345"
"15.01.2024","red","179"
"16.01.2024","green","29'345"
"16.01.2024","orange","5'352"
"16.01.2024","red","179"
"17.01.2024","green","29'338"
"17.01.2024","orange","5'357"
"17.01.2024","red","181"
"18.01.2024","green","29'346"
"18.01.2024","orange","5'346"
"18.01.2024","red","183"
"19.01.2024","green","29'339"
"19.01.2024","orange","5'347"
"19.01.2024","red","184"
"20.01.2024","green","29'337"
"20.01.2024","orange","5'348"
"20.01.2024","red","184"
"21.01.2024","green","28'415"
"21.01.2024","orange","6'275"
"21.01.2024","red","184"
"22.01.2024","green","28'418"
"22.01.2024","orange","6'277"
"22.01.2024","red","184"
"23.01.2024","green","28'418"
"23.01.2024","orange","6'277"
"23.01.2024","red","184"
"24.01.2024","green","28'390"
"24.01.2024","orange","6'102"
"24.01.2024","red","185"
"25.01.2024","green","28'404"
"25.01.2024","orange","6'083"
"25.01.2024","red","185"
"26.01.2024","green","28'404"
"26.01.2024","orange","6'083"
"26.01.2024","red","185"
"27.01.2024","green","28'404"
"27.01.2024","orange","6'083"
"27.01.2024","red","185"
"28.01.2024","green","28'404"
"28.01.2024","orange","6'083"
"28.01.2024","red","185"
"29.01.2024","green","28'404"
"29.01.2024","orange","6'083"
"29.01.2024","red","185"
"30.01.2024","green","28'404"
"30.01.2024","orange","6'083"
"30.01.2024","red","185"
"31.01.2024","green","28'442"
"31.01.2024","orange","6'044"
"31.01.2024","red","182"
"01.02.2024","green","28'455"
"01.02.2024","orange","6'039"
"01.02.2024","red","182"
"02.02.2024","green","28'456"
"02.02.2024","orange","6'039"
"02.02.2024","red","180"
"03.02.2024","green","28'475"
"03.02.2024","orange","6'017"
"03.02.2024","red","181"
"04.02.2024","green","28'479"
"04.02.2024","orange","6'017"
"04.02.2024","red","181"
"05.02.2024","green","28'479"
"05.02.2024","orange","6'019"
"05.02.2024","red","181"
"06.02.2024","green","28'496"
"06.02.2024","orange","6'003"
"06.02.2024","red","181"
"07.02.2024","green","28'506"
"07.02.2024","orange","5'990"
"07.02.2024","red","183"
"08.02.2024","green","28'520"
"08.02.2024","orange","5'978"
"08.02.2024","red","183"
"09.02.2024","green","28'521"
"09.02.2024","orange","5'978"
"09.02.2024","red","181"
"10.02.2024","green","28'545"
"10.02.2024","orange","5'954"
"10.02.2024","red","182"
"11.02.2024","green","28'546"
"11.02.2024","orange","5'952"
"11.02.2024","red","182"
"12.02.2024","green","28'546"
"12.02.2024","orange","5'953"
"12.02.2024","red","182"
"13.02.2024","green","28'565"
"13.02.2024","orange","5'934"
"13.02.2024","red","182"
"14.02.2024","green","28'568"
"14.02.2024","orange","5'930"
"14.02.2024","red","183"
"15.02.2024","green","28'594"
"15.02.2024","orange","5'902"
"15.02.2024","red","183"
"16.02.2024","green","28'628"
"16.02.2024","orange","5'868"
"16.02.2024","red","183"
"17.02.2024","green","28'651"
"17.02.2024","orange","5'843"
"17.02.2024","red","183"
"18.02.2024","green","28'650"
"18.02.2024","orange","5'841"
"18.02.2024","red","184"
"19.02.2024","green","28'654"
"19.02.2024","orange","5'841"
"19.02.2024","red","184"
"20.02.2024","green","28'730"
"20.02.2024","orange","5'765"
"20.02.2024","red","184"
"21.02.2024","green","28'397"
"21.02.2024","orange","6'103"
"21.02.2024","red","180"
"22.02.2024","green","28'445"
"22.02.2024","orange","6'055"
"22.02.2024","red","180"
"23.02.2024","green","28'453"
"23.02.2024","orange","6'049"
"23.02.2024","red","179"
"24.02.2024","green","28'479"
"24.02.2024","orange","6'020"
"24.02.2024","red","179"
"25.02.2024","green","28'490"
"25.02.2024","orange","6'014"
