BVD_AMPEL,TIMESTEP,N_FARMS,diff,total_per_day,percentage
green,2024-11,30254.0,424,34480.0,87.7
green,2024-12,30644.0,390,34482.0,88.9
green,2025-01,30055.0,-589,34437.0,87.3
green,2025-02,30166.0,111,34412.0,87.7
green,2025-03,31988.0,1822,34398.0,93.0
green,2025-04,32671.0,683,34397.0,95.0
green,2025-05,32945.0,274,34377.0,95.8
green,2025-06,33003.0,58,34288.0,96.3
green,2025-07,33079.0,76,34299.0,96.4
green,2025-08,33123.0,44,34304.0,96.6
green,2025-09,33212.0,89,34316.0,96.8
green,2025-10,33575.0,363,34557.0,97.2
green,2025-11,33728.0,153,34573.0,97.6
green,2025-12,33853.0,125,34573.0,97.9
green,2026-01,33464.0,-389,33970.0,98.5
orange,2024-11,4158.0,-409,34480.0,12.1
orange,2024-12,3783.0,-375,34482.0,11.0
orange,2025-01,4330.0,547,34437.0,12.6
orange,2025-02,4199.0,-131,34412.0,12.2
orange,2025-03,2362.0,-1837,34398.0,6.9
orange,2025-04,1682.0,-680,34397.0,4.9
orange,2025-05,1391.0,-291,34377.0,4.0
orange,2025-06,1244.0,-147,34288.0,3.6
orange,2025-07,1179.0,-65,34299.0,3.4
orange,2025-08,1150.0,-29,34304.0,3.4
orange,2025-09,1074.0,-76,34316.0,3.1
orange,2025-10,951.0,-123,34557.0,2.8
orange,2025-11,821.0,-130,34573.0,2.4
orange,2025-12,700.0,-121,34573.0,2.0
orange,2026-01,489.0,-211,33970.0,1.4
red,2024-11,68.0,-14,34480.0,0.2
red,2024-12,55.0,-13,34482.0,0.2
red,2025-01,52.0,-3,34437.0,0.2
red,2025-02,47.0,-5,34412.0,0.1
red,2025-03,48.0,1,34398.0,0.1
red,2025-04,44.0,-4,34397.0,0.1
red,2025-05,41.0,-3,34377.0,0.1
red,2025-06,41.0,0,34288.0,0.1
red,2025-07,41.0,0,34299.0,0.1
red,2025-08,31.0,-10,34304.0,0.1
red,2025-09,30.0,-1,34316.0,0.1
red,2025-10,31.0,1,34557.0,0.1
red,2025-11,24.0,-7,34573.0,0.1
red,2025-12,20.0,-4,34573.0,0.1
red,2026-01,17.0,-3,33970.0,0.1
