TIMESTEP;BVD_AMPEL;N_FARMS
01.11.2024;green;29839
01.11.2024;orange;4575
01.11.2024;red;82
02.11.2024;green;29839
02.11.2024;orange;4575
02.11.2024;red;82
03.11.2024;green;29839
03.11.2024;orange;4575
03.11.2024;red;82
04.11.2024;green;29842
04.11.2024;orange;4573
04.11.2024;red;80
05.11.2024;green;29630
05.11.2024;orange;4809
05.11.2024;red;58
06.11.2024;green;29632
06.11.2024;orange;4807
06.11.2024;red;58
07.11.2024;green;29923
07.11.2024;orange;4496
07.11.2024;red;77
08.11.2024;green;29934
08.11.2024;orange;4485
08.11.2024;red;77
09.11.2024;green;29934
09.11.2024;orange;4485
09.11.2024;red;77
10.11.2024;green;29947
10.11.2024;orange;4470
10.11.2024;red;78
11.11.2024;green;29948
11.11.2024;orange;4468
11.11.2024;red;78
12.11.2024;green;29952
12.11.2024;orange;4466
12.11.2024;red;77
13.11.2024;green;29983
13.11.2024;orange;4436
13.11.2024;red;76
14.11.2024;green;29985
14.11.2024;orange;4435
14.11.2024;red;74
15.11.2024;green;30013
15.11.2024;orange;4410
15.11.2024;red;74
16.11.2024;green;30028
16.11.2024;orange;4393
16.11.2024;red;75
17.11.2024;green;30028
17.11.2024;orange;4393
17.11.2024;red;75
18.11.2024;green;30038
18.11.2024;orange;4384
18.11.2024;red;74
19.11.2024;green;30052
19.11.2024;orange;4370
19.11.2024;red;73
20.11.2024;green;30058
20.11.2024;orange;4365
20.11.2024;red;72
21.11.2024;green;30079
21.11.2024;orange;4343
21.11.2024;red;72
22.11.2024;green;30082
22.11.2024;orange;4340
22.11.2024;red;72
23.11.2024;green;30081
23.11.2024;orange;4340
23.11.2024;red;72
24.11.2024;green;30081
24.11.2024;orange;4340
24.11.2024;red;72
25.11.2024;green;30086
25.11.2024;orange;4335
25.11.2024;red;72
26.11.2024;green;30100
26.11.2024;orange;4320
26.11.2024;red;72
27.11.2024;green;30167
27.11.2024;orange;4258
27.11.2024;red;69
28.11.2024;green;30180
28.11.2024;orange;4245
28.11.2024;red;69
29.11.2024;green;30263
29.11.2024;orange;4165
29.11.2024;red;68
30.11.2024;green;30263
30.11.2024;orange;4165
30.11.2024;red;68
01.12.2024;green;30314
01.12.2024;orange;4114
01.12.2024;red;68
02.12.2024;green;30318
02.12.2024;orange;4112
02.12.2024;red;66
03.12.2024;green;30323
03.12.2024;orange;4110
03.12.2024;red;63
04.12.2024;green;30339
04.12.2024;orange;4094
04.12.2024;red;63
05.12.2024;green;30341
05.12.2024;orange;4092
05.12.2024;red;63
06.12.2024;green;30356
06.12.2024;orange;4071
06.12.2024;red;64
07.12.2024;green;30389
07.12.2024;orange;4035
07.12.2024;red;67
08.12.2024;green;30390
08.12.2024;orange;4035
08.12.2024;red;67
09.12.2024;green;30402
09.12.2024;orange;4025
09.12.2024;red;67
10.12.2024;green;30421
10.12.2024;orange;4006
10.12.2024;red;67
11.12.2024;green;30449
11.12.2024;orange;3980
11.12.2024;red;65
12.12.2024;green;30453
12.12.2024;orange;3976
12.12.2024;red;66
13.12.2024;green;30499
13.12.2024;orange;3931
13.12.2024;red;66
14.12.2024;green;30511
14.12.2024;orange;3921
14.12.2024;red;65
15.12.2024;green;30510
15.12.2024;orange;3922
15.12.2024;red;64
16.12.2024;green;30511
16.12.2024;orange;3921
16.12.2024;red;64
17.12.2024;green;30535
17.12.2024;orange;3897
17.12.2024;red;64
18.12.2024;green;30558
18.12.2024;orange;3877
18.12.2024;red;62
19.12.2024;green;30589
