TIMESTEP,BVD_AMPEL,N_FARMS
2024-01-11,green,29315
2024-01-11,orange,5341
2024-01-11,red,182
2024-01-12,green,29319
2024-01-12,orange,5337
2024-01-12,red,182
2024-01-13,green,29324
2024-01-13,orange,5336
2024-01-13,red,181
2024-01-14,green,29343
2024-01-14,orange,5341
2024-01-14,red,180
2024-01-15,green,29352
2024-01-15,orange,5345
2024-01-15,red,179
2024-01-16,green,29345
2024-01-16,orange,5352
2024-01-16,red,179
2024-01-17,green,29338
2024-01-17,orange,5357
2024-01-17,red,181
2024-01-18,green,29346
2024-01-18,orange,5346
2024-01-18,red,183
2024-01-19,green,29339
2024-01-19,orange,5347
2024-01-19,red,184
2024-01-20,green,29337
2024-01-20,orange,5348
2024-01-20,red,184
2024-01-21,green,28415
2024-01-21,orange,6275
2024-01-21,red,184
2024-01-22,green,28418
2024-01-22,orange,6277
2024-01-22,red,184
2024-01-23,green,28418
2024-01-23,orange,6277
2024-01-23,red,184
2024-01-24,green,28390
2024-01-24,orange,6102
2024-01-24,red,185
2024-01-25,green,28404
2024-01-25,orange,6083
2024-01-25,red,185
2024-01-26,green,28404
2024-01-26,orange,6083
2024-01-26,red,185
2024-01-27,green,28404
2024-01-27,orange,6083
2024-01-27,red,185
2024-01-28,green,28404
2024-01-28,orange,6083
2024-01-28,red,185
2024-01-29,green,28404
2024-01-29,orange,6083
2024-01-29,red,185
2024-01-30,green,28404
2024-01-30,orange,6083
2024-01-30,red,185
2024-01-31,green,28442
2024-01-31,orange,6044
2024-01-31,red,182
2024-02-01,green,28455
2024-02-01,orange,6039
2024-02-01,red,182
2024-02-02,green,28456
2024-02-02,orange,6039
2024-02-02,red,180
2024-02-03,green,28475
2024-02-03,orange,6017
2024-02-03,red,181
2024-02-04,green,28479
2024-02-04,orange,6017
2024-02-04,red,181
2024-02-05,green,28479
2024-02-05,orange,6019
2024-02-05,red,181
2024-02-06,green,28496
2024-02-06,orange,6003
2024-02-06,red,181
2024-02-07,green,28506
2024-02-07,orange,5990
2024-02-07,red,183
2024-02-08,green,28520
2024-02-08,orange,5978
2024-02-08,red,183
2024-02-09,green,28521
2024-02-09,orange,5978
2024-02-09,red,181
2024-02-10,green,28545
2024-02-10,orange,5954
2024-02-10,red,182
2024-02-11,green,28546
2024-02-11,orange,5952
2024-02-11,red,182
2024-02-12,green,28546
2024-02-12,orange,5953
2024-02-12,red,182
2024-02-13,green,28565
2024-02-13,orange,5934
2024-02-13,red,182
2024-02-14,green,28568
2024-02-14,orange,5930
2024-02-14,red,183
2024-02-15,green,28594
2024-02-15,orange,5902
2024-02-15,red,183
2024-02-16,green,28628
2024-02-16,orange,5868
2024-02-16,red,183
2024-02-17,green,28651
2024-02-17,orange,5843
2024-02-17,red,183
2024-02-18,green,28650
2024-02-18,orange,5841
