id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
91,8,Pestizide,pesticides,pesticidi,pesticide,1.5,"[417, 2279, 1499, 56, 1619, 2645, 415, 1397]"
102,6,Blei,Plomb,Piombo,Lead,1.67,"[1137, 1290, 2436, 1836, 996, 2268]"
103,4,GMO (genetisch modifizierter Organismus),OGM (organisme génétiquement modifié),OGM (organismo geneticamente modificato),Genetically modified organism (GMO),1.5,"[1720, 31, 441, 1866]"
66,3,Canabidiol (CBD),Canabidiol (CBD),Canabidiolo (CBD),Canabidiol (CBD),1.33,"[467, 1145, 32]"
93,3,<em>Salmonella </em>spp.,<em>Salmonella </em>spp.,<em>Salmonella </em>spp.,<em>Salmonella </em>spp.,1.33,"[603, 1619, 492]"
128,3,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.33,"[929, 996, 2268]"
63,3,Antibiotika,antibiotiques,antibiotici,antibiotics,1.67,"[1542, 2127, 67]"
390,3,Ethylenoxid,Oxyde d'éthylène,Ossido di etilene,Ethylene oxide,1.0,"[1601, 1619, 1250]"
165,3,Cadmium,Cadmium,Cadmio,Cadmium,1.67,"[1290, 1836, 989]"
58,2,Melatonin,Mélatonine,Melatonina,Melatonin,1.0,"[467, 1993]"
281,2,Ethylendioxid,dioxyde d'éthylène,Ossido di etilene,ethylene dioxide,1.5,"[663, 1192]"
1,2,<em>Escherichia coli</em>,<em>Escherichia coli</em>,<em>Escherichia coli</em>,<em>Escherichia coli</em>,2.0,"[1619, 31]"
454,2,Farbstoffe,Colorant,Colorante,Dye,1.0,"[1619, 2106]"
185,2,Mineralöl,Huile minérale,Olio minerale,Mineral oil,2.0,"[156, 989]"
196,1,Grayanotoxine,Grayanotoxine,Graianotossina,Grayanotoxin,1.0,[225]
374,1,Rhodamin-B,Rhodamine-B,Rhodamina-B,Rhodamine-B,1.0,[1167]
280,1,Ethylendichlord,dichlorure d'éthylène,cloruro di etilene,ethylene dichloride,1.0,[663]
271,1,Weichmacher,Plastifiant,Plastificante,Plasticiser,1.0,[1290]
111,1,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.0,[1619]
203,1,Ochratoxin A (OTA),Ochratoxine A (OTA),Ocratossina A (OTA),Ochratoxin A (OTA),1.0,[1619]
394,1,Pyrrolizidinalkaloide,Alcaloïde pyrrolizidinique,Alcaloide pirrolizidinico,Pyrrolizidine alkaloids,1.0,[1619]
354,1,Tianeptin,Tianeptine,Tianeptina,Tianeptin,1.0,[1100]
247,1,Calciumcarbid,Carbure de calcium,Carburo di calcio,Calcium carbide,2.0,[461]
80,1,Salz,sel,sale,salt,1.0,[1580]
187,1,Arsen,Arsenic,Arsenico,Arsenic,2.0,[1836]
43,1,Titandioxid (TiO<sub>2</sub>),Titandioxide (TiO<sub>2</sub>),Titandioxide (TiO<sub>2</sub>),Titandioxid (TiO<sub>2</sub>),1.0,[1756]
471,1,Aluminiumsulfat,Sulfate d'aluminium,Solfato di alluminio,Aluminum sulfate,1.0,[1756]
230,1,Nitrate,Nitrate,Nitrato,Nitrate,2.0,[633]
197,1,Nitrite,Nitrite,Nitrito,Nitrite,2.0,[633]
45,1,Aspartam,Aspartam,Aspartam,Aspartam,2.0,[691]
290,1,<strong>Saccharin</strong>,<strong>Saccharine</strong>,Saccarina,<strong>Saccharin</strong>,2.0,[691]
344,1,Chrom,Chrome,Cromo,Chromium,1.0,[1017]
26,1,<em>Listeria monocytogenes</em>,<em>Listeria monocytogenes</em>,<em>Listeria monocytogenes</em>,<em>Listeria monocytogenes</em>,2.0,[989]
338,1,glycidyl esters (GEs),glycidyl esters (GEs),glycidyl esters (GEs),glycidyl esters (GEs),2.0,[989]
261,1,<em>Pseudomonas</em>,<em>Pseudomonas</em>,<em>Pseudomonas</em>,<em>Pseudomonas</em>,2.0,[989]
341,1,Schimmelpilze,Moisissure,Muffa,Mold,2.0,[989]
399,1,Natriumhydroxid (kaustische(s) Soda),Hydroxyde de sodium (soude caustique),Idrossido di sodio (soda caustica),Sodium hydroxide (caustic soda),1.0,[1334]
400,1,Wasserstoffperoxid,Peroxyde d'hydrogène,Perossido di idrogeno,Hydrogen peroxide,1.0,[1334]
407,1,Rodentizid,Rodenticide,Rodenticida,Rodenticide,1.0,[1397]
408,1,illegale Drogen,drogues illicites,droghe illecite,illicit drugs,1.0,[1397]
73,1,Tierarzneimittel,Produits pharmaceutiques vétérinaires,Farmaci veterinari,Veterinary pharmaceuticals,2.0,[67]
415,1,monacoline K,monacoline K,monacolina K,monacolin K,1.0,[1454]
202,1,Antibiotikaresistente Milchsäurebakterien,Bactéries lactiques résistantes aux antibiotiques,Batteri lattici resistenti agli antibiotici,Antibiotic-resistant lactic acid bacteria,1.0,[2287]
244,1,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.0,[2287]
522,1,Bisphenol F,Bisphenol F,Bisphenol F,Bisphenol F,1.0,[2384]
130,1,Bisphenol S,Bisphénol S,Bisfenolo S,Bisphenol S,1.0,[2384]
56,1,Aluminium,Aluminium,Alluminio,Aluminium,2.0,[2268]
561,1,<em>Cascabela thevetia</em>,<em>Cascabela thevetia</em>,<em>Cascabela thevetia</em>,<em>Cascabela thevetia</em>,1.0,[2520]
