id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
91,2,Pestizide,pesticides,pesticidi,pesticide,1.0,"[2279, 1619]"
390,2,Ethylenoxid,Oxyde d'éthylène,Ossido di etilene,Ethylene oxide,1.0,"[1601, 1619]"
102,2,Blei,Plomb,Piombo,Lead,2.0,"[1836, 2268]"
103,2,GMO (genetisch modifizierter Organismus),OGM (organisme génétiquement modifié),OGM (organismo geneticamente modificato),Genetically modified organism (GMO),1.0,"[1720, 1866]"
93,1,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.0,[1619]
203,1,Ochratoxin A (OTA),Ochratoxine A (OTA),Ocratossina A (OTA),Ochratoxin A (OTA),1.0,[1619]
111,1,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.0,[1619]
1,1,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,1.0,[1619]
394,1,Pyrrolizidinalkaloide,Alcaloïde pyrrolizidinique,Alcaloide pirrolizidinico,Pyrrolizidine alkaloids,1.0,[1619]
63,1,Antibiotika,antibiotiques,antibiotici,antibiotics,2.0,[2127]
454,1,Farbstoffe,Colorant,Colorante,Dye,1.0,[1619]
80,1,Salz,sel,sale,salt,1.0,[1580]
165,1,Cadmium,Cadmium,Cadmio,Cadmium,2.0,[1836]
187,1,Arsen,Arsenic,Arsenico,Arsenic,2.0,[1836]
128,1,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,2.0,[2268]
56,1,Aluminium,Aluminium,Alluminio,Aluminium,2.0,[2268]
43,1,Titandioxid (TiO2),Titandioxide (TiO2),Titandioxide (TiO2),Titandioxid (TiO2),1.0,[1756]
471,1,Aluminiumsulfat,Sulfate d'aluminium,Solfato di alluminio,Aluminum sulfate,1.0,[1756]
202,1,Antibiotikaresistente Milchsäurebakterien,Bactéries lactiques résistantes aux antibiotiques,Batteri lattici resistenti agli antibiotici,Antibiotic-resistant lactic acid bacteria,1.0,[2287]
244,1,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.0,[2287]
58,1,Melatonin,Mélatonine,Melatonina,Melatonin,1.0,[1993]
