id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
126,56,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.45,"[246, 313, 301, 556, 315, 302, 389, 605, 733, 908, 1288, 170, 815, 1117, 1482, 1491, 1508, 1496, 390, 366, 1345, 1421, 1690, 490, 552, 1745, 266, 1015, 1236, 350, 628, 1011, 931, 1126, 1713, 416, 57, 1239, 284, 457, 614, 796, 822, 953, 952, 1186, 1025, 296, 623, 742, 721, 852, 1420, 1608, 1725, 1634]"
125,44,Mikroplastik,microplastiques,microplastica,microplastics,1.57,"[68, 283, 523, 524, 745, 1043, 580, 1427, 1031, 1740, 1215, 1225, 1316, 1500, 1361, 1586, 325, 1547, 1701, 554, 768, 1030, 1440, 720, 1342, 1670, 1178, 1558, 49, 137, 183, 310, 566, 1079, 680, 710, 779, 1008, 1291, 1280, 1277, 1362, 1235, 1314]"
91,40,Pestizide,pesticides,pesticidi,pesticide,1.23,"[21, 417, 443, 440, 524, 586, 727, 798, 907, 812, 1058, 1365, 1585, 56, 1155, 1538, 1166, 1403, 1619, 620, 1229, 1670, 415, 426, 1511, 91, 778, 1675, 121, 1669, 428, 525, 713, 902, 1283, 1310, 1369, 1387, 460, 905]"
102,36,Blei,Plomb,Piombo,Lead,1.19,"[258, 1633, 440, 480, 775, 1086, 1137, 1365, 1432, 1568, 877, 1130, 1116, 1538, 29, 263, 1492, 130, 750, 701, 898, 1526, 241, 1283, 1341, 1510, 1412, 240, 570, 757, 1103, 1604, 227, 996, 1668, 1715]"
111,36,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.31,"[218, 636, 728, 901, 869, 1171, 1138, 682, 1132, 1457, 1529, 1556, 1562, 1653, 836, 1063, 1619, 1199, 1463, 641, 838, 1591, 1558, 1675, 107, 120, 699, 726, 1169, 1220, 1259, 1276, 1412, 197, 1605, 1626]"
165,31,Cadmium,Cadmium,Cadmio,Cadmium,1.29,"[258, 480, 493, 550, 1095, 812, 1365, 1510, 1521, 877, 1130, 1116, 1538, 263, 768, 130, 750, 392, 532, 898, 1526, 989, 1283, 1341, 757, 570, 1412, 1626, 227, 1668, 1715]"
128,30,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.3,"[533, 929, 1022, 1138, 62, 1447, 1432, 391, 877, 1130, 1417, 263, 984, 1670, 392, 542, 898, 600, 810, 1510, 783, 1216, 100, 1412, 1420, 1604, 1717, 996, 1703, 1715]"
187,22,Arsen,Arsenic,Arsenico,Arsenic,1.23,"[480, 1095, 812, 877, 1492, 178, 750, 921, 201, 392, 532, 1061, 1644, 1510, 1027, 1341, 659, 570, 1014, 1473, 1604, 1715]"
166,16,Bisphenol A (BPA),Bisphénol A (BPA),Bisfenolo A (BPA),Bisphenol A (BPA),1.69,"[346, 782, 820, 1225, 1550, 1698, 263, 542, 891, 1468, 444, 680, 796, 953, 1331, 1451]"
167,14,Quecksilber,Mercure,Mercurio,Mercury,1.07,"[258, 321, 471, 1095, 1185, 772, 391, 1116, 1538, 130, 750, 273, 532, 1715]"
109,12,Nanopartikeln,Nanoparticules,Nanoparticole,Nanoparticles,1.25,"[308, 1586, 81, 479, 1670, 85, 1558, 137, 1216, 147, 488, 1703]"
180,10,Phthalate,phtalates,ftalati,phthalates,1.3,"[187, 277, 1365, 295, 1020, 542, 1136, 779, 1283, 1628]"
63,9,Antibiotika,antibiotiques,antibiotici,antibiotics,1.89,"[74, 438, 133, 307, 139, 201, 73, 203, 67]"
150,8,Glyphosat,Glyphosate,Glifosato,Glyphosate,1.25,"[129, 792, 1548, 425, 1413, 666, 871, 1407]"
246,8,Acrylamid,Acrylamide,Acrilammide,Acrylamide,1.5,"[591, 1480, 967, 1639, 718, 962, 1172, 1593]"
127,8,Perfluoroctansulfonsäure (PFOS),acide perfluorooctanesulfonique (PFOS),acido perfluoroottansolfonico,Perfluorooctanesulfonic acid (PFOS),1.88,"[246, 389, 58, 931, 1713, 377, 296, 1668]"
197,8,Nitrite,Nitrite,Nitrito,Nitrite,1.62,"[226, 316, 516, 259, 750, 394, 633, 1577]"
