id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
125,26,Mikroplastik,microplastiques,microplastica,microplastics,1.38,"[1043, 1427, 1031, 1215, 1225, 1316, 1500, 1361, 1586, 1547, 1701, 1030, 1440, 1342, 1670, 1178, 1702, 1558, 1079, 1008, 1291, 1280, 1277, 1362, 1235, 1314]"
126,24,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.25,"[908, 1288, 1117, 1482, 1634, 1491, 1508, 1496, 1345, 1421, 1690, 1015, 1236, 1011, 931, 1126, 1713, 1239, 953, 952, 1186, 1025, 1420, 1608]"
111,24,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.33,"[901, 869, 1171, 1138, 1132, 1457, 1529, 1556, 1562, 1653, 1063, 1619, 1199, 1675, 1463, 1591, 1558, 1169, 1220, 1259, 1276, 1412, 1605, 1626]"
102,22,Blei,Plomb,Piombo,Lead,1.18,"[1517, 1633, 1086, 1137, 1365, 1432, 1568, 877, 1130, 1116, 1538, 1492, 898, 1526, 1283, 1341, 1510, 1412, 1103, 1604, 996, 1668]"
91,20,Pestizide,pesticides,pesticidi,pesticide,1.15,"[907, 1058, 1365, 1585, 1155, 1538, 1166, 1403, 1669, 1619, 1229, 1670, 1675, 1511, 902, 1283, 1310, 1369, 1387, 905]"
128,18,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.28,"[929, 1022, 1138, 1447, 1432, 877, 1130, 1417, 984, 1670, 898, 1510, 1216, 1412, 1420, 1604, 996, 1703]"
165,16,Cadmium,Cadmium,Cadmio,Cadmium,1.19,"[1095, 1365, 1510, 1521, 877, 1130, 1116, 1538, 898, 1526, 989, 1283, 1341, 1412, 1626, 1668]"
187,12,Arsen,Arsenic,Arsenico,Arsenic,1.08,"[1095, 877, 1492, 921, 1061, 1510, 1027, 1341, 1014, 1473, 1604, 1644]"
166,8,Bisphenol A (BPA),Bisphénol A (BPA),Bisfenolo A (BPA),Bisphenol A (BPA),1.5,"[1225, 1550, 1698, 891, 1468, 953, 1331, 1451]"
246,6,Acrylamid,Acrylamide,Acrilammide,Acrylamide,1.5,"[1480, 967, 1639, 962, 1172, 1593]"
180,5,Phthalate,phtalates,ftalati,phthalates,1.0,"[1365, 1020, 1628, 1136, 1283]"
249,5,Nickel,Nickel,Nichel,Nickel,1.4,"[1116, 1526, 1412, 1604, 1668]"
109,5,Nanopartikeln,Nanoparticules,Nanoparticole,Nanoparticles,1.4,"[1586, 1670, 1558, 1216, 1703]"
363,4,Lebensmittelzusatzstoff,additif alimentaire,additivo alimentare,food additive,1.5,"[1138, 1163, 1408, 1467]"
150,4,Glyphosat,Glyphosate,Glifosato,Glyphosate,1.0,"[1548, 1413, 871, 1407]"
167,4,Quecksilber,Mercure,Mercurio,Mercury,1.0,"[1095, 1185, 1116, 1538]"
185,3,Mineralöl,Huile minérale,Olio minerale,Mineral oil,1.67,"[1138, 1094, 989]"
344,3,Chrom,Chrome,Cromo,Chromium,1.33,"[1116, 1017, 1668]"
209,3,Anorganische Arsen,Arsenic inorganique,Arsenico inorganica,Inorganic arsenic,1.0,"[921, 1027, 1172]"
203,3,Ochratoxin A (OTA),Ochratoxine A (OTA),Ocratossina A (OTA),Ochratoxin A (OTA),2.0,"[1619, 916, 1591]"
130,3,Bisphenol S,Bisphénol S,Bisfenolo S,Bisphenol S,1.67,"[1698, 953, 1592]"
26,3,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.33,"[1185, 943, 989]"
306,3,Furan,Furane,Furano,Furan,2.33,"[967, 953, 1411]"
324,3,Polychlorierte Dibenzodioxine und Dibenzofurane (PCDD/PCDF),Polychlorodibenzo-p-dioxine (PCDD/PCDF),policloro-dibenzo-p-diossine (PCDD/PCDF),Polychlorinated dibenzodioxins (PCDD/PCDF),2.0,"[1092, 953, 1668]"
298,3,Deoxynivalenol (DON),Déoxynivalénol (DON),Deossinivalenolo (DON),Deoxynivalenol (DON),1.67,"[1529, 916, 901]"
127,3,Perfluoroctansulfonsäure (PFOS),acide perfluorooctanesulfonique (PFOS),acido perfluoroottansolfonico,Perfluorooctanesulfonic acid (PFOS),1.67,"[931, 1713, 1668]"
66,2,Canabidiol (CBD),Canabidiol (CBD),Canabidiolo (CBD),Canabidiol (CBD),1.0,"[1672, 1249]"
394,2,Pyrrolizidinalkaloide,Alcaloïde pyrrolizidinique,Alcaloide pirrolizidinico,Pyrrolizidine alkaloids,1.5,"[1619, 1284]"
378,2,Siliciumdioxid,Dioxyde de silicium,Silice,silicon dioxide,1.5,"[1163, 1418]"
61,2,Atropin,atropine,atropina,atropine,2.0,"[1284, 1087]"
313,2,"2,4-Dichlorphenoxyessigsäure","Acide 2,4-dichlorophénoxyacétique","Acido 2,4-diclorofenossiacetico","2,4-dichlorophenoxyacetic acid",1.0,"[1160, 871]"
338,2,glycidyl esters (GEs),glycidyl esters (GEs),glycidyl esters (GEs),glycidyl esters (GEs),1.5,"[989, 1598]"
390,2,Ethylenoxid,Oxyde d'éthylène,Ossido di etilene,Ethylene oxide,1.0,"[1619, 1250]"
379,2,Polycyclische aromatische Kohlenwasserstoffe (PAK),Hydrocarbure aromatique polycyclique (HAP),"Idrocarburi policiclici aromatici (IPA, PAHs)",polycyclic aromatic hydrocarbons (PAHs),1.0,"[1182, 1388]"
277,2,Microcystine,Microcystine,Microcistina,Microcystin,1.0,"[1200, 1325]"
241,2,Alternariol,alternariol,alternariolo,alternariol,1.5,"[1169, 1605]"
402,2,Thallium,Thallium,Tallio,Thallium,1.0,"[1352, 1531]"
323,2,Recycled High-Density Polyethylene (HDPE),Recycled High-Density Polyethylene (HDPE),Recycled High-Density Polyethylene (HDPE),Recycled High-Density Polyethylene (HDPE),2.0,"[945, 1465]"
425,2,Kupfer,Cuivre,Rame,Copper,1.0,"[1521, 1487]"
422,2,Muscimol,MuscimolE,Muscimolo,Muscimol,2.5,"[1590, 1475]"
273,2,Koffein,Caféine,Caffeina,caffein,1.5,"[926, 1574]"
345,1,Zinkoxid-Nanopartikel,nanoparticules d'oxyde de zinc,nanoparticelle di ossido di zinco,zinc oxid nanoparticles,1.0,[1041]
62,1,Tierarzneimittel,les médicaments pour animaux,farmaci per animali,animal drugs,1.0,[1204]
353,1,Paralytic shellfish poisoning (PSP),Intoxication paralysante par les mollusques,Intossicazione da molluschi paralizzanti,Paralytic shellfish poisoning (PSP),1.0,[1097]
362,1,Reinigungsmittel und Desinfektionsmittel,Agents de nettoyage et désinfectants,Detergenti e disinfettanti,Cleaning agents and disinfectants,2.0,[1138]
48,1,marine Biotoxine,biotoxines marines,biotossine marine,marine biotoxines,1.0,[941]
328,1,Cholesterin-Oxidationsprodukte,Produits d'oxydation du cholestérol,Prodotti di ossidazione del colesterolo,Cholesterol oxidation products,1.0,[961]
382,1,Tyramin,Tyramine,Tiramina,Tyramine,1.0,[1194]
377,1,Cannabis,Cannabis,Cannabis,Cannabis,1.0,[1176]
110,1,Chlorkohlenwasserstoffe,Composés organochlorés,Organocloruro,Organochlorine compound,1.0,[1632]
445,1,Hämeisen,fer héminique,ferro ematico,Haem iron,2.0,[1575]
224,1,Perchlorat,Perchlorate,Perclorato,perchlorate,1.0,[1539]
42,1,Trifluoracetat (TFA),Trifluoracétate (TFA),Trifluoracetato (TFA),Trifluoracetate (TFA),1.0,[1496]
59,1,Tenuazonsäure (TeA),acide ténuazonique (TeA),acido tenuazonico (TeA),tenuazonic acid (TeA),1.0,[1567]
440,1,Tellur,Tellure,Tellurio,Tellurium,2.0,[1541]
437,1,Zearalenon,Zéaralénone,Zearalenone,Zearalenone (ZEN),1.0,[1529]
308,1,Fumonisine,Fumonisines,Fumonisine,Fumonisins,1.0,[1529]
429,1,Wolfram,Tungstène,Tungsteno,Tungsten,1.0,[1521]
431,1,Cobalt,Cobalt,Cobalto,Cobalt,1.0,[1521]
432,1,Zink,Zinc,Zinco,Zinc,1.0,[1521]
371,1,Heterozyklische aromatische Amine,Amines aromatiques hétérocycliques,Ammine aromatiche eterocicliche,Heterocyclic Aromatic Amines,3.0,[1159]
374,1,Rhodamin-B,Rhodamine-B,Rhodamina-B,Rhodamine-B,1.0,[1167]
327,1,SmokEz Enviro-23 (SF-006),SmokEz Enviro-23 (SF-006),SmokEz Enviro-23 (SF-006),SmokEz Enviro-23 (SF-006),2.0,[959]
459,1,Hexahydrocannabinol (HHC),Hexahydrocannabinol (HHC),Hexahydrocannabinol (HHC),Hexahydrocannabinol (HHC),1.0,[1672]
118,1,Aspergillus,Aspergillus,Aspergillus,Aspergillus,1.0,[1653]
461,1,Ethanol,Éthanol,Etanolo,Ethanol,1.0,[1696]
297,1,Gluten,gluten,glutine,gluten,1.0,[1548]
424,1,"Flüchtige, organische Verbindungen",Les composés organiques volatils,Composti organici volatili,volatile organic compounds,1.0,[1481]
448,1,psychoaktive Droge,drogue psychoactive,farmaco psicoattivo,psychoactive drug,3.0,[1590]
178,1,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,1.0,[1653]
169,1,Endokrine Disruptoren,Perturbateur endocrinien,Interferenti endocrini,Endocrine disruptors,1.0,[1628]
369,1,leucin,leucine,leucina,leucine,1.0,[1157]
373,1,Niacin (Vitamin B3),Niacine (Vitamine B3),Niacina (Vitamina B3),Niacin (Vitami B3),1.0,[1164]
244,1,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.0,[1396]
368,1,Carrageen (E407 and E407a),Carraghénanes (E407 and E407a),Carraghenina (E407 and E407a),Carrageenan (E407 and E407a),1.0,[1154]
