id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
18,48,Diverse Lebensmittel,Aliments divers,Diverse derrate alimentari,Miscellaneous,1.23,"[1747, 1787, 1800, 1998, 2017, 2034, 2053, 2066, 2069, 2004, 2101, 2113, 2125, 2151, 2142, 2118, 2172, 2196, 2215, 2176, 2189, 2194, 2272, 2280, 2256, 2232, 2324, 2372, 2321, 2295, 2315, 2325, 2279, 2282, 2316, 2317, 2330, 2307, 2351, 2350, 2358, 2349, 2430, 2437, 2438, 2450, 2456, 2480]"
82,28,Wasser,Eau,Acqua,Waters,1.21,"[1753, 1760, 1762, 1778, 1788, 1810, 1848, 1854, 1918, 1931, 1975, 1991, 2023, 2033, 2010, 2052, 2112, 2100, 2082, 2083, 2237, 2243, 2301, 2317, 2362, 2389, 2477, 2479]"
1,14,Nicht spezifiziert,Non spécifié,Non specificato,Unclassified,1.07,"[1767, 1898, 1859, 1885, 1974, 1996, 2002, 1970, 1915, 2022, 2042, 2041, 2297, 2476]"
9,14,"Fische, Meeresfrüchte, Amphibien und Reptilien","Poissons, fruits de mer, amphibiens et reptiles","Pesce, crostacei, frutti di mare e anfibi","Fish, Shellfish And Amphibians",1.07,"[1776, 1783, 1826, 1878, 1982, 1963, 1895, 2000, 2115, 2284, 2331, 2368, 2390, 2482]"
5,9,"Früchte, Nüsse und Samen","Fruits, fruits oléagineux et graines","Frutta, frutta oleaginosa e semi","Fruits, Nuts And Seeds",1.11,"[1908, 1884, 2026, 1993, 2261, 2363, 2427, 2428, 2473]"
34,8,Früchte,Fruits,Frutta,Fruits,1.25,"[1858, 1926, 1938, 1990, 2117, 2269, 2342, 2441]"
8,8,"Fleisch, Fleischprodukte und Fleischersatz","Viandes, produits à base de viande et substituts de viande","Carne, prodotti di carne e sostituti della carne","Meat, Meat Products And Substitutes",1.12,"[1810, 1897, 2005, 2213, 2182, 2306, 2399, 2457]"
6,7,"Milch, Milchprodukte und Milchersatzprodukte","Laits, produits laitiers et substituts de lait","Latte, latticini e succedanei del latte",Dairy Products And Substitutes,1.14,"[1991, 2241, 2273, 2330, 2313, 2399, 2469]"
60,6,Fische,Poissons,Pesce,Fish,1.17,"[1745, 1772, 1913, 2019, 2254, 2398]"
11,6,Fette und Öle,Graisses et huiles,Oli e grassi,Fats And Oils,1.17,"[1980, 2244, 2296, 2305, 2348, 2414]"
