id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
79,1,Zucker,sucre,zucchero,sugar,1.0,[1648]
118,1,Aspergillus,Aspergillus,Aspergillus,Aspergillus,1.0,[1653]
178,1,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,1.0,[1653]
111,1,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.0,[1653]
461,1,Ethanol,Éthanol,Etanolo,Ethanol,1.0,[1696]
145,1,Mangelernährung,Malnutrition,Malnutrizione,Malnutrition,1.0,[1664]
246,1,Acrylamid,Acrylamide,Acrilammide,Acrylamide,1.0,[1639]
225,1,Barium,Baryum,Bario,Barium,1.0,[1689]
316,1,Fructose,Fructose,Fruttosio,Fructose,1.0,[1651]
402,1,Thallium,Thallium,Tallio,Thallium,1.0,[1689]
431,1,Cobalt,Cobalt,Cobalto,Cobalt,1.0,[1689]
165,1,Cadmium,Cadmium,Cadmio,Cadmium,1.0,[1689]
102,1,Blei,Plomb,Piombo,Lead,1.0,[1689]
167,1,Quecksilber,Mercure,Mercurio,Mercury,1.0,[1689]
