id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
93,131,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.28,"[17, 45, 37, 87, 260, 530, 278, 603, 531, 956, 1803, 975, 970, 942, 1351, 420, 568, 990, 1115, 1175, 1218, 1281, 1375, 1498, 1376, 1493, 1490, 1573, 1524, 1782, 1768, 1968, 1973, 132, 332, 395, 985, 1055, 578, 1120, 1282, 1559, 1863, 2049, 2102, 2336, 2565, 1006, 1619, 1513, 1771, 1843, 2036, 1901, 1871, 859, 1049, 1205, 1603, 1536, 2078, 2309, 705, 164, 702, 888, 1961, 1078, 1469, 1144, 1572, 2181, 222, 545, 1494, 1390, 1752, 2089, 2265, 2570, 2554, 9, 110, 159, 294, 805, 889, 806, 934, 927, 920, 1054, 1196, 1212, 465, 492, 1040, 1358, 1278, 1424, 1382, 1139, 1357, 1569, 1654, 1655, 1723, 1733, 1811, 1718, 1657, 1822, 1880, 2073, 2257, 2356, 2314, 2391, 2464, 1784, 1794, 1728, 1838, 1867, 2072, 2131, 2149, 2173, 2401, 2577, 2514]"
26,111,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.43,"[92, 314, 303, 811, 987, 828, 960, 970, 1010, 1032, 173, 420, 990, 1185, 1115, 410, 1266, 2488, 1364, 1368, 1485, 1793, 267, 253, 223, 763, 935, 1120, 1453, 1676, 1694, 1863, 2080, 2177, 2364, 2319, 2403, 2453, 24, 254, 979, 1771, 1843, 1807, 1929, 1871, 2352, 968, 1049, 1121, 1347, 1205, 1732, 1677, 2572, 2270, 2410, 2461, 164, 888, 1057, 1469, 1144, 1750, 1349, 2411, 2471, 222, 1422, 1068, 2011, 2271, 1528, 101, 126, 148, 449, 893, 927, 920, 943, 1024, 1099, 989, 75, 195, 194, 356, 1244, 1419, 1599, 1629, 1654, 242, 1697, 1839, 2073, 2013, 2103, 2138, 2391, 2407, 2579, 2510, 1784, 1830, 1803, 2108, 2190, 2227, 2446]"
1,78,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,1.36,"[28, 193, 239, 278, 723, 876, 897, 970, 1021, 1037, 1032, 1143, 1065, 1153, 1165, 1414, 1333, 1343, 1351, 1380, 1793, 1909, 23, 875, 1213, 2032, 2085, 2030, 2248, 1044, 1201, 1771, 1619, 1843, 1871, 2077, 892, 1049, 2228, 201, 164, 513, 1093, 1469, 1144, 1758, 2220, 2494, 1610, 1813, 2497, 22, 31, 234, 380, 640, 805, 922, 971, 1106, 1196, 1295, 1366, 1382, 1139, 1718, 1660, 1822, 2314, 2402, 2464, 2454, 1784, 2102, 2153, 2175, 2504, 2514]"
19,56,STEC/VTEC,STEC/VTEC,STEC/VTEC,STEC/VTEC,1.54,"[37, 723, 347, 515, 528, 503, 795, 897, 816, 970, 1113, 1115, 1281, 1246, 1399, 1515, 1490, 1524, 1909, 1944, 23, 683, 2308, 854, 1513, 1785, 2322, 1082, 888, 1081, 2318, 800, 1348, 1821, 1561, 2554, 22, 125, 563, 889, 876, 920, 1106, 194, 357, 1436, 1479, 1627, 1949, 2073, 2314, 2391, 2454, 2567, 1784, 2134]"
244,56,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.29,"[1647, 919, 1168, 707, 1414, 1333, 1354, 1579, 1650, 1735, 1965, 1228, 1452, 2102, 2292, 487, 923, 1930, 1883, 2581, 1327, 2462, 1340, 545, 827, 1659, 2089, 2275, 2360, 1813, 454, 544, 930, 1262, 463, 732, 1366, 1393, 1706, 1660, 1657, 2005, 2287, 2045, 2203, 2233, 2310, 2293, 2464, 2508, 2535, 1707, 2118, 2205, 2173, 2341]"
86,36,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,1.61,"[87, 610, 970, 1803, 1073, 990, 1214, 1281, 1399, 1490, 27, 1863, 670, 1843, 709, 758, 992, 705, 1469, 998, 1059, 2089, 2265, 5, 103, 372, 1196, 189, 355, 1074, 1674, 2550, 1822, 2007, 2174, 2464]"
99,33,Vibrio spp.,Vibrio spp.,Vibrio spp.,Vibrio spp.,1.52,"[20, 278, 502, 777, 940, 1073, 1296, 1519, 1503, 558, 903, 1507, 1864, 626, 1327, 1555, 705, 1469, 789, 1932, 1691, 434, 741, 841, 995, 1275, 174, 1072, 1139, 2203, 2464, 1872, 2290]"
63,33,Antibiotika,antibiotiques,antibiotici,antibiotics,1.52,"[879, 74, 407, 438, 919, 1090, 133, 307, 376, 707, 1065, 1333, 1354, 1376, 1910, 923, 139, 201, 2041, 292, 1429, 2081, 1501, 73, 203, 930, 279, 823, 1647, 2185, 2524, 2118, 2325]"
119,32,Norovirus,Norovirus,Norovirus,Norovirus,1.16,"[78, 305, 95, 774, 947, 1803, 1051, 1281, 1091, 1399, 1782, 2055, 2534, 42, 734, 1683, 2143, 2198, 358, 1390, 1749, 2028, 2119, 1722, 1976, 920, 943, 1635, 1718, 2333, 1928, 2150]"
111,31,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.55,"[218, 256, 869, 682, 1562, 1781, 2329, 577, 1619, 973, 475, 1463, 2176, 838, 2222, 1558, 2002, 120, 699, 1169, 1259, 352, 583, 1626, 2397, 1787, 1842, 2186, 2213, 2401, 2325]"
106,25,Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),1.28,"[37, 1667, 239, 857, 912, 1184, 1150, 1268, 2110, 1571, 1049, 505, 1144, 2181, 769, 918, 1211, 1287, 194, 851, 2328, 2391, 1830, 1803, 2472]"
181,23,hochpathogene Aviären Influenza (HPAI),virus de l'influenza aviaire hautement pathogène (IAHP),virus ad alta patogenicità (HPAI) di influenza aviaria,highly pathogenic avian influenza (HPAI) virus,1.74,"[1906, 2393, 1323, 1780, 1900, 2277, 1536, 2484, 2566, 116, 1335, 2255, 2076, 432, 1313, 1406, 1874, 2031, 2250, 2564, 1797, 2159, 2300]"
87,21,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,1.52,"[609, 1214, 847, 990, 1972, 1851, 758, 992, 1534, 2516, 5, 372, 1181, 1074, 1583, 1704, 1754, 1674, 2007, 2174, 2233]"
9,21,Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus,1.14,"[239, 476, 1168, 1184, 160, 1490, 2292, 2403, 1801, 2114, 1469, 2409, 862, 1422, 694, 950, 766, 1382, 1594, 1784, 1830]"
90,17,Clostridium botulinum,Clostridium botulinum,Clostridium botulinum,Clostridium botulinum,1.41,"[7, 113, 105, 970, 40, 11, 348, 1371, 2522, 2098, 649, 2357, 306, 1569, 2338, 2353, 2339]"
2,15,Hepatitis E Virus (HEV),Hepatitis E Virus (HEV),Hepatitis E Virus (HEV),Hepatitis E Virus (HEV),1.73,"[484, 774, 1091, 61, 834, 2303, 2451, 1749, 1726, 13, 1247, 1679, 2289, 2060, 2150]"
238,14,Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus,1.21,"[502, 741, 777, 1519, 1864, 2581, 1555, 2419, 1777, 434, 1275, 2102, 2365, 2341]"
361,14,Extended-Spectrum-Betalaktamasen (ESBL),Bactéries productrices de béta-lactamases à spectre élargi (ESBL),Le beta-lattamasi a spettro esteso (ESBL),Extended Spectrum β-Lactamase (ESBL),1.29,"[1954, 1965, 2308, 2114, 1853, 2494, 2455, 2275, 2039, 1813, 1295, 1686, 2391, 2523]"
94,14,Salmonella Typhimurium,Salmonella Typhimurium,Salmonella Typhimurium,Salmonella Typhimurium,1.21,"[1573, 1498, 1965, 2049, 1769, 123, 2475, 9, 294, 465, 715, 1424, 1709, 2314]"
35,14,Cryptosporidium spp.,Cryptosporidium spp.,Cryptosporidium spp.,Cryptosporidium spp.,1.64,"[35, 87, 280, 52, 2239, 705, 63, 83, 455, 1353, 2046, 2259, 2460, 1817]"
88,13,Campylobacter coli,Campylobacter coli,Campylobacter coli,Campylobacter coli,1.46,"[990, 1175, 758, 1045, 5, 372, 1074, 1583, 1704, 1674, 1754, 2174, 2514]"
125,12,Mikroplastik,microplastiques,microplastica,microplastics,1.33,"[523, 524, 2058, 2064, 2077, 1769, 2462, 878, 1558, 1783, 1903, 2169]"
114,11,Klebsiella,Klebsiella,Klebsiella,Klebsiella,1.36,"[278, 1530, 1793, 2412, 1088, 1536, 1808, 1813, 1382, 2369, 2153]"
10,11,Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii,1.55,"[144, 52, 753, 2006, 2239, 2538, 2542, 248, 1114, 1332, 2226]"
89,11,Cronobacter sakazakii,Cronobacter sakazakii,Cronobacter sakazakii,Cronobacter sakazakii,1.36,"[7, 886, 719, 11, 1120, 1478, 1068, 1974, 716, 2060, 2468]"
121,11,Hepatitis A virus,Virus de l'hépatite A,Virus dell'epatite A,Hepatitis A virus,1.45,"[774, 1032, 1091, 1914, 42, 2451, 165, 1749, 1976, 112, 2150]"
176,11,Yersinia enterocolitica,Yersinia enterocolitica,Yersinia enterocolitica,Yersinia enterocolitica,1.55,"[1004, 1966, 2281, 1006, 1469, 1495, 442, 1382, 1617, 1739, 2060]"
261,11,Pseudomonas,Pseudomonas,Pseudomonas,Pseudomonas,1.36,"[1354, 540, 2220, 703, 805, 927, 1084, 989, 595, 2163, 2468]"
20,9,EHEC,EHEC,EHEC,EHEC,1.78,"[1246, 222, 1561, 118, 234, 920, 329, 357, 2005]"
112,8,Aeromonas spp.,Aeromonas spp.,Aeromonas spp.,Aeromonas spp.,1.5,"[1073, 1469, 829, 1084, 1072, 1139, 2221, 1734]"
333,8,Bacillus spp.,Bacillus spp.,Bacillus spp.,Bacillus spp.,1.12,"[1066, 1268, 1108, 2409, 1227, 1287, 2206, 2328]"
256,7,Parasiten,Parasites,Parassiti,Parasites,1.29,"[681, 2239, 520, 1711, 1304, 578, 2208]"
202,7,Antibiotikaresistente Milchsäurebakterien,Bactéries lactiques résistantes aux antibiotiques,Batteri lattici resistenti agli antibiotici,Antibiotic-resistant lactic acid bacteria,1.86,"[233, 919, 424, 696, 2287, 2524, 2231]"
91,6,Pestizide,pesticides,pesticidi,pesticide,1.33,"[524, 1938, 1619, 91, 2401, 2325]"
255,6,Chronic Wasting Disease (CWD),Maladie débilitante chronique (CWD),Malattia del deperimento cronico (CWD),Chronic Wasting Disease (CWD),1.5,"[514, 2027, 1899, 1532, 1328, 1986]"
123,6,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,1.33,"[45, 676, 2309, 702, 294, 2173]"
348,6,Salmonella enterica,Salmonella enterica,Salmonella enterica,Salmonella enterica,1.0,"[1161, 1965, 2336, 2220, 1752, 1068]"
189,6,Helicobacter pylori,Helicobacter pylori,Helicobacter pylori,Helicobacter pylori,1.67,"[1019, 203, 1007, 1279, 1270, 2320]"
8,6,Sapovirus,Sapovirus,Sapovirus,Sapovirus,1.17,"[774, 1051, 2143, 1045, 2028, 920]"
36,5,Giardia spp.,Giardia spp.,Giardia spp.,Giardia spp.,2.0,"[35, 87, 2239, 705, 1877]"
147,5,Echinococcus multilocularis,Echinococcus multilocularis,Echinococcus multilocularis,Echinococcus multilocularis,1.6,"[970, 1952, 1133, 1098, 1905]"
118,5,Aspergillus,Aspergillus,Aspergillus,Aspergillus,1.4,"[976, 2183, 1977, 2157, 2213]"
120,5,Rotavirus,Rotavirus,Rotavirus,Rotavirus,1.2,"[1042, 2534, 42, 920, 2333]"
365,5,Anisakidae,Anisakidae,Anisakidae,Anisakidae,1.2,"[1151, 1540, 1193, 1304, 2429]"
23,5,Anisakis spp.,Anisakis spp.,Anisakis spp.,Anisakis spp.,1.2,"[98, 1540, 2344, 1193, 2429]"
195,5,Escherichia coli (ExPEC),Escherichia coli (ExPEC),Escherichia coli (ExPEC),Escherichia coli (ExPEC),2.2,"[224, 420, 439, 2497, 251]"
7,5,Cyclospora spp.,Cyclospora spp.,Cyclospora spp.,Cyclospora spp.,1.2,"[615, 2239, 2465, 2014, 2060]"
4,5,Bacillus cytotoxicus,Bacillus cytotoxicus,Bacillus cytotoxicus,Bacillus cytotoxicus,1.4,"[37, 1958, 505, 861, 2328]"
18,5,Escherichia albertii,Escherichia albertii,Escherichia albertii,Escherichia albertii,1.4,"[1158, 2025, 1896, 1700, 1989]"
232,5,Shewanella spp.,Shewanella spp.,Shewanella spp.,Shewanella spp.,1.4,"[2404, 1013, 2253, 1941, 2205]"
165,4,Cadmium,Cadmium,Cadmio,Cadmium,1.5,"[258, 1974, 989, 1626]"
101,4,Brucella spp.,Brucella spp.,Brucella spp.,Brucella spp.,2.0,"[25, 730, 1469, 581]"
287,4,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,1.5,"[1217, 1498, 949, 1394]"
314,4,Sarcocystis spp.,Sarcocystis spp.,Sarcocystis spp.,Sarcocystis spp.,1.25,"[1570, 2538, 2542, 874]"
156,4,Listeria innocua,Listeria innocua,Listeria innocua,Listeria innocua,2.0,"[267, 1453, 2270, 195]"
28,4,Clostridioides difficile,Clostridioides difficile,Clostridioides difficile,Clostridioides difficile,1.25,"[37, 1073, 249, 652]"
137,4,Klimawandel,Changement climatique,Cambiamento climatico,Climate change,1.25,"[1927, 2002, 1673, 2154]"
226,4,Shigella spp.,Shigella spp.,Shigella spp.,Shigella spp.,1.25,"[2012, 2040, 320, 1469]"
109,4,Nanopartikeln,Nanoparticules,Nanoparticole,Nanoparticles,2.0,"[1558, 2002, 1216, 147]"
485,4,Salmonella Strathcona,Salmonella Strathcona,Salmonella Strathcona,Salmonella Strathcona,1.0,"[1811, 2395, 2424, 2499]"
251,4,Trichinella spp.,Trichinella spp.,Trichinella spp.,Trichinella spp.,1.0,"[486, 1398, 1638, 1730]"
153,4,Hepatitis,Hépatite,Epatite,Hepatitis,1.5,"[2451, 146, 112, 2150]"
128,4,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.5,"[984, 1783, 1974, 1216]"
401,4,Enterococcus spp.,Enterococcus spp.,Enterococcus spp.,Enterococcus spp.,1.25,"[1350, 1650, 2409, 1818]"
129,3,Affenpocken-Virus (MPXV),variole du singe (MPXV),vaiolo delle scimmie (MXPV),Monkeypox virus (MPXV),1.67,"[191, 271, 1536]"
360,3,Echinococcus granulosus,Echinococcus granulosus,Echinococcus granulosus,Echinococcus granulosus,1.33,"[1952, 1133, 1905]"
144,3,Salmonella Newport,Salmonella Newport,Salmonella Newport,Salmonella Newport,1.33,"[74, 1524, 1494]"
162,3,Toxocara spp.,Toxocara spp.,Toxocara spp.,Toxocara spp.,1.33,"[90, 2332, 2526]"
48,3,marine Biotoxine,biotoxines marines,biotossine marine,marine biotoxines,2.33,"[96, 705, 1139]"
97,3,Salmonella Kentucky,Salmonella Kentucky,Salmonella Kentucky,Salmonella Kentucky,1.67,"[17, 2382, 294]"
300,3,Vibrio vulnificus,Vibrio vulnificus,Vibrio vulnificus,Vibrio vulnificus,1.0,"[777, 1864, 2060]"
231,3,Campylobacter fetus,Campylobacter fetus,Campylobacter fetus,Campylobacter fetus,2.0,"[1652, 992, 355]"
107,3,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens,1.33,"[951, 106, 1134]"
320,3,Citrobacter spp.,Citrobacter spp.,Citrobacter spp.,Citrobacter spp.,1.67,"[2532, 922, 2187]"
95,3,Arcobacter spp.,Arcobacter spp.,Arcobacter spp.,Arcobacter spp.,2.67,"[50, 1267, 1139]"
470,3,Blastocystis sp.,Blastocystis sp.,Blastocystis sp.,Blastocystis sp.,1.33,"[2044, 1743, 2421]"
332,3,Penicillium spp.,Penicillium spp.,Penicillium spp.,Penicillium spp.,1.67,"[1259, 2157, 2213]"
267,3,Cyanobakterien,Cyanobacteriota,Cyanobacteria,Cyanobacteria,1.33,"[558, 1085, 1847]"
218,3,Human circovirus 1 (HCirV-1),Human circovirus 1 (HCirV-1),Human circovirus 1 (HCirV-1),Human circovirus 1 (HCirV-1),1.67,"[2028, 287, 1620]"
186,3,Biogene Amine,Amines biogènes,Ammine biogene,Biogenic amines,1.33,"[700, 1422, 168]"
476,3,Trypanosoma cruzi,Trypanosoma cruzi,Trypanosoma cruzi,Trypanosoma cruzi,1.0,"[2239, 2423, 1888]"
103,3,GMO (genetisch modifizierter Organismus),OGM (organisme génétiquement modifié),OGM (organismo geneticamente modificato),Genetically modified organism (GMO),1.67,"[1720, 31, 441]"
392,3,Burkholderia gladioli,Burkholderia gladioli,Burkholderia gladioli,Burkholderia gladioli,1.67,"[1265, 2431, 2264]"
31,3,Acinetobacter spp.,Acinetobacter spp.,Acinetobacter spp.,Acinetobacter spp.,1.0,"[1354, 1793, 2334]"
286,3,Salmonella Senftenberg,Salmonella Senftenberg,Salmonella Senftenberg,Salmonella Senftenberg,1.33,"[1032, 2309, 678]"
376,3,Histamin,Histamine,Istamina,Histamine,1.0,"[1185, 1173, 1962]"
211,3,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,1.67,"[258, 857, 2206]"
193,3,Salmonella Agona,Salmonella Agona,Salmonella Agona,Salmonella Agona,1.67,"[896, 217, 1573]"
336,2,Taenia solium,Taenia solium,Taenia solium,Taenia solium,2.5,"[970, 1905]"
14,2,Streptococcus suis,Streptococcus suis,Streptococcus suis,Streptococcus suis,1.0,"[1187, 1039]"
386,2,Aichivirus (AiV),Aichivirus (AiV),Aichivirus (AiV),Aichivirus (AiV),1.0,"[1238, 1587]"
131,2,Mikrobielle Toxine,Toxines microbiennes,Tossine microbiche,Bacterial toxins,2.0,"[984, 1174]"
504,2,Dientamoeba fragilis,Dientamoeba fragilis,Dientamoeba fragilis,Dientamoeba fragilis,1.0,"[2029, 2163]"
178,2,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,2.0,"[99, 2157]"
146,2,Salmonella Thompson,Salmonella Thompson,Salmonella Thompson,Salmonella Thompson,3.0,"[551, 84]"
503,2,Aflatoxin,Aflatoxine,Aflatossina,Aflatoxin,1.0,"[2273, 2219]"
296,2,Providencia spp.,Providencia spp.,Providencia spp.,Providencia spp.,1.5,"[922, 724]"
241,2,Alternariol,alternariol,alternariolo,alternariol,1.5,"[1169, 1890]"
474,2,Enniatin,Ennitatine,Ennitatina,Enniatin,1.5,"[2176, 1787]"
473,2,Beauvericin,Beauvéricine,Beauvericina,Beauvericin,1.5,"[2176, 1787]"
342,2,Campylobacter lari,Campylobacter lari,Campylobacter lari,Campylobacter lari,1.5,"[992, 1583]"
187,2,Arsen,Arsenic,Arsenico,Arsenic,1.5,"[201, 1974]"
494,2,Dibothriocephalus latus,Dibothriocephalus latus,Dibothriocephalus latus,Dibothriocephalus latus,1.0,"[1933, 2245]"
334,2,Clostridium spp.,Clostridium spp.,Clostridium spp.,Clostridium spp.,1.5,"[1469, 2338]"
57,2,Bongkreksäure,Acide bongkrekique,Acido bongkrekico,Bongkrekic acid,1.5,"[2431, 2493]"
375,2,Leptospira spp.,Leptospira spp.,Leptospira spp.,Leptospira spp.,2.0,"[2202, 1170]"
409,2,Cronobacter spp.,Cronobacter spp.,Cronobacter spp.,Cronobacter spp.,1.0,"[1478, 1409]"
458,2,Salmonella enterica serovar Umbilo,Salmonella enterica serovar Umbilo,Salmonella enterica serovar Umbilo,Salmonella enterica serovar Umbilo,1.0,"[1671, 1661]"
341,2,Schimmelpilze,Moisissure,Muffa,Mold,1.5,"[1223, 989]"
183,2,Salmonella Litchfield,Salmonella Litchfield,Salmonella Litchfield,Salmonella Litchfield,2.0,"[1032, 132]"
427,2,Enterovirus,Entérovirus,Enterovirus,Enterovirus,1.0,"[1502, 1635]"
62,2,Tierarzneimittel,les médicaments pour animaux,farmaci per animali,animal drugs,1.5,"[524, 1204]"
167,2,Quecksilber,Mercure,Mercurio,Mercury,1.0,"[258, 1185]"
197,2,Nitrite,Nitrite,Nitrito,Nitrite,1.0,"[316, 1577]"
210,2,Jod,Iode,Iodo,Iodine,1.0,"[258, 1577]"
102,2,Blei,Plomb,Piombo,Lead,1.0,"[258, 1974]"
105,2,Giardia duodenalis,Giardia duodenalis,Giardia duodenalis,Giardia duodenalis,1.5,"[35, 52]"
257,2,Helicobacter pullorum,Helicobacter pullorum,Helicobacter pullorum,Helicobacter pullorum,2.0,"[536, 1203]"
380,2,Taenia martis,Taenia martis,Taenia martis,Taenia martis,1.5,"[1188, 1905]"
160,2,Nipah Virus,Virus Nipah,Virus Nipah,Nipah virus,1.0,"[785, 269]"
518,2,Nanoplastik,nanoplastique,nanoplastica,Nanoplastic,1.5,"[2175, 2169]"
442,2,Phytotoxin,Phytotoxine,Fitotossina,Phytotoxin,2.0,"[1558, 2002]"
