id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
93,45,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.16,"[1803, 1782, 1768, 1968, 1973, 1863, 2049, 2102, 2336, 1619, 1771, 1843, 2036, 1901, 1871, 1603, 2078, 2309, 1961, 2181, 1752, 2089, 2265, 1654, 1655, 1723, 1733, 1811, 1718, 1657, 1822, 1880, 2073, 2257, 2356, 2314, 1784, 1794, 1728, 1838, 1867, 2072, 2131, 2149, 2173]"
26,35,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.2,"[1793, 1676, 1694, 1863, 2080, 2177, 2364, 2319, 1771, 1843, 1807, 1929, 1871, 2352, 1732, 1677, 2270, 1750, 2011, 2271, 1599, 1629, 1654, 1697, 1839, 2073, 2013, 2103, 2138, 1784, 1830, 1803, 2108, 2190, 2227]"
244,29,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.38,"[1647, 1579, 1650, 1735, 1965, 2102, 2292, 1930, 1883, 1659, 2089, 2275, 2360, 1706, 1660, 1657, 1813, 2005, 2287, 2045, 2203, 2233, 2310, 2293, 1707, 2118, 2205, 2173, 2341]"
1,24,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,1.12,"[1793, 1909, 2032, 2085, 2030, 2248, 1771, 1619, 1843, 1871, 2077, 2228, 1758, 2220, 1610, 1718, 1660, 1813, 1822, 2314, 1784, 2102, 2153, 2175]"
119,16,Norovirus,Norovirus,Norovirus,Norovirus,1.0,"[1803, 1782, 2055, 1683, 2143, 2198, 1749, 2028, 2119, 1722, 1976, 1635, 1718, 2333, 1928, 2150]"
19,13,STEC/VTEC,STEC/VTEC,STEC/VTEC,STEC/VTEC,1.46,"[1909, 1944, 2308, 1785, 2322, 2318, 1821, 1627, 1949, 2073, 2314, 1784, 2134]"
111,12,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.5,"[1781, 2329, 1619, 2325, 2176, 2222, 2002, 1626, 1787, 1842, 2186, 2213]"
181,12,hochpathogene Aviären Influenza (HPAI),virus de l'influenza aviaire hautement pathogène (IAHP),virus ad alta patogenicità (HPAI) di influenza aviaria,highly pathogenic avian influenza (HPAI) virus,1.83,"[1906, 1780, 1900, 2277, 2255, 2076, 1874, 2031, 2250, 1797, 2159, 2300]"
86,9,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,1.33,"[1803, 1863, 1843, 2089, 2265, 1674, 1822, 2007, 2174]"
87,9,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,1.33,"[1972, 1851, 1583, 1704, 1754, 1674, 2007, 2174, 2233]"
