id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
18,58,Diverse Lebensmittel,Aliments divers,Diverse derrate alimentari,Miscellaneous,1.24,"[50, 193, 1270, 1329, 1168, 410, 368, 1536, 1609, 1557, 1594, 1687, 1718, 1746, 1769, 1787, 1871, 1976, 2053, 2061, 2062, 2004, 2055, 2087, 2096, 2101, 2113, 2114, 2065, 2134, 2138, 2131, 2118, 2196, 2176, 2277, 2228, 2235, 2248, 2265, 2259, 2318, 2321, 2320, 2287, 2319, 2328, 2369, 2409, 2411, 2430, 2451, 2464, 2468, 2325, 2526, 2524, 2522]"
8,56,"Fleisch, Fleischprodukte und Fleischersatz","Viandes, produits à base de viande et substituts de viande","Carne, prodotti di carne e sostituti della carne","Meat, Meat Products And Substitutes",1.29,"[50, 74, 125, 144, 139, 254, 545, 203, 672, 715, 854, 892, 1039, 1082, 1213, 1381, 1406, 1579, 1638, 1709, 1723, 1730, 1735, 1739, 1732, 1754, 1807, 1822, 1897, 1957, 1986, 1965, 2005, 2036, 2007, 2079, 2089, 2157, 2149, 2213, 2187, 2334, 2360, 2292, 2309, 2332, 2382, 2011, 2475, 2488, 2494, 2442, 2399, 2457, 2497, 2523]"
1,50,Nicht spezifiziert,Non spécifié,Non specificato,Unclassified,1.52,"[42, 37, 28, 13, 117, 126, 148, 190, 180, 264, 271, 223, 356, 332, 434, 164, 303, 625, 838, 861, 942, 1032, 1055, 984, 984, 1151, 1234, 1351, 1339, 1386, 1386, 1386, 1558, 1490, 1655, 1706, 1768, 1758, 1799, 1958, 1974, 2002, 1966, 2031, 2041, 2110, 2303, 2467, 2500, 2532]"
9,45,"Fische, Meeresfrüchte, Amphibien und Reptilien","Poissons, fruits de mer, amphibiens et reptiles","Pesce, crostacei, frutti di mare e anfibi","Fish, Shellfish And Amphibians",1.27,"[50, 150, 278, 502, 789, 878, 940, 947, 1238, 1262, 1216, 1296, 1350, 1393, 1429, 1174, 1519, 1534, 1503, 1555, 1683, 1691, 1722, 1777, 1783, 1734, 1818, 1941, 1932, 1954, 2028, 2025, 2102, 2119, 2205, 2203, 2231, 2253, 2365, 2308, 2333, 2341, 2404, 2421, 2534]"
54,39,Geflügel,Volailles,Pollame,Poultry,1.64,"[17, 45, 5, 101, 103, 116, 189, 372, 395, 432, 439, 536, 676, 703, 709, 1004, 1037, 1181, 1214, 923, 1217, 1267, 1278, 1218, 1295, 1414, 1493, 1583, 1660, 1674, 1784, 1801, 1896, 1989, 2076, 2174, 2173, 2455, 2516]"
3,38,Gemüse,Légumes,Ortaggi,Vegetables,1.58,"[50, 40, 41, 92, 217, 224, 251, 261, 245, 371, 407, 52, 487, 520, 806, 864, 922, 1065, 1057, 1153, 923, 948, 1453, 1654, 1728, 1853, 1890, 1960, 1964, 1990, 2239, 2270, 2357, 2293, 2314, 2472, 2407, 2424]"
23,36,"Blattgemüse (ohne Kohlgemüse), Blattsalate und Algen","Légumes-feuilles (excl. chou), mescluns et algues","Verdure a foglie (esclusi cavoli), insalate a foglie e alghe",Leafy Vegetables (Except Cabbages),1.47,"[35, 159, 280, 420, 427, 515, 615, 723, 886, 879, 956, 971, 1024, 1042, 1106, 1082, 1201, 1343, 1281, 1436, 1380, 1399, 1603, 1577, 1814, 1817, 1707, 1905, 1961, 1909, 1952, 2226, 2259, 2332, 2328, 2465]"
34,34,Früchte,Fruits,Frutta,Fruits,1.38,"[40, 9, 165, 234, 269, 250, 420, 465, 551, 520, 886, 864, 918, 1032, 1066, 1240, 1205, 1259, 1358, 1409, 1599, 1838, 1905, 1964, 1952, 1938, 1990, 2014, 2227, 2239, 2337, 2342, 2391, 2472]"
60,34,Fische,Poissons,Pesce,Fish,1.29,"[98, 124, 132, 278, 930, 922, 1004, 1032, 1173, 1193, 1185, 1383, 1304, 1530, 1650, 1763, 1771, 1789, 1864, 1933, 1962, 2108, 2200, 1658, 2245, 2221, 2271, 2344, 2356, 2290, 2320, 2419, 2429, 2508]"
6,29,"Milch, Milchprodukte und Milchersatzprodukte","Laits, produits laitiers et substituts de lait","Latte, latticini e succedanei del latte",Dairy Products And Substitutes,1.45,"[25, 106, 125, 208, 306, 803, 168, 1244, 1335, 1313, 1347, 1807, 1801, 1900, 1985, 2032, 2085, 2206, 2250, 2255, 2257, 2273, 2300, 2320, 2403, 2379, 2393, 2399, 2535]"
