id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
93,51,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.16,"[1803, 1498, 1493, 1490, 1573, 1524, 1782, 1768, 1968, 1973, 1559, 1863, 2049, 2102, 2181, 1619, 1513, 1771, 1843, 2036, 1901, 1871, 1603, 1536, 2078, 1961, 1469, 1572, 1494, 1752, 2089, 1569, 1654, 1655, 1723, 1733, 1811, 1718, 1657, 1822, 1880, 2173, 2073, 1784, 1794, 1728, 1838, 1867, 2072, 2131, 2149]"
125,39,Mikroplastik,microplastiques,microplastica,microplastics,1.21,"[1427, 1740, 1500, 1586, 1547, 1701, 2058, 2064, 2069, 2099, 2116, 2122, 1440, 1845, 1885, 2077, 1670, 1991, 1767, 1769, 2086, 1992, 2121, 1558, 1783, 2194, 1759, 1895, 2022, 2037, 2148, 2156, 1812, 1889, 2092, 1903, 1921, 1931, 2201]"
26,33,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.27,"[1485, 1793, 1453, 1676, 1694, 1863, 2080, 2177, 1771, 1843, 1807, 1929, 1871, 1732, 1677, 1469, 1750, 2011, 1528, 1599, 1629, 1654, 1697, 1839, 2073, 2013, 2103, 2138, 1784, 1830, 1803, 2108, 2190]"
126,27,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.19,"[1482, 1491, 1508, 1496, 1690, 1745, 1854, 1713, 1753, 2033, 2024, 1762, 1776, 2023, 2151, 1608, 1634, 1755, 1918, 2003, 1988, 2140, 1795, 1806, 1725, 1826, 1878]"
111,25,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.32,"[1457, 1529, 1556, 1562, 1653, 1781, 1979, 2066, 2176, 1619, 2017, 1886, 1463, 1591, 1558, 1675, 1923, 2002, 1605, 1626, 1787, 1884, 1842, 1998, 2186]"
244,21,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.38,"[1647, 1579, 1650, 1735, 1965, 1452, 2102, 1930, 1883, 1659, 2089, 1706, 1660, 1657, 1813, 2005, 2173, 2045, 1707, 2118, 2203]"
102,21,Blei,Plomb,Piombo,Lead,1.19,"[1633, 1432, 1568, 1774, 1917, 1963, 1538, 1492, 1747, 1778, 1836, 2024, 1526, 1974, 1510, 1604, 1668, 1689, 1715, 1908, 1859]"
1,21,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,1.1,"[1793, 1909, 2032, 2085, 2030, 1771, 1619, 1843, 1871, 2077, 1469, 1758, 1610, 1718, 1660, 1813, 1822, 1784, 2102, 2153, 2175]"
165,19,Cadmium,Cadmium,Cadmio,Cadmium,1.21,"[1510, 1521, 1774, 1917, 1963, 1538, 1747, 2188, 1836, 1526, 1974, 1626, 1668, 1689, 1715, 1913, 1898, 1908, 1859]"
128,18,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.11,"[1447, 1432, 1917, 1963, 2122, 1670, 1747, 2152, 2188, 1783, 1974, 1510, 1604, 1717, 1703, 1715, 1908, 2193]"
