matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Umwelt,Wirtschaft,Politik
1,1,2,1,4,3,4,2,0,1,1,0
5,0,0,0,0,0,1,0,1,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,1,0,1,0,0
18,1,0,0,1,1,2,0,1,0,1,1
23,0,0,0,1,0,0,0,0,0,0,0
32,0,0,0,0,2,0,0,0,0,0,0
35,0,0,0,0,0,1,0,1,0,0,0
39,0,0,0,0,0,3,0,0,0,0,0
58,0,0,0,1,3,5,1,1,0,0,0
60,0,0,0,1,0,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,2,0,0,0,0,0
100,0,0,0,1,0,2,0,0,0,0,0
133,1,0,1,1,0,1,0,0,1,1,0
138,0,0,0,0,1,0,0,0,0,0,0
