matrix_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,1,2,1,4,3,4,2,1,0,1,1,0
5,0,0,0,0,0,1,0,1,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,2,0,0
9,0,0,0,0,1,1,0,0,0,0,0,0
18,1,1,0,1,2,6,0,2,1,0,3,1
23,0,0,0,1,0,0,0,0,0,0,0,0
32,0,0,0,0,2,0,0,0,0,0,0,0
35,0,0,0,0,0,1,0,1,0,0,0,0
39,0,0,0,0,0,3,0,0,0,0,0,0
58,0,0,0,1,3,5,1,1,0,0,0,0
60,0,0,0,1,1,1,1,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,2,0,0,0,0,0,0
100,0,0,0,1,0,2,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0
133,1,0,1,1,0,1,0,0,0,1,1,0
138,0,0,0,0,1,0,0,0,0,0,0,0
