matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Ecologie,Économie,Politique
1,1,2,1,4,3,4,2,0,1,1,0
5,0,0,0,0,0,1,0,1,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0
18,1,0,0,1,1,2,0,1,0,1,1
23,0,0,0,1,0,0,0,0,0,0,0
32,0,0,0,0,2,0,0,0,0,0,0
35,0,0,0,0,0,1,0,1,0,0,0
39,0,0,0,0,0,3,0,0,0,0,0
58,0,0,0,1,3,5,1,1,0,0,0
60,0,0,0,1,0,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,2,0,0,0,0,0
100,0,0,0,1,0,2,0,0,0,0,0
133,1,0,1,1,0,1,0,0,1,1,0
138,0,0,0,0,1,0,0,0,0,0,0
