matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Ecologia,Economia,Politica
1,1,2,1,4,3,4,2,0,1,1,0
5,0,0,0,0,0,1,0,1,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,1,0,1,0,0
9,0,0,0,0,1,1,0,0,0,0,0
18,1,1,0,1,2,4,0,1,0,3,1
23,0,0,0,1,0,0,0,0,0,0,0
32,0,0,0,0,2,0,0,0,0,0,0
35,0,0,0,0,0,1,0,1,0,0,0
39,0,0,0,0,0,3,0,0,0,0,0
58,0,0,0,1,3,5,1,1,0,0,0
60,0,0,0,1,1,1,1,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,2,0,0,0,0,0
100,0,0,0,1,0,2,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0
133,1,0,1,1,0,1,0,0,1,1,0
138,0,0,0,0,1,0,0,0,0,0,0
