steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
25,0,0,0,0,1,1,0,0,0,0,0
36,2,1,1,1,1,2,1,1,2,2,1
51,1,1,0,1,0,3,1,1,1,1,0
64,0,0,0,0,0,1,0,0,0,0,0
95,0,0,0,0,0,1,0,0,0,0,0
147,1,1,0,1,0,1,0,1,1,1,0
209,0,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,0,1,0,0,0,0,0
222,0,0,0,0,0,1,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0
