steckbrief_id,Climate change,Technological innovations and scientific advances,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Society,Technology,Ecology,Economy,Policy
25,0,0,0,0,1,2,0,0,0,0,0
27,0,0,0,1,0,0,0,0,0,0,0
36,2,1,1,1,1,2,1,1,2,2,1
51,1,2,0,1,0,3,1,1,1,1,0
64,0,0,0,0,0,1,0,0,0,0,0
95,0,0,0,0,0,1,0,0,0,0,0
147,1,1,0,1,0,1,0,1,1,1,0
209,0,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,0,2,0,0,0,0,0
222,0,0,0,0,0,1,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0
