steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Société,Technologie,Ecologie,Économie,Politique
25,0,0,0,0,1,1,0,0,0,0,0
36,2,1,1,1,1,2,1,1,2,2,1
51,1,1,0,1,0,3,1,1,1,1,0
64,0,0,0,0,0,1,0,0,0,0,0
95,0,0,0,0,0,1,0,0,0,0,0
147,1,1,0,1,0,1,0,1,1,1,0
209,0,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,0,1,0,0,0,0,0
222,0,0,0,0,0,1,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0
