matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,2,12,2,3,3,7,18,4,1,4,7,2,1
3,1,4,2,1,0,2,1,0,1,0,6,0,3
5,2,3,1,0,0,0,1,0,0,0,4,1,0
6,1,0,0,0,0,0,1,0,0,0,5,1,0
7,2,1,0,0,0,0,1,1,0,2,5,0,0
8,1,3,1,0,0,0,1,0,0,0,1,1,0
9,4,0,1,0,1,0,0,0,1,1,13,1,2
10,0,0,0,0,1,0,0,0,0,0,1,0,0
11,0,1,0,0,0,0,0,0,1,2,4,2,0
12,0,0,0,0,0,0,3,0,0,0,0,0,1
13,0,0,0,0,0,0,2,0,0,1,1,0,0
14,0,0,0,0,0,0,4,0,2,0,0,0,0
15,0,1,1,1,0,1,3,0,2,0,0,0,1
16,0,0,0,0,0,0,2,0,0,0,1,0,0
18,7,13,3,3,1,8,9,1,5,3,17,5,2
21,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,0,2,0,0,1,0,0,0,0,1,0,0
23,2,2,2,1,1,1,1,0,0,0,8,0,1
24,0,1,2,1,0,1,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,3,0,0,0,0,0,0
31,0,0,0,0,1,0,1,0,1,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,1,0,0
34,0,4,2,2,0,2,2,1,2,0,5,0,5
35,2,0,0,0,0,1,2,0,0,1,0,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1,0,0,0,0,1,7,0,0,0,0,1,0
42,0,0,0,0,0,1,0,1,0,1,0,0,0
46,0,0,1,1,0,0,0,1,0,0,0,0,1
48,1,1,1,0,0,2,0,0,1,0,6,1,1
52,1,0,0,0,0,0,1,0,0,0,1,0,0
56,0,1,0,0,0,0,0,0,0,1,0,0,0
58,0,2,0,0,1,9,13,1,3,3,2,2,0
59,2,0,0,0,0,1,2,0,1,0,1,1,1
60,4,1,1,0,0,1,0,0,1,1,9,2,1
65,0,0,3,0,0,0,0,0,0,1,1,0,0
67,0,1,0,0,0,0,0,0,1,0,1,0,0
72,0,0,0,0,0,0,1,0,0,0,0,0,0
73,0,0,0,0,0,0,4,0,0,0,0,0,0
74,0,0,0,0,0,0,1,0,0,0,0,0,0
77,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,0,1,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,7,0,0,0,0,0,1
81,0,0,0,0,0,0,2,0,0,0,1,0,0
82,6,5,1,0,0,0,0,0,5,3,23,1,3
84,0,0,0,0,0,0,0,0,0,0,1,0,0
86,0,0,0,0,0,0,0,1,0,1,1,0,0
93,0,1,0,0,0,0,1,0,1,0,2,1,1
96,0,0,0,0,0,0,1,0,0,0,0,1,0
98,0,0,0,0,0,0,1,0,0,0,0,1,0
99,0,0,0,0,0,0,1,0,0,0,0,0,0
100,0,0,0,0,1,0,4,0,0,0,1,0,0
105,0,0,1,1,0,0,0,0,0,1,1,0,1
115,0,0,0,0,0,0,0,0,0,0,1,0,0
118,0,0,0,0,0,0,0,0,0,1,3,0,0
120,0,0,1,1,0,0,0,1,0,0,0,0,1
126,0,0,0,0,0,0,0,0,0,1,0,0,0
133,1,0,2,0,1,0,2,0,0,0,2,1,0
135,0,0,0,1,0,0,0,0,0,0,0,1,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,0,0,2,0,0,0,1,0,0
142,0,1,0,0,0,0,1,0,0,0,0,0,0
143,0,1,0,0,0,1,2,0,0,0,0,0,0
144,0,0,0,0,0,0,3,0,0,0,1,0,0
148,0,1,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,4,0,0,0,0,0,0
156,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,0,0,0,0,0,1,0,0,0,0,0,0
