matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie
1,0,0,0,0,0,0,1,0,0,1
3,0,0,1,0,0,0,0,0,2,0
7,1,0,0,0,0,0,0,0,1,0
18,1,1,0,0,1,1,1,2,2,1
34,0,0,1,0,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,1,0
39,0,0,0,1,1,0,0,0,0,0
48,0,0,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,1,0
58,0,0,0,1,1,0,0,0,0,0
82,0,1,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,1,0
