matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,0,0,5,6,2,0,0,2,2
3,0,0,0,1,0,0,0,0,0,0
7,0,1,0,1,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0
9,1,0,0,0,0,0,1,1,0,0
11,0,1,0,0,0,0,0,0,0,0
12,0,1,0,0,2,0,0,0,0,1
14,0,0,0,0,4,1,0,0,0,0
15,0,1,0,0,0,1,0,0,0,0
18,0,1,0,1,12,3,1,0,1,2
21,0,0,0,0,1,0,0,0,0,0
22,0,0,0,0,1,0,0,0,1,0
26,0,0,0,0,1,0,0,0,0,0
31,0,0,1,0,1,1,0,0,0,0
34,0,1,0,2,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0
52,1,0,0,0,1,1,0,1,0,0
56,0,0,0,0,2,1,0,0,0,0
58,0,4,0,6,13,2,1,0,0,0
59,1,0,0,1,2,0,0,1,0,0
67,0,1,0,1,0,1,0,1,0,0
74,0,0,0,0,1,0,0,0,0,0
79,0,0,0,0,2,0,0,0,0,0
80,0,0,0,0,8,1,0,0,0,1
81,0,1,0,0,2,0,0,0,0,0
82,0,0,0,0,1,0,0,0,0,0
90,0,0,0,0,1,1,0,0,0,0
98,0,0,0,1,4,2,0,1,2,1
100,0,0,1,0,2,0,0,0,0,0
103,0,0,0,0,1,0,0,0,0,0
104,0,0,0,0,1,0,0,0,0,0
118,0,1,0,0,0,1,0,0,0,0
120,0,1,0,0,0,1,0,0,0,0
141,0,0,0,0,1,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0
155,0,0,0,0,1,1,0,0,0,1
156,0,0,0,0,1,0,0,0,0,0
