matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,0,0,0,9,0,0,0,0,0,0
3,0,1,0,0,1,0,0,0,0,0,0
6,0,0,0,0,2,0,1,0,0,0,0
8,0,0,0,0,1,0,1,0,0,0,0
11,0,0,0,0,1,0,1,0,0,0,0
14,0,0,0,1,0,0,1,0,0,0,0
16,0,0,0,0,1,0,0,0,0,0,0
18,2,7,1,4,22,1,8,2,1,3,2
21,0,0,0,0,1,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0
49,0,0,0,0,1,0,1,0,0,0,0
56,0,0,0,0,1,0,0,0,0,0,0
58,0,0,0,0,2,0,0,0,0,0,0
73,0,0,0,0,1,0,0,0,0,0,0
80,0,0,0,0,5,0,0,1,0,0,0
81,0,0,0,0,2,0,0,0,0,0,0
98,0,0,0,0,2,0,0,0,0,0,0
99,0,0,0,0,1,0,0,0,0,0,0
148,0,0,0,0,1,0,0,0,0,0,0
