matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie
1,0,0,0,9,0,1,0,0,0
3,0,0,0,1,0,0,0,0,0
6,0,0,0,3,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0
8,0,1,0,3,0,0,0,0,1
9,0,0,0,0,0,1,0,0,0
11,0,0,0,1,0,1,0,0,0
14,0,0,0,3,0,1,0,0,1
15,0,1,0,0,0,1,0,0,0
16,0,0,0,1,0,0,0,0,0
18,1,3,6,28,0,5,1,0,5
21,0,0,0,1,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0
34,0,1,0,0,1,0,0,0,0
38,0,1,0,1,0,0,0,0,0
39,0,0,0,1,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0
58,0,1,1,3,0,0,0,0,1
72,0,0,0,1,0,0,0,0,0
73,0,0,0,1,0,0,0,0,0
78,0,0,0,1,0,0,0,0,0
80,0,0,0,6,0,0,0,0,0
81,0,0,0,1,0,0,0,0,0
100,0,0,0,1,0,1,0,1,0
118,0,0,0,0,0,1,0,0,1
143,0,0,0,1,0,0,0,0,0
148,0,0,0,1,0,1,0,0,0
