gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,3,2,0,0,11,3,5,30,1,0,2,2,2
2,1,2,0,0,2,0,0,1,0,0,0,1,0
4,0,0,0,1,0,0,1,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,0,0,0,0,0,1,0,0,0,1,0
8,0,0,0,0,0,0,0,2,0,0,1,0,0
9,0,0,0,0,2,0,4,8,0,0,1,1,1
10,0,0,0,0,0,0,1,3,0,0,2,0,0
14,0,0,0,0,0,0,0,2,0,0,0,0,0
18,1,1,0,0,1,0,0,4,0,0,0,0,0
19,1,2,1,0,2,2,3,24,0,1,4,1,0
20,0,1,0,0,0,1,2,2,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,2,0,0
26,3,4,0,0,17,14,15,34,4,4,3,5,2
28,1,1,0,0,0,0,0,2,0,0,0,0,0
31,0,0,0,0,0,0,0,2,0,0,0,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0
35,2,0,1,0,0,0,0,1,0,0,3,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,1,0,0
39,0,0,1,0,0,0,0,0,1,0,1,0,0
41,0,0,0,0,0,0,0,1,0,0,0,0,0
48,2,0,0,0,1,0,0,0,0,0,0,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0,0
63,1,0,2,0,0,1,0,22,0,0,2,1,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,1
86,5,1,0,0,3,0,3,9,1,0,4,2,2
87,2,1,0,0,4,1,0,9,1,0,2,0,0
88,1,0,0,0,1,0,0,7,1,0,1,0,0
89,1,1,0,0,1,0,1,2,0,0,0,1,0
90,0,0,0,0,1,0,3,0,0,0,1,0,1
91,0,0,0,0,0,0,0,1,0,0,0,0,0
93,7,9,3,2,11,5,15,35,3,3,6,3,4
94,0,0,0,0,1,1,0,9,0,0,1,0,1
95,1,0,0,0,1,0,0,1,0,0,0,0,0
97,0,0,0,0,0,0,0,1,0,0,0,0,0
99,16,2,0,0,3,1,1,15,0,1,7,1,1
100,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,1,0,0,1,0,1,0,0,0,1,1,1
103,0,1,0,0,0,2,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0
106,0,1,0,1,3,0,5,5,0,0,0,1,0
107,0,0,0,0,2,0,0,2,0,0,0,0,0
109,2,1,1,0,1,0,1,0,0,0,2,1,0
111,7,2,1,0,3,1,5,2,0,0,4,1,1
112,4,1,0,0,3,0,1,2,0,0,2,1,1
114,2,0,0,1,1,0,0,7,1,0,0,0,1
118,1,0,0,0,2,0,0,1,0,1,0,0,0
119,3,2,1,0,2,1,2,5,1,1,4,1,1
120,0,0,0,0,0,1,0,1,0,0,0,0,0
121,0,0,0,0,2,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,4,0,0,0,0,0
125,2,0,1,0,1,0,1,7,0,0,3,1,0
128,1,0,0,0,1,1,0,1,0,0,1,0,0
129,1,0,0,1,0,0,0,1,1,0,0,0,1
131,1,0,0,0,2,1,0,1,0,0,0,0,0
136,0,0,0,0,0,0,0,1,0,0,0,0,0
137,4,0,0,0,1,0,0,0,0,0,3,0,0
144,0,1,0,0,0,0,0,1,0,0,0,0,0
146,0,1,0,0,1,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,1,0,0
156,0,0,0,0,1,0,0,2,0,0,0,0,0
160,0,0,1,0,0,0,0,1,0,0,0,0,0
165,1,1,0,0,1,1,1,0,0,1,2,1,0
174,1,0,0,0,0,0,0,0,0,0,0,0,0
176,1,1,0,0,2,0,1,4,0,0,1,2,1
177,0,0,0,0,0,0,0,1,0,0,0,0,0
178,0,0,0,0,1,0,0,0,0,0,0,0,0
181,1,0,0,1,2,0,0,13,1,0,1,2,1
183,0,0,0,0,1,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,1,0,0,0,0,0
185,1,1,0,0,1,0,1,0,0,1,1,1,0
189,0,2,0,0,1,0,0,1,0,0,0,0,0
193,0,0,0,0,0,0,0,2,0,0,0,0,0
194,0,0,0,0,0,0,0,1,0,0,0,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0
197,0,1,0,0,0,0,1,0,0,0,1,0,0
202,0,0,0,0,0,1,1,4,0,0,1,1,0
206,0,0,0,0,0,1,0,0,0,0,0,0,0
207,0,0,0,0,0,1,0,0,0,0,0,0,0
210,0,0,0,0,0,0,1,0,0,0,1,0,0
211,0,0,0,0,0,0,1,0,0,0,0,0,0
213,0,0,0,0,0,0,0,1,0,0,0,0,0
218,0,0,0,0,0,0,0,2,0,0,1,0,0
226,0,0,0,0,1,0,1,1,0,0,1,1,1
228,0,0,0,0,1,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,1,0,0,0,0,0,0
230,0,0,0,0,0,0,1,0,0,0,1,0,0
231,0,0,0,0,2,0,0,1,0,0,0,0,0
