matrix_id,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Umwelt,Wirtschaft
1,0,0,0,0,0,1,0,0
3,0,0,1,0,0,0,1,1
8,0,0,0,0,4,0,0,0
24,0,0,0,0,1,0,0,1
27,0,0,0,0,1,0,1,0
34,0,0,1,0,0,0,1,1
38,0,0,0,0,1,0,0,0
42,0,0,0,1,1,0,0,0
54,0,1,0,0,0,0,0,0
60,0,0,0,0,1,0,0,0
82,1,0,0,0,0,0,0,0
98,0,0,1,0,0,0,0,0
