matrix_id,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Ecologia,Economia
1,1,0,0,0,0,1,0,0
3,0,0,1,0,0,0,1,1
8,0,0,0,0,4,0,0,0
18,0,0,0,1,0,1,0,0
23,0,0,0,0,0,0,1,0
24,0,0,0,0,1,0,0,1
27,0,0,0,0,1,0,1,0
34,0,0,1,0,0,0,1,1
38,0,0,0,0,1,0,0,0
42,0,0,0,1,1,0,0,0
54,0,1,0,0,0,0,0,0
60,0,0,0,0,1,0,0,0
82,1,0,0,0,0,0,0,0
98,0,0,1,0,0,0,0,0
