matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia
1,0,1,0,0,0,0,1,1,0,0,0
3,0,0,0,0,2,2,5,0,1,4,1
5,0,0,0,2,0,0,0,0,0,0,0
6,1,0,0,0,0,1,6,0,0,2,1
7,0,0,0,0,0,0,1,0,0,1,0
8,0,1,0,3,1,2,10,2,0,1,2
9,0,0,0,0,1,1,10,0,0,4,1
10,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,1,0,0,0
18,6,2,2,1,3,5,20,3,0,9,5
21,0,0,0,0,0,0,1,0,0,0,0
22,0,0,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,2,2,0,0,3,0
24,0,0,0,0,0,0,2,0,0,1,1
27,0,0,0,0,0,0,1,0,0,1,0
30,0,0,0,0,0,0,1,0,0,0,0
34,0,1,0,0,2,1,2,0,0,2,1
35,0,0,0,1,0,1,0,0,0,0,0
37,0,0,0,0,0,0,0,1,0,0,0
38,0,0,0,0,0,1,1,0,0,0,1
39,0,0,0,0,1,1,0,1,0,0,0
42,0,0,0,1,0,1,5,0,0,0,0
48,0,0,0,1,0,1,1,0,0,1,0
50,0,0,0,0,0,1,1,0,0,1,0
51,0,0,0,0,1,1,0,0,0,0,0
54,0,0,0,1,0,1,5,1,0,0,1
56,0,0,0,0,0,0,2,0,0,1,0
58,0,0,0,0,0,2,0,0,0,0,0
60,3,0,0,0,0,1,5,0,0,3,2
81,0,0,0,0,0,0,0,0,0,1,0
82,1,1,1,0,0,0,3,0,0,3,0
93,0,0,0,0,0,0,0,0,0,2,0
98,0,0,0,0,1,0,0,0,0,0,0
99,0,0,0,0,0,1,0,0,0,0,0
100,0,0,0,0,1,1,0,0,0,0,0
113,0,0,0,1,0,0,0,0,0,0,0
118,0,0,0,2,0,0,0,0,1,0,0
126,0,0,0,0,0,0,1,0,0,0,0
