steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Umwelt,Wirtschaft
8,0,0,0,0,0,1,0,1,0
13,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,1,0,0,0
34,0,0,0,0,1,0,0,0,0
36,1,0,0,0,0,0,0,0,0
42,0,0,0,1,0,0,0,1,1
58,0,0,0,1,1,0,1,0,0
92,0,0,0,0,0,1,0,0,0
116,0,0,0,0,0,0,0,1,0
118,0,0,0,0,0,1,0,0,0
160,0,0,0,0,1,0,1,0,0
232,0,0,1,0,0,1,0,0,0
238,0,1,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,1,0
278,0,0,0,0,0,1,0,1,0
285,0,0,0,0,0,0,0,1,0
293,0,0,0,0,0,1,0,0,0
