steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Ecologie
8,0,0,0,0,0,1,0,1
13,0,0,0,0,0,0,0,1
23,0,0,0,0,0,1,0,0
36,1,0,0,0,0,0,0,0
58,0,0,0,1,1,0,1,0
92,0,0,0,0,0,1,0,0
116,0,0,0,0,0,0,0,1
118,0,0,0,0,0,1,0,0
160,0,0,0,0,1,0,1,0
232,0,0,1,0,0,1,0,0
238,0,1,0,0,0,0,0,0
276,0,0,0,0,0,0,0,1
278,0,0,0,0,0,1,0,1
285,0,0,0,0,0,0,0,1
293,0,0,0,0,0,1,0,0
