steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie
1,0,0,0,0,0,0,2,0,0,2,0
8,0,0,0,0,0,0,1,1,0,4,0
10,0,0,0,0,0,0,1,0,0,1,0
11,1,0,0,0,1,0,1,0,0,0,1
12,0,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,1,0,0,2,0
23,0,0,0,0,0,0,4,0,0,1,0
25,0,0,0,0,0,1,0,0,0,0,0
31,0,0,0,0,0,0,1,0,0,0,0
33,0,0,0,0,0,1,2,0,0,0,0
34,2,0,0,0,0,2,0,0,0,4,0
36,9,0,2,0,0,1,0,1,0,3,1
40,0,0,0,0,0,0,1,0,0,0,0
42,0,0,0,0,1,1,1,0,0,1,1
43,0,0,0,0,0,0,1,0,0,0,0
45,0,0,0,0,0,0,2,0,0,1,0
48,0,0,0,0,0,1,1,0,0,0,0
51,0,0,0,0,1,3,0,1,0,0,0
58,0,0,0,0,1,2,0,1,0,0,0
59,0,0,0,0,1,0,0,0,1,0,0
60,0,0,0,0,0,1,0,0,0,0,0
92,0,0,0,0,0,0,1,0,0,0,0
99,0,0,0,0,0,0,2,0,0,0,0
101,0,0,0,0,0,0,1,0,0,0,0
116,0,0,0,0,0,0,1,0,0,2,0
118,0,0,0,0,0,0,1,0,0,0,0
120,0,0,0,0,0,0,1,0,0,0,0
121,0,0,0,0,0,0,1,0,0,0,0
123,0,0,0,0,1,1,0,0,0,0,0
125,0,1,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,1,0,0,0,0
160,0,0,0,0,0,1,0,1,0,0,0
164,0,0,0,0,0,0,1,0,0,0,0
168,0,0,0,0,0,0,1,0,0,0,0
178,0,0,0,0,0,0,1,0,0,2,0
181,0,0,0,0,1,2,0,0,0,0,1
183,0,0,0,0,0,0,1,0,0,0,0
190,0,0,0,0,0,0,1,0,0,0,0
199,0,0,0,0,0,0,1,0,0,0,0
211,0,0,0,0,1,1,0,1,0,0,0
227,1,0,0,0,0,0,0,0,0,2,0
232,0,0,0,3,0,1,4,0,0,0,1
236,0,0,0,0,1,2,0,0,0,0,1
237,0,0,0,0,0,0,1,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,2,0,0,0,0
244,0,0,0,0,0,0,1,0,0,0,0
257,0,0,0,0,0,0,3,0,0,0,0
263,0,0,0,1,0,1,2,1,0,0,0
267,0,0,0,1,0,0,6,0,0,1,1
272,0,0,0,0,0,1,0,1,0,0,0
276,0,0,0,0,0,0,0,0,0,2,0
278,0,0,0,0,0,0,1,0,0,1,0
285,0,0,0,0,0,0,0,0,0,2,0
293,0,0,0,0,0,0,3,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,1
295,1,0,1,0,0,0,0,1,0,1,2
297,0,0,0,0,0,0,0,1,0,0,0
300,0,0,0,0,0,1,1,0,0,0,0
