steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Ecologia,Economia
8,0,0,0,0,0,1,0,1,0
13,0,0,0,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0
36,1,0,0,0,0,0,0,0,0
42,0,0,0,1,0,0,0,1,1
58,0,0,0,1,1,0,1,0,0
116,0,0,0,0,0,0,0,1,0
118,0,0,0,0,0,1,0,0,0
160,0,0,0,0,1,0,1,0,0
232,0,0,1,0,0,2,0,0,0
238,0,1,0,0,0,0,0,0,0
267,0,0,0,0,0,1,0,0,0
276,0,0,0,0,0,0,0,1,0
278,0,0,0,0,0,1,0,1,0
285,0,0,0,0,0,0,0,1,0
293,0,0,0,0,0,1,0,0,0
