gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique,changement démographique
1,1,0,0,0,2,0,1,12,1,0,1,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,2,1,0,0,0,0,0,0
5,0,0,0,0,0,1,1,1,0,0,1,1,0,0
7,1,1,0,0,0,0,0,1,0,0,1,1,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,0,1,1,1,0,0,0,0,0,0
10,0,0,0,0,0,0,1,1,0,0,2,0,0,0
18,0,0,0,0,0,0,0,4,0,0,0,0,0,0
19,0,0,0,0,1,0,1,7,0,1,1,0,0,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,3,0,0,0
26,0,1,0,0,4,2,4,9,1,1,1,0,0,1
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,0,0,1,0,0,0,0,0,1,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,4,0,0,0
43,0,1,0,0,0,0,0,0,0,0,2,0,0,0
45,0,2,0,0,0,0,2,0,0,1,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,0,2,0,0,0,0,0,0,0,0,0,0,0,0
63,2,0,2,0,0,1,1,4,1,0,2,1,0,0
69,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,1,0,0,2,0,0,0
79,0,0,0,0,0,0,5,0,0,0,0,0,0,0
86,2,0,0,0,0,0,0,1,0,0,1,1,0,0
87,1,0,0,0,1,0,0,2,0,0,1,0,0,0
88,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,1,1,0,0,0,0,1,0,1,0,0,1,0,0
90,0,0,0,0,1,0,0,0,0,0,1,0,0,0
91,1,3,2,1,0,1,0,1,1,0,9,5,2,0
93,2,2,1,0,3,0,4,8,1,1,2,0,0,0
94,0,0,0,0,0,0,0,4,0,0,1,0,0,0
96,0,0,0,0,0,0,0,0,0,0,3,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,0,0,0,0,0,2,0,0,1,0,0,0
102,1,0,0,0,0,0,3,0,0,0,9,4,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,0,0,0,0,0,1,2,1,0,0,1,1,0,0
109,1,3,0,0,0,1,0,0,0,1,2,0,0,0
111,8,3,1,1,0,2,4,1,1,0,9,1,0,0
112,1,0,0,0,0,0,0,0,0,0,1,0,0,0
113,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,3,0,0,0,0,0,0
115,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,1,0,0,0,1,0,0,1,0,0,0,0,0,0
119,0,1,0,0,0,0,0,3,0,1,2,0,0,0
120,0,0,0,0,0,0,0,1,0,0,1,0,0,0
123,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,1,7,0,0,0,0,1,5,0,4,17,3,0,0
126,1,1,2,0,0,1,1,0,2,1,15,1,0,0
127,0,1,2,0,0,1,0,0,0,0,3,0,0,0
128,0,2,0,1,0,0,4,0,0,0,7,3,0,0
130,0,0,0,1,0,0,1,0,0,0,1,0,0,0
137,3,0,0,0,1,0,0,0,0,0,3,0,0,0
145,0,0,0,0,0,0,3,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,1,0,1,0
156,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,0,0,0,0,0,0,0,1,0,0,1,0,0,0
164,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,0,0,0,0,0,0,2,0,0,0,8,1,0,0
166,0,0,0,1,0,1,1,0,0,2,3,0,0,0
167,0,0,0,0,0,0,1,0,0,0,4,0,0,0
172,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,1,1,0,0,0,0,0,2,0,0,0,1,0,0
178,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,1,0,0,0,0,0,0,0,0,0,1,0,0,0
181,0,0,0,0,3,0,0,9,0,0,1,2,0,0
182,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,2,1,0,0,0,0,2,0,0,0,7,1,0,0
189,0,0,0,0,0,0,0,1,0,0,0,0,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,0,0,0,0,0,1,2,1,0,0,1,1,0,0
203,2,1,0,0,0,1,2,0,0,0,1,0,0,0
210,0,0,0,0,0,0,0,0,0,0,1,0,0,0
211,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,1,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,0,0,0,0,0,0,1,0,0,0,1,0,0,0
227,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,2,0,3,0,1,0
232,1,0,0,0,0,0,1,3,0,0,0,0,0,0
234,0,0,0,0,0,0,2,0,0,0,0,0,0,0
238,0,0,0,0,0,1,1,2,0,0,0,1,0,0
244,1,0,0,0,0,1,2,18,0,0,3,2,0,0
246,0,1,0,0,0,1,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,1,0,0,0
255,0,0,0,0,0,0,0,3,0,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0,0,1,0,0,0
261,0,0,1,0,0,0,1,0,2,0,1,0,0,0
266,0,0,1,0,0,0,0,0,1,0,1,0,0,0
269,0,0,0,0,0,0,0,0,0,0,1,0,0,0
271,0,0,0,0,0,1,1,0,0,1,1,0,0,0
272,0,0,0,0,0,0,0,0,0,0,1,0,0,0
277,3,0,0,0,0,0,0,0,0,0,1,0,0,0
284,0,0,0,0,0,0,0,0,0,0,1,1,0,0
285,0,0,0,0,0,0,0,0,0,1,0,0,0,0
288,1,1,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,1,0,0,0,0,0,0,0
297,0,0,0,0,0,1,2,0,1,0,0,0,0,0
298,1,0,0,0,0,1,1,0,0,0,2,0,0,0
300,1,1,0,0,0,0,0,0,0,0,0,1,0,0
308,1,0,0,0,0,0,0,0,0,0,1,0,0,0
310,0,0,0,0,0,0,0,0,0,0,1,0,0,0
314,0,0,0,0,0,0,0,1,0,0,1,0,0,0
320,0,0,0,0,0,0,0,1,0,0,0,0,0,0
323,0,1,0,0,0,0,0,0,0,0,0,0,1,0
332,0,0,0,0,1,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,1,2,1,0,0,0,0,0,0
334,0,0,0,0,1,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,1,1,0,0
345,0,1,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,1,0,0,1,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,1,0,0,0
355,0,0,0,0,0,0,1,0,0,0,0,0,0,0
361,0,0,0,0,0,0,1,8,0,0,0,0,0,0
363,0,1,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,1,0,0,0
370,0,0,0,0,0,0,0,0,0,0,1,0,0,0
371,0,0,0,0,0,0,1,0,0,0,0,0,0,0
379,0,0,0,0,0,1,0,0,0,0,1,0,0,0
392,0,0,0,0,0,0,1,1,0,0,0,0,0,0
401,0,0,0,0,0,1,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,1,0,0,0,1,0,0,0
422,0,0,0,0,0,0,1,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,1,1,0,0
437,2,0,0,0,0,0,0,0,0,0,1,0,0,0
442,1,0,0,0,0,0,0,0,0,0,1,0,0,0
448,0,0,0,0,0,0,1,0,0,0,0,0,0,0
450,0,0,0,0,0,0,2,0,0,0,1,0,1,0
453,0,0,0,0,0,0,0,0,0,0,1,0,0,0
461,0,0,0,0,0,0,1,0,0,0,0,0,0,0
465,0,0,1,0,0,0,1,0,1,0,0,0,0,0
466,0,0,0,0,0,0,1,0,0,0,0,0,0,0
468,0,0,0,0,0,1,1,0,0,1,1,0,0,0
470,0,0,0,0,0,0,0,1,0,0,1,0,0,0
473,1,0,0,0,0,0,0,0,0,0,1,0,0,0
474,1,0,0,0,0,1,1,0,0,0,1,0,0,0
476,0,0,0,0,0,0,0,1,0,0,1,0,0,0
483,0,1,1,0,0,1,0,0,0,0,1,0,0,0
485,0,0,0,0,0,0,0,2,0,0,1,1,0,0
489,0,1,0,0,0,1,0,0,0,0,0,0,0,0
490,0,0,0,0,0,1,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,1,0,0,0
492,0,0,0,0,0,0,1,0,0,0,0,0,0,0
493,0,0,1,0,0,0,0,0,1,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0,1,0,0,0
