matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Kreislaufwirtschaft,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Umwelt
1,0,0,1,0,0,1,0,0
3,0,0,0,0,0,0,0,1
5,0,1,0,0,1,0,0,0
6,0,0,0,0,0,1,0,0
7,1,0,0,0,0,0,0,0
18,1,0,0,0,2,1,0,0
27,0,0,0,2,1,0,0,0
34,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,1,0
56,0,0,0,0,1,0,0,0
80,0,0,0,0,1,0,0,0
82,0,0,0,0,0,0,0,1
148,0,0,0,0,1,0,0,0
