matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,1,3,0,1,1,1,12,3,2,2,2,3,0
3,1,0,0,0,0,1,2,4,0,0,4,1,0
5,2,1,0,0,2,0,0,2,0,0,4,1,0
6,2,0,0,0,0,1,6,8,1,0,7,1,0
7,0,0,0,0,0,0,0,1,0,1,2,0,0
8,3,0,1,0,3,1,3,13,2,0,5,5,0
9,0,1,0,0,0,2,2,11,1,1,14,3,1
10,0,0,0,0,2,0,0,0,0,0,1,1,0
11,1,1,0,0,0,0,1,0,2,2,4,5,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,0,1,0,1,1,0,0
14,0,0,0,0,0,1,2,0,2,0,0,0,0
15,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,0,0,0,0,0
18,8,17,2,2,1,13,40,15,17,6,21,22,2
21,0,0,0,0,0,0,1,1,0,0,0,0,0
22,0,0,1,0,0,1,1,1,0,0,0,0,0
23,2,1,0,0,0,0,2,2,0,0,5,1,0
24,0,0,0,0,0,0,0,2,0,0,1,2,0
25,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,0,1,0,0,1,0,0
30,0,0,0,0,0,0,0,2,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,1,0,0
34,0,1,0,0,0,2,1,2,0,0,2,2,1
35,0,0,0,0,1,0,1,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,1,1,0
38,0,0,0,0,0,0,0,2,0,0,0,0,0
39,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,0,0,0,1,0,3,4,0,0,0,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,1,0,0,1,0,0,1,0,0,3,2,0
49,0,0,0,0,0,0,1,0,1,0,1,0,0
50,0,0,0,0,0,0,1,1,0,0,1,0,0
54,0,0,0,0,2,0,1,5,1,0,0,1,0
56,0,0,0,0,0,0,0,3,0,0,1,0,0
58,0,0,0,0,0,0,3,0,0,1,1,0,0
60,4,0,0,0,0,1,2,5,0,0,7,5,0
65,0,0,0,0,0,0,0,0,0,1,0,0,0
67,0,0,0,0,0,0,0,0,0,0,1,1,0
73,0,0,0,0,0,0,2,0,0,0,0,0,0
80,0,0,0,0,0,0,6,0,0,1,0,0,0
81,0,0,0,0,0,0,2,0,0,0,1,0,0
82,3,2,1,0,0,0,0,4,3,0,18,0,1
84,0,0,0,0,0,0,0,0,0,0,1,0,0
86,0,0,0,0,0,0,0,0,0,1,1,0,0
93,0,0,0,0,0,0,0,0,0,0,2,3,0
98,0,0,0,0,0,1,3,0,0,0,0,0,0
99,0,0,0,0,0,0,1,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,1,0,0,0,0
104,0,0,0,0,0,0,0,0,1,0,0,0,0
105,0,0,0,0,0,0,0,0,0,1,1,0,0
113,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,1,0,0
118,0,0,0,0,2,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,1,0,1,0,0,0
133,0,0,0,0,0,0,1,0,0,0,2,0,0
142,0,0,0,0,0,0,1,0,0,0,0,0,0
144,0,0,0,0,0,0,2,0,0,0,0,0,0
148,0,0,0,0,0,0,1,0,1,0,1,1,1
155,0,0,0,0,0,1,0,0,0,0,0,0,0
157,0,0,0,0,0,0,1,0,0,0,0,0,0
