steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft
1,0,0,0,0,0,0,0,2,0,0,2,0
8,1,2,0,1,0,0,2,1,1,3,21,2
10,0,0,0,0,0,0,0,1,0,0,1,0
11,1,0,0,0,0,1,0,1,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,0,1,0,0
21,0,1,0,0,0,0,0,1,0,1,8,1
23,0,0,0,0,0,0,0,4,0,0,1,0
25,0,1,0,0,0,1,2,0,0,0,0,0
27,0,0,0,0,0,0,1,0,0,0,0,0
33,0,0,0,0,0,0,1,2,0,0,0,0
34,8,1,0,0,0,2,6,0,0,0,5,0
35,0,1,0,0,0,0,0,0,0,0,3,0
36,15,0,2,0,0,0,1,0,1,0,3,1
40,0,0,0,0,0,0,0,1,0,0,0,0
42,0,0,0,0,0,1,1,1,0,0,1,1
43,0,0,0,0,0,0,0,1,0,0,0,0
45,0,0,0,0,0,0,0,2,0,0,1,0
47,0,1,0,0,1,0,0,0,0,0,0,0
48,0,0,0,0,0,0,1,1,0,0,0,0
49,0,0,0,0,0,0,1,0,0,0,0,0
51,0,0,0,0,0,3,5,0,2,0,0,0
58,0,0,0,0,0,1,2,0,1,0,0,0
59,0,0,0,0,0,1,0,0,0,1,0,0
60,0,0,0,0,0,0,1,0,0,0,0,0
63,0,1,0,0,0,0,1,0,0,0,0,0
64,0,0,0,0,0,0,1,0,0,0,0,0
83,0,1,0,0,0,0,0,0,0,0,1,0
85,0,0,0,0,0,0,1,0,0,1,0,0
86,0,0,0,0,0,0,1,0,0,0,2,0
87,0,0,0,0,0,0,2,0,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0
95,0,0,0,0,0,3,20,0,2,1,0,1
99,0,0,0,0,0,0,0,2,0,0,0,0
101,0,0,0,0,0,0,0,1,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,1,0
116,0,0,0,0,0,0,0,1,0,0,3,0
123,0,0,0,0,0,1,0,0,0,0,0,0
125,0,1,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,1,0,2,0
128,0,0,0,1,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,1,0,0,0,0
131,0,0,0,0,0,0,1,0,0,0,0,0
136,1,0,0,0,0,1,0,0,0,0,0,0
140,0,0,0,0,0,0,1,0,0,0,0,0
143,0,1,0,1,0,0,0,0,0,0,0,0
147,0,0,0,0,0,1,0,0,0,0,0,0
148,0,0,0,0,0,0,1,0,0,0,0,0
160,0,0,0,0,0,0,1,0,1,0,1,0
164,0,0,0,0,0,0,0,1,0,0,0,0
165,1,0,0,0,0,0,0,0,0,0,1,0
168,0,0,0,0,0,0,0,1,0,0,0,0
174,0,0,0,0,0,0,1,0,1,0,0,0
178,0,0,0,0,0,0,0,1,0,0,2,0
181,0,0,0,0,0,1,2,0,0,0,0,1
183,0,0,0,0,0,0,0,1,0,0,0,0
187,0,0,0,0,0,0,0,0,1,0,0,2
188,0,0,0,0,0,0,0,0,1,0,5,0
190,0,0,0,0,0,1,0,1,0,0,1,0
199,0,0,0,0,0,0,0,1,0,0,0,0
205,0,0,0,0,0,0,1,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,1,0
211,0,0,0,0,0,2,5,0,2,0,0,0
220,0,0,0,0,0,0,0,0,0,0,3,1
222,0,0,0,0,0,0,1,0,0,0,0,0
227,1,0,0,0,0,0,0,0,0,0,2,0
231,0,0,0,0,0,0,1,0,0,0,0,0
232,0,0,0,0,3,0,1,3,0,0,0,1
233,0,0,0,0,0,0,1,0,1,0,0,0
234,0,0,0,0,0,0,0,0,1,1,8,1
236,0,0,0,0,0,1,2,0,0,0,0,1
237,0,0,0,0,0,0,0,1,0,0,0,0
238,0,2,0,0,0,0,1,0,0,0,0,0
239,0,0,0,0,0,0,0,2,0,0,0,0
244,0,0,0,0,0,0,0,1,0,0,0,0
251,0,0,0,1,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,3,0,0,0,0
259,0,0,0,0,0,0,1,0,0,0,3,1
263,0,0,0,0,1,0,1,1,1,0,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0
266,0,0,0,0,0,0,1,0,0,0,0,0
267,0,0,0,0,1,0,0,5,0,0,1,0
272,0,0,0,0,0,0,1,0,1,0,0,0
273,0,0,0,0,0,0,1,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,3,0
277,0,1,0,0,0,0,4,0,0,1,0,0
278,0,0,0,0,0,0,0,1,0,0,1,0
279,0,0,0,0,0,0,0,0,0,1,0,0
285,0,0,0,0,0,0,0,0,0,0,2,0
289,0,1,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,3,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,1
295,1,0,1,0,0,0,1,0,1,0,1,2
297,0,0,0,0,0,0,0,0,1,0,0,0
298,0,0,0,0,0,0,0,0,0,0,1,0
299,0,0,0,0,0,0,1,0,0,0,0,0
300,0,0,0,0,0,0,1,1,0,0,0,0
301,0,0,0,0,0,0,0,0,1,0,0,0
