Code,NAME DE,NAME FR,NAME IT,NAME EN
1,Betrieb von lokaler Bedeutung,Entreprise d’importance locale,Azienda di importanza locale,Establishment of local importance
2,Betrieb von lokaler Bedeutung mit Angebot für Personengruppen mit besonderem Risiko,Entreprise d’importance locale dont les produits sont destinés à des groupes de personnes à risque,Azienda di importanza locale con offerta per gruppi di persone con rischio particolare,Establishment of local importance with offer for groups of people with special risks
3,Betrieb von regionaler Bedeutung ,Entreprise d’importance régionale ,Azienda di importanza regionale ,Establishment of regional importance
4,Betrieb von regionaler Bedeutung mit Angebot für Personengruppen mit besonderem Risiko,Entreprise d’importance régionale dont les produits sont destinés à des groupes de personnes à risque,Azienda di importanza regionale con offerta per gruppi di persone con rischio particolare,Establishment of regional importance with offer for groups of people with special risks
5,Betrieb von nationaler oder internationaler Bedeutung,Entreprise d’importance nationale ou internationale,Azienda di importanza nazionale o internazionale,Establishment of national or international importance
6,"Betrieb von nationaler oder internationaler Bedeutung mit Angebot für Personengruppen mit besonderem Risiko ",Entreprise d’importance nationale ou internationale dont les produits sont destinés à des groupes de personnes à risque ,Azienda di importanza nazionale o internazionale con offerta per gruppi di persone con rischio particolare ,Establishment of national or international importance with offer for groups of people with special risks
7,Trinkwasserversorgungen mit < 100 m3/Tag,Installations de distribution d’eau potable de < 100 m3/jour,Approvvigionamenti di acqua potabile con < 100 m3/giorno,Drinking water supplies with < 100 m3/day
8,Trinkwasserversorgungen mit < 100 m3/Tag mit zusätzlichen Beeinflussungen,Installations de distribution d’eau potable de < 100 m3/jour si influences supplémentaires,Approvvigionamenti di acqua potabile con < 100 m3/giorno con influssi aggiuntivi,Drinking water supplies with < 100 m3/day with additional influences
9,Trinkwasserversorgungen mit ≥ 100 bis < 1'000 m3/Tag ,Installations de distribution d’eau potable de ≥ 100 à < 1'000 m3/jour ,Approvvigionamenti di acqua potabile con ≥ 100 fino a < 1'000 m3/giorno ,Drinking water supplies with ≥ 100 to < 1'000 m3/day
10,Trinkwasserversorgungen mit ≥ 100 bis < 1'000 m3/Tag mit zusätzlichen Beeinflussungen,Installations de distribution d’eau potable de ≥ 100 à < 1'000 m3/jour si influences supplémentaires,Approvvigionamenti di acqua potabile con ≥ 100 fino a < 1'000 m3/giorno con influssi aggiuntivi,Drinking water supplies with ≥ 100 to < 1'000 m3/day with additional influences
11,Trinkwasserversorgungen mit ≥ 1'000 m3/Tag,Installations de distribution d’eau potable de ≥ 1'000 m3/jour,Approvvigionamenti di acqua potabile con ≥ 1'000 m3/giorno,Drinking water supplies with ≥ 1'000 m3/day
12,Trinkwasserversorgungen mit ≥ 1'000 m3/Tag mit zusätzlichen Beeinflussungen,Installations de distribution d’eau potable de ≥ 1'000 m3/jour si influences supplémentaires,Approvvigionamenti di acqua potabile con ≥ 1'000 m3/giorno con influssi aggiuntivi,Drinking water supplies with ≥ 1'000 m3/day with additional influences
