Code,NAME DE,NAME FR,NAME IT,NAME EN,Steckbrief
22563-18,CAMV,CAMV,CAMV,CAMV,GVO
22562-21,GVO-Konstrukt 35S-bar,Construction OGM 35S-bar,Costrutto OGM 35S-bar,GMO construct 35S-bar,GVO
733005-73,GVO-Konstrukt 35S-pat,Construction OGM 35S-pat,Costrutto OGM 35S-pat,GMO construct 35S-pat,GVO
732996-03,GVO-Konstrukt cpti-Tnos,Construction OGM cpti-Tnos,Costrutto OGM cpti-Tnos,GMO construct cpti-Tnos,GVO
733014-46,GVO-Konstrukt Cry-Tnos,Construction OGM Cry-Tnos,Costrutto OGM Cry-Tnos,GMO construct Cry-Tnos,GVO
733020-28,GVO-Konstrukt P-ubi-cry,Construction OGM P-ubi-cry,Costrutto OGM P-ubi-cry,GMO construct P-ubi-cry,GVO
732986-33,GVO-Screening-Element bar,Élément de screening OGM bar,Elemento screening OGM bar,GMO screening element bar,GVO
733009-61,GVO-Screening-Element CrylAb/Ac,Élément de screening OGM CrylAb/Ac,Elemento screening OGM CrylAb/Ac,GMO screening element CrylAb/Ac,GVO
733032-89,GVO-Screening-Element EPSPS,Élément de screening OGM EPSPS,Elemento screening OGM EPSPS,GMO screening element EPSPS,GVO
732985-36,GVO-Screening-Element gox,Élément de screening OGM gox,Elemento screening OGM gox,GMO screening element gox,GVO
732993-12,GVO-Screening-Element gus,Élément de screening OGM gus,Elemento screening OGM gus,GMO screening element gus,GVO
733011-55,GVO-Screening-Element hpt,Élément de screening OGM hpt,Elemento screening OGM hpt,GMO screening element hpt,GVO
733002-82,GVO-Screening-Element npt,Élément de screening OGM npt,Elemento screening OGM npt,GMO screening element npt,GVO
733022-22,GVO-Screening-Element pat,Élément de screening OGM pat,Elemento screening OGM pat,GMO screening element pat,GVO
732988-27,GVO-Screening-Element P-FMV,Élément de screening OGM P-FMV,Elemento screening OGM P FMV,GMO screening element P-FMV,GVO
732987-30,GVO-Screening-Element T-35S,Élément de screening OGM T-35S,Elemento screening OGM T-35S,GMO screening element T-35S,GVO
732992-15,GVO-Screening-Element T-NOS,Élément de screening OGM T-NOS,Elemento screening OGM T-NOS,GMO screening element T-NOS,GVO
22561-24,GVO-Screening-Element P-35S,Élément de screening OGM P-35S,Elemento screening OGM P-35S,GVO-Screening-Element P-35S,GVO
733030-95,Lein FP967,Lin FP967,Lino FP967,Flax FP967,GVO
733024-16,Lein-Referenzgen SAD,Gène de référence du lin SAD,Gene di riferimento lino SAD,Flax reference gene SAD,GVO
732997-00,Mais 3272,Maïs 3272,Mais 3272,Maize 3272,GVO
733016-40,Mais 98140,Maïs 98140,Mais 98140,Maize 98140,GVO
22546-69,Mais Bt10,Maïs Bt10,Mais Bt10,Maize Bt10,GVO
22547-66,Mais Bt11 - SYN-BTØ11-1 ,Maïs Bt11 - SYN-BTØ11-1 ,Mais Bt11 - SYN-BTØ11-1 ,Maize Bt11 - SYN-BTØ11-1 ,GVO
22548-63,Mais Bt176 - SYN-EV176-9 ,Maïs Bt176 - SYN-EV176-9 ,Mais Bt176 - SYN-EV176-9 ,Maize Bt176 - SYN-EV176-9 ,GVO
733003-79,Mais CBH-351,Maïs CBH-351,Mais CBH-351,Maize CBH-351,GVO
733001-85,Mais DAS-40278-9,Maïs DAS-40278-9,Mais DAS-40278-9,Maize DAS-40278-9,GVO
22549-60,Mais 59122 - DAS-59122-7,Maïs 59122 - DAS-59122-7,Mais 59122 - DAS-59122-7,Maize 59122 - DAS-59122-7,GVO
733006-70,Mais DBT418,Maïs DBT418,Mais DBT418,Maize DBT418,GVO
