YearWeekIso,LastDayOfWeek,Variable,Number
202440,2024-10-06,farms_total_count,11768
202440,2024-10-06,farms_to_examine_count,11513
202440,2024-10-06,farms_examined_count,255
202440,2024-10-06,farms_examined_positive_count,53
202440,2024-10-06,farms_examined_negative_count,202
202441,2024-10-13,farms_total_count,11872
202441,2024-10-13,farms_to_examine_count,11160
202441,2024-10-13,farms_examined_count,712
202441,2024-10-13,farms_examined_positive_count,149
202441,2024-10-13,farms_examined_negative_count,563
202442,2024-10-20,farms_total_count,11980
202442,2024-10-20,farms_to_examine_count,10658
202442,2024-10-20,farms_examined_count,1322
202442,2024-10-20,farms_examined_positive_count,279
202442,2024-10-20,farms_examined_negative_count,1043
202443,2024-10-27,farms_total_count,12024
202443,2024-10-27,farms_to_examine_count,10107
202443,2024-10-27,farms_examined_count,1917
202443,2024-10-27,farms_examined_positive_count,416
202443,2024-10-27,farms_examined_negative_count,1501
202444,2024-11-03,farms_total_count,12081
202444,2024-11-03,farms_to_examine_count,9677
202444,2024-11-03,farms_examined_count,2404
202444,2024-11-03,farms_examined_positive_count,520
202444,2024-11-03,farms_examined_negative_count,1884
202445,2024-11-10,farms_total_count,12123
202445,2024-11-10,farms_to_examine_count,9216
202445,2024-11-10,farms_examined_count,2907
202445,2024-11-10,farms_examined_positive_count,609
202445,2024-11-10,farms_examined_negative_count,2298
202446,2024-11-17,farms_total_count,12163
202446,2024-11-17,farms_to_examine_count,8808
202446,2024-11-17,farms_examined_count,3355
202446,2024-11-17,farms_examined_positive_count,706
202446,2024-11-17,farms_examined_negative_count,2649
202447,2024-11-24,farms_total_count,12201
202447,2024-11-24,farms_to_examine_count,8284
202447,2024-11-24,farms_examined_count,3917
202447,2024-11-24,farms_examined_positive_count,801
202447,2024-11-24,farms_examined_negative_count,3116
202448,2024-12-01,farms_total_count,12236
202448,2024-12-01,farms_to_examine_count,7716
202448,2024-12-01,farms_examined_count,4520
202448,2024-12-01,farms_examined_positive_count,902
202448,2024-12-01,farms_examined_negative_count,3618
202449,2024-12-08,farms_total_count,12262
202449,2024-12-08,farms_to_examine_count,7169
202449,2024-12-08,farms_examined_count,5093
202449,2024-12-08,farms_examined_positive_count,1015
202449,2024-12-08,farms_examined_negative_count,4078
202450,2024-12-15,farms_total_count,12290
202450,2024-12-15,farms_to_examine_count,6527
202450,2024-12-15,farms_examined_count,5763
202450,2024-12-15,farms_examined_positive_count,1181
202450,2024-12-15,farms_examined_negative_count,4582
202451,2024-12-22,farms_total_count,12313
202451,2024-12-22,farms_to_examine_count,5917
202451,2024-12-22,farms_examined_count,6396
202451,2024-12-22,farms_examined_positive_count,1288
202451,2024-12-22,farms_examined_negative_count,5108
202452,2024-12-29,farms_total_count,12324
202452,2024-12-29,farms_to_examine_count,5751
202452,2024-12-29,farms_examined_count,6573
202452,2024-12-29,farms_examined_positive_count,1317
202452,2024-12-29,farms_examined_negative_count,5256
202501,2025-01-05,farms_total_count,12346
202501,2025-01-05,farms_to_examine_count,5567
202501,2025-01-05,farms_examined_count,6779
202501,2025-01-05,farms_examined_positive_count,1365
202501,2025-01-05,farms_examined_negative_count,5414
