examinationPeriod,canton,variable,value,proportion
1,19,farms_affected_prevalence,112,17
1,19,farms_not_affected_prevalence,544,83
1,16,farms_affected_prevalence,36,38
1,16,farms_not_affected_prevalence,58,62
1,15,farms_affected_prevalence,50,22
1,15,farms_not_affected_prevalence,175,78
1,2,farms_affected_prevalence,777,31
1,2,farms_not_affected_prevalence,1757,69
1,13,farms_affected_prevalence,29,12
1,13,farms_not_affected_prevalence,206,88
1,12,farms_affected_prevalence,1,7
1,12,farms_not_affected_prevalence,13,93
1,LIE,farms_affected_prevalence,9,25
1,LIE,farms_not_affected_prevalence,27,75
1,10,farms_affected_prevalence,151,25
1,10,farms_not_affected_prevalence,464,75
1,25,farms_affected_prevalence,8,12
1,25,farms_not_affected_prevalence,57,88
1,8,farms_affected_prevalence,6,9
1,8,farms_not_affected_prevalence,60,91
1,18,farms_affected_prevalence,27,4
1,18,farms_not_affected_prevalence,593,96
1,26,farms_affected_prevalence,37,15
1,26,farms_not_affected_prevalence,209,85
1,3,farms_affected_prevalence,248,27
1,3,farms_not_affected_prevalence,668,73
1,24,farms_affected_prevalence,15,12
1,24,farms_not_affected_prevalence,112,88
1,7,farms_affected_prevalence,20,24
1,7,farms_not_affected_prevalence,63,76
1,6,farms_affected_prevalence,22,20
1,6,farms_not_affected_prevalence,87,80
1,17,farms_affected_prevalence,277,31
1,17,farms_not_affected_prevalence,604,69
1,14,farms_affected_prevalence,9,12
1,14,farms_not_affected_prevalence,69,88
1,11,farms_affected_prevalence,63,18
1,11,farms_not_affected_prevalence,278,82
1,5,farms_affected_prevalence,57,19
1,5,farms_not_affected_prevalence,246,81
1,20,farms_affected_prevalence,97,21
1,20,farms_not_affected_prevalence,366,79
1,21,farms_affected_prevalence,75,25
1,21,farms_not_affected_prevalence,231,75
1,4,farms_affected_prevalence,32,20
1,4,farms_not_affected_prevalence,130,80
1,22,farms_affected_prevalence,78,16
1,22,farms_not_affected_prevalence,420,84
1,23,farms_affected_prevalence,125,17
1,23,farms_not_affected_prevalence,593,83
1,9,farms_affected_prevalence,11,10
1,9,farms_not_affected_prevalence,99,90
1,1,farms_affected_prevalence,90,12
1,1,farms_not_affected_prevalence,638,88
1,CHE,farms_affected_prevalence,2462,22
1,CHE,farms_not_affected_prevalence,8767,78
2,19,farms_affected_prevalence,48,8
2,19,farms_not_affected_prevalence,589,92
2,16,farms_affected_prevalence,13,14
2,16,farms_not_affected_prevalence,79,86
2,15,farms_affected_prevalence,14,6
2,15,farms_not_affected_prevalence,203,94
2,2,farms_affected_prevalence,241,10
2,2,farms_not_affected_prevalence,2169,90
2,13,farms_affected_prevalence,12,5
2,13,farms_not_affected_prevalence,220,95
2,12,farms_affected_prevalence,0,0
2,12,farms_not_affected_prevalence,10,100
2,LIE,farms_affected_prevalence,5,14
2,LIE,farms_not_affected_prevalence,30,86
2,10,farms_affected_prevalence,66,12
2,10,farms_not_affected_prevalence,490,88
2,25,farms_affected_prevalence,2,3
2,25,farms_not_affected_prevalence,60,97
2,8,farms_affected_prevalence,1,2
2,8,farms_not_affected_prevalence,61,98
2,18,farms_affected_prevalence,33,5
2,18,farms_not_affected_prevalence,569,95
2,26,farms_affected_prevalence,19,8
2,26,farms_not_affected_prevalence,232,92
2,3,farms_affected_prevalence,70,8
2,3,farms_not_affected_prevalence,809,92
2,24,farms_affected_prevalence,10,9
2,24,farms_not_affected_prevalence,106,91
2,7,farms_affected_prevalence,10,14
2,7,farms_not_affected_prevalence,63,86
2,6,farms_affected_prevalence,13,12
2,6,farms_not_affected_prevalence,97,88
2,17,farms_affected_prevalence,146,18
2,17,farms_not_affected_prevalence,666,82
2,14,farms_affected_prevalence,7,9
2,14,farms_not_affected_prevalence,69,91
2,11,farms_affected_prevalence,18,5
2,11,farms_not_affected_prevalence,332,95
2,5,farms_affected_prevalence,48,15
2,5,farms_not_affected_prevalence,270,85
2,20,farms_affected_prevalence,25,6
2,20,farms_not_affected_prevalence,422,94
2,21,farms_affected_prevalence,32,11
2,21,farms_not_affected_prevalence,269,89
2,4,farms_affected_prevalence,16,10
2,4,farms_not_affected_prevalence,151,90
2,22,farms_affected_prevalence,33,7
2,22,farms_not_affected_prevalence,466,93
2,23,farms_affected_prevalence,20,3
2,23,farms_not_affected_prevalence,690,97
2,9,farms_affected_prevalence,5,5
2,9,farms_not_affected_prevalence,102,95
2,1,farms_affected_prevalence,24,3
2,1,farms_not_affected_prevalence,669,97
2,CHE,farms_affected_prevalence,931,9
2,CHE,farms_not_affected_prevalence,9893,91
