canton,variable,value,examinationPeriod,timePeriodFrom,timePeriodTo
19,farms_tested_negative_count,544,first,2024-10-01,2025-03-31
19,farms_tested_positive_count,109,first,2024-10-01,2025-03-31
19,farms_tested_positive_retested_negative_count,27,first,2024-10-01,2025-03-31
19,farms_tested_positive_retested_positive_count,7,first,2024-10-01,2025-03-31
16,farms_tested_negative_count,55,first,2024-10-01,2025-03-31
16,farms_tested_positive_count,36,first,2024-10-01,2025-03-31
16,farms_tested_positive_retested_negative_count,15,first,2024-10-01,2025-03-31
16,farms_tested_positive_retested_positive_count,7,first,2024-10-01,2025-03-31
15,farms_tested_negative_count,172,first,2024-10-01,2025-03-31
15,farms_tested_positive_count,49,first,2024-10-01,2025-03-31
15,farms_tested_positive_retested_negative_count,11,first,2024-10-01,2025-03-31
15,farms_tested_positive_retested_positive_count,6,first,2024-10-01,2025-03-31
2,farms_tested_negative_count,1756,first,2024-10-01,2025-03-31
2,farms_tested_positive_count,763,first,2024-10-01,2025-03-31
2,farms_tested_positive_retested_negative_count,370,first,2024-10-01,2025-03-31
2,farms_tested_positive_retested_positive_count,122,first,2024-10-01,2025-03-31
13,farms_tested_negative_count,206,first,2024-10-01,2025-03-31
13,farms_tested_positive_count,28,first,2024-10-01,2025-03-31
13,farms_tested_positive_retested_negative_count,6,first,2024-10-01,2025-03-31
13,farms_tested_positive_retested_positive_count,3,first,2024-10-01,2025-03-31
12,farms_tested_negative_count,13,first,2024-10-01,2025-03-31
12,farms_tested_positive_count,1,first,2024-10-01,2025-03-31
12,farms_tested_positive_retested_negative_count,1,first,2024-10-01,2025-03-31
12,farms_tested_positive_retested_positive_count,0,first,2024-10-01,2025-03-31
LIE,farms_tested_negative_count,27,first,2024-10-01,2025-03-31
LIE,farms_tested_positive_count,9,first,2024-10-01,2025-03-31
LIE,farms_tested_positive_retested_negative_count,0,first,2024-10-01,2025-03-31
LIE,farms_tested_positive_retested_positive_count,1,first,2024-10-01,2025-03-31
10,farms_tested_negative_count,462,first,2024-10-01,2025-03-31
10,farms_tested_positive_count,125,first,2024-10-01,2025-03-31
10,farms_tested_positive_retested_negative_count,38,first,2024-10-01,2025-03-31
10,farms_tested_positive_retested_positive_count,16,first,2024-10-01,2025-03-31
25,farms_tested_negative_count,57,first,2024-10-01,2025-03-31
25,farms_tested_positive_count,8,first,2024-10-01,2025-03-31
25,farms_tested_positive_retested_negative_count,1,first,2024-10-01,2025-03-31
25,farms_tested_positive_retested_positive_count,1,first,2024-10-01,2025-03-31
8,farms_tested_negative_count,60,first,2024-10-01,2025-03-31
8,farms_tested_positive_count,2,first,2024-10-01,2025-03-31
8,farms_tested_positive_retested_negative_count,1,first,2024-10-01,2025-03-31
8,farms_tested_positive_retested_positive_count,0,first,2024-10-01,2025-03-31
18,farms_tested_negative_count,593,first,2024-10-01,2025-03-31
18,farms_tested_positive_count,20,first,2024-10-01,2025-03-31
18,farms_tested_positive_retested_negative_count,12,first,2024-10-01,2025-03-31
18,farms_tested_positive_retested_positive_count,3,first,2024-10-01,2025-03-31
26,farms_tested_negative_count,209,first,2024-10-01,2025-03-31
26,farms_tested_positive_count,35,first,2024-10-01,2025-03-31
26,farms_tested_positive_retested_negative_count,10,first,2024-10-01,2025-03-31
26,farms_tested_positive_retested_positive_count,3,first,2024-10-01,2025-03-31
3,farms_tested_negative_count,666,first,2024-10-01,2025-03-31
3,farms_tested_positive_count,231,first,2024-10-01,2025-03-31
3,farms_tested_positive_retested_negative_count,101,first,2024-10-01,2025-03-31
3,farms_tested_positive_retested_positive_count,43,first,2024-10-01,2025-03-31
24,farms_tested_negative_count,112,first,2024-10-01,2025-03-31
24,farms_tested_positive_count,13,first,2024-10-01,2025-03-31
24,farms_tested_positive_retested_negative_count,3,first,2024-10-01,2025-03-31
24,farms_tested_positive_retested_positive_count,0,first,2024-10-01,2025-03-31
7,farms_tested_negative_count,63,first,2024-10-01,2025-03-31
7,farms_tested_positive_count,18,first,2024-10-01,2025-03-31
7,farms_tested_positive_retested_negative_count,3,first,2024-10-01,2025-03-31
7,farms_tested_positive_retested_positive_count,2,first,2024-10-01,2025-03-31
6,farms_tested_negative_count,87,first,2024-10-01,2025-03-31
6,farms_tested_positive_count,20,first,2024-10-01,2025-03-31
6,farms_tested_positive_retested_negative_count,7,first,2024-10-01,2025-03-31
6,farms_tested_positive_retested_positive_count,1,first,2024-10-01,2025-03-31
17,farms_tested_negative_count,603,first,2024-10-01,2025-03-31
17,farms_tested_positive_count,175,first,2024-10-01,2025-03-31
17,farms_tested_positive_retested_negative_count,19,first,2024-10-01,2025-03-31
17,farms_tested_positive_retested_positive_count,24,first,2024-10-01,2025-03-31
14,farms_tested_negative_count,69,first,2024-10-01,2025-03-31
14,farms_tested_positive_count,9,first,2024-10-01,2025-03-31
14,farms_tested_positive_retested_negative_count,1,first,2024-10-01,2025-03-31
14,farms_tested_positive_retested_positive_count,3,first,2024-10-01,2025-03-31
11,farms_tested_negative_count,277,first,2024-10-01,2025-03-31
11,farms_tested_positive_count,58,first,2024-10-01,2025-03-31
11,farms_tested_positive_retested_negative_count,16,first,2024-10-01,2025-03-31
11,farms_tested_positive_retested_positive_count,7,first,2024-10-01,2025-03-31
5,farms_tested_negative_count,246,first,2024-10-01,2025-03-31
5,farms_tested_positive_count,47,first,2024-10-01,2025-03-31
5,farms_tested_positive_retested_negative_count,9,first,2024-10-01,2025-03-31
5,farms_tested_positive_retested_positive_count,6,first,2024-10-01,2025-03-31
20,farms_tested_negative_count,366,first,2024-10-01,2025-03-31
20,farms_tested_positive_count,94,first,2024-10-01,2025-03-31
20,farms_tested_positive_retested_negative_count,21,first,2024-10-01,2025-03-31
20,farms_tested_positive_retested_positive_count,5,first,2024-10-01,2025-03-31
21,farms_tested_negative_count,231,first,2024-10-01,2025-03-31
21,farms_tested_positive_count,75,first,2024-10-01,2025-03-31
21,farms_tested_positive_retested_negative_count,20,first,2024-10-01,2025-03-31
21,farms_tested_positive_retested_positive_count,22,first,2024-10-01,2025-03-31
4,farms_tested_negative_count,129,first,2024-10-01,2025-03-31
4,farms_tested_positive_count,31,first,2024-10-01,2025-03-31
4,farms_tested_positive_retested_negative_count,11,first,2024-10-01,2025-03-31
4,farms_tested_positive_retested_positive_count,1,first,2024-10-01,2025-03-31
22,farms_tested_negative_count,420,first,2024-10-01,2025-03-31
22,farms_tested_positive_count,73,first,2024-10-01,2025-03-31
22,farms_tested_positive_retested_negative_count,24,first,2024-10-01,2025-03-31
22,farms_tested_positive_retested_positive_count,8,first,2024-10-01,2025-03-31
23,farms_tested_negative_count,590,first,2024-10-01,2025-03-31
23,farms_tested_positive_count,122,first,2024-10-01,2025-03-31
23,farms_tested_positive_retested_negative_count,74,first,2024-10-01,2025-03-31
23,farms_tested_positive_retested_positive_count,9,first,2024-10-01,2025-03-31
9,farms_tested_negative_count,99,first,2024-10-01,2025-03-31
9,farms_tested_positive_count,11,first,2024-10-01,2025-03-31
9,farms_tested_positive_retested_negative_count,2,first,2024-10-01,2025-03-31
9,farms_tested_positive_retested_positive_count,0,first,2024-10-01,2025-03-31
1,farms_tested_negative_count,638,first,2024-10-01,2025-03-31
1,farms_tested_positive_count,88,first,2024-10-01,2025-03-31
1,farms_tested_positive_retested_negative_count,25,first,2024-10-01,2025-03-31
1,farms_tested_positive_retested_positive_count,7,first,2024-10-01,2025-03-31
CHE,farms_tested_negative_count,8750,first,2024-10-01,2025-03-31
CHE,farms_tested_positive_count,2250,first,2024-10-01,2025-03-31
CHE,farms_tested_positive_retested_negative_count,828,first,2024-10-01,2025-03-31
CHE,farms_tested_positive_retested_positive_count,307,first,2024-10-01,2025-03-31
