Geschlecht,Sprachregion,Altersgruppe,Frage,Antwort,Anzahl
All,CH,All,c09B_12,a78,0
All,fr,10bis13,c09B_08,a78,0
All,fr,10bis13,c09B_01,a78,0
All,fr,10bis13,c09B_02,a78,0
All,fr,All,c09B_01,a78,0
All,fr,10bis13,c09B_03,a78,0
All,fr,10bis13,c09B_04,a78,0
All,fr,10bis13,c09B_05,a78,0
All,fr,10bis13,c09B_06,a78,0
All,de,All,c09B_12,a78,0
All,fr,10bis13,c09B_07,a78,0
All,fr,10bis13,c09B_09,a78,0
All,de,14bis17,c09B_04,a78,0
All,fr,10bis13,c09B_10,a78,0
All,fr,10bis13,c09B_11,a78,0
All,de,All,c09B_11,a78,0
All,fr,10bis13,c09B_12,a78,0
All,fr,14bis17,c09B_01,a78,0
All,fr,14bis17,c09B_02,a78,0
All,fr,14bis17,c09B_03,a78,0
All,de,All,c09B_10,a78,0
All,fr,14bis17,c09B_04,a78,0
All,fr,6bis9,c09B_12,a78,0
All,fr,6bis9,c09B_11,a78,0
All,fr,6bis9,c09B_10,a78,0
All,fr,All,c09B_02,a78,0
All,de,14bis17,c09B_06,a78,0
All,de,14bis17,c09B_07,a78,0
All,de,14bis17,c09B_08,a78,0
All,fr,All,c09B_05,a78,0
All,de,14bis17,c09B_09,a78,0
All,de,14bis17,c09B_10,a78,0
All,de,14bis17,c09B_11,a78,0
All,de,14bis17,c09B_12,a78,0
All,fr,All,c09B_04,a78,0
All,fr,6bis9,c09B_01,a78,0
All,fr,6bis9,c09B_02,a78,0
All,fr,6bis9,c09B_03,a78,0
All,fr,6bis9,c09B_04,a78,0
All,fr,6bis9,c09B_05,a78,0
All,fr,All,c09B_03,a78,0
All,fr,6bis9,c09B_06,a78,0
All,fr,6bis9,c09B_07,a78,0
All,fr,6bis9,c09B_08,a78,0
All,fr,6bis9,c09B_09,a78,0
All,fr,14bis17,c09B_05,a78,0
All,fr,14bis17,c09B_06,a78,0
All,fr,14bis17,c09B_07,a78,0
All,it,10bis13,c09B_02,a78,0
All,it,10bis13,c09B_03,a78,0
All,it,10bis13,c09B_04,a78,0
All,it,10bis13,c09B_05,a78,0
All,it,10bis13,c09B_06,a78,0
All,de,All,c09B_04,a78,0
All,it,10bis13,c09B_07,a78,0
All,it,10bis13,c09B_08,a78,0
All,it,10bis13,c09B_09,a78,0
All,it,10bis13,c09B_10,a78,0
