Antwort,DE,FR,IT,EN
a1,a) Jeden Tag,a) Chaque jour,a) Ogni giorno,a) Every day
a2,b) Mehrmals pro Woche,b) Plusieurs fois par semaine,b) Più volte alla settimana,b) Several times per week
a3,c) Etwa einmal pro Woche,c) Environ une fois par semaine,c) Circa una volta alla settimana,c) About once per week
a4,d) Weniger häufig,d) Moins souvent,d) Meno spesso,d) Less often
a5,e) Keine Antwort,e) Pas de réponse,e) Nessuna risposta,e) No answer
a11,a) ausgewogen,a) équilibré,a) equilibrato,a) balanced
a12,b) eher ausgewogen,b) plutôt équilibré,b) piuttosto equilibrato,b) rather balanced
a13,c) eher unausgewogen,c) plutôt déséquilibré,c) piuttosto squilibrato,c) rather unbalanced
a14,d) unausgewogen,d) déséquilibré,d) squilibrato,d) unbalanced
a15,e) Keine Antwort,e) Pas de réponse,e) Nessuna risposta,e) No answer
a21,a) Immer (7/7),a) Toujours (7/7),a) Sempre (7/7),a) Always (7/7)
a22,b) Häufig (4–6/7),b) Souvent (4–6/7),b) Spesso (4–6/7),b) Often (4–6/7)
a23,c) Gelegentlich (1–3/7),c) Parfois (1–3/7),c) Occasionalmente (1–3/7),c) Occasionally (1–3/7)
a24,d) Selten oder nie (<1/7),d) Rarement ou jamais (<1/7),d) Raramente o mai (<1/7),d) Rarely or never (<1/7)
a25,e) Keine Antwort,e) Pas de réponse,e) Nessuna risposta,e) No answer
a31,a) Nie,a) Jamais,a) Mai,a) Never
a32,b) 1 Tag,b) 1 jour,b) 1 giorno,b) 1 day
a33,c) 2 Tage,c) 2 jours,c) 2 giorni,c) 2 days
a34,d) 3 Tage,d) 3 jours,d) 3 giorni,d) 3 days
a35,e) 4 Tage,e) 4 jours,e) 4 giorni,e) 4 days
a36,f) 5 Tage,f) 5 jours,f) 5 giorni,f) 5 days
a37,g) Keine Antwort,g) Pas de réponse,g) Nessuna risposta,g) No answer
a41,a) Nie,a) Jamais,a) Mai,a) Never
a42,b) <1×/Monat,b) <1×/mois,b) <1×/mese,b) <1×/month
a43,c) 1–3×/Monat,c) 1–3×/mois,c) 1–3×/mese,c) 1–3×/month
a44,d) 1–3×/Woche,d) 1–3×/semaine,d) 1–3×/settimana,d) 1–3×/week
a45,e) 4–6×/Woche,e) 4–6×/semaine,e) 4–6×/settimana,e) 4–6×/week
a46,f) 1–2×/Tag,f) 1–2×/jour,f) 1–2×/giorno,f) 1–2×/day
a47,g) >3×/Tag,g) >3×/jour,g) >3×/giorno,g) >3×/day
a48,h) Keine Antwort,h) Pas de réponse,h) Nessuna risposta,h) No answer
a71,a) Nie,a) Jamais,a) Mai,a) Never
a72,b) <1×/Monat,b) <1×/mois,b) <1×/mese,b) <1×/month
a73,c) 1–3×/Monat,c) 1–3×/mois,c) 1–3×/mese,c) 1–3×/month
a74,d) 1–3×/Woche,d) 1–3×/semaine,d) 1–3×/settimana,d) 1–3×/week
a75,e) 4–6×/Woche,e) 4–6×/semaine,e) 4–6×/settimana,e) 4–6×/week
a76,f) 1–2×/Tag,f) 1–2×/jour,f) 1–2×/giorno,f) 1–2×/day
a77,g) >3×/Tag,g) >3×/jour,g) >3×/giorno,g) >3×/day
a78,h) Keine Antwort,h) Pas de réponse,h) Nessuna risposta,h) No answer
