Jahr;Produktgruppe;Hauptkategorie;Unterkategorie;Energiegehalt (kcal pro 100 g);Eiweiss (g pro 100 g);Fett (g pro 100 g);Kohlenhydrate (g pro 100 g);davon Zucker (g pro 100 g);Salz (g pro 100 g);Salz jodiert;Bio
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;133.0;6.4;4.9;15.0;2.0;1.0;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;117.0;7.7;5.4;8.3;1.0;1.1;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;127.0;5.9;7.5;8.3;1.0;1.1;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;151.0;7.3;7.3;13.0;1.0;0.7;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;126.0;4.5;5.9;13.0;1.2;0.9;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;151.0;7.2;7.1;13.6;1.1;0.7;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;130.0;7.8;4.0;15.0;0.9;1.2;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;135.0;7.8;4.1;16.0;0.9;1.3;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;125.0;7.4;3.1;16.0;0.9;1.1;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;121.0;7.0;2.8;16.0;0.8;1.2;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;120.0;6.8;2.9;16.0;0.7;1.2;ja;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fisch gekühlt/TK;90.0;4.8;0.8;15.4;1.5;0.7;nein;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fleisch Dose/ungekühlt;85.0;3.6;1.9;13.0;3.7;1.1;nein;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fleisch Dose/ungekühlt;92.0;4.1;2.4;13.0;3.5;1.3;nein;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fleisch Dose/ungekühlt;88.0;4.3;2.3;12.0;2.8;1.1;nein;nein
2024;Fertiggerichte;Fertigmahlzeiten;Fertigmahlzeit Fleisch Dose/ungekühlt;84.0;4.7;2.7;9.1;3.7;1.0;nein;nein
