Jahr;Produktgruppe;Firmencode;Kategorie gemäss Anhang Erklärung von Mailand;Energiegehalt (kcal pro 100 g);Eiweiss (g pro 100 g);Fett (g pro 100 g);Kohlenhydrate (g pro 100 g);davon Zucker (g pro 100 g) gemäss Verpackung;Zucker zugesetzt (g pro 100 g) berechnet;Neu eingeführt seit 2018;Zielgruppe Kinder;Proteinangereichert;Bio
2024;FSC;K;Crunchy;386.0;7.2;1.3;85.0;4.7;3.6;Ja;ja;nein;nein
2024;FSC;K;Crunchy;383.0;9.3;1.7;80.0;8.6;7.8;Nein;nein;nein;nein
2024;FSC;K;Crunchy;422.0;8.6;11.0;70.0;21.0;15.0;Ja;nein;nein;nein
2024;FSC;K;Crunchy;387.0;8.5;12.0;57.0;25.0;8.0;Nein;nein;nein;nein
2024;FSC;K;Crunchy;440.0;11.0;15.0;61.0;18.0;18.0;Nein;nein;nein;nein
2024;FSC;K;Crunchy;470.0;11.0;20.0;58.0;18.0;16.0;Nein;nein;nein;nein
2024;FSC;K;Crunchy;374.0;8.9;8.7;61.0;20.0;1.0;Ja;nein;nein;nein
2024;FSC;K;Bircher;411.0;12.0;12.0;60.0;15.0;12.0;Ja;nein;nein;ja
2024;FSC;K;Bircher;469.0;12.0;21.0;54.0;13.0;11.0;Ja;nein;nein;nein
2024;FSC;K;Extrudate;386.0;10.0;3.7;75.0;27.0;27.0;Ja;ja;nein;nein
2024;FSC;K;Extrudate;390.0;8.5;6.2;71.0;20.0;18.5;Ja;ja;nein;nein
2024;FSC;K;Crunchy;377.0;9.2;1.7;78.0;11.0;7.5;Nein;nein;nein;nein
2024;FSC;K;Crunchy;406.0;8.5;6.7;75.0;16.0;15.3;Nein;nein;nein;nein
2024;FSC;K;Extrudate;373.0;10.0;1.4;78.0;33.0;31.0;Nein;ja;nein;nein
2024;FSC;K;Bircher;342.0;8.9;5.2;60.0;20.0;19.0;Nein;nein;nein;nein
2024;FSC;K;Crunchy;368.0;11.0;9.3;54.0;11.0;0.4;Nein;nein;nein;nein
2024;FSC;K;Crunchy;379.0;12.0;7.4;62.0;3.0;2.4;Nein;nein;nein;nein
2024;FSC;K;Crunchy;383.0;12.0;8.1;62.0;8.0;7.2;Nein;nein;nein;nein
2024;FSC;K;Crunchy;437.0;12.0;15.0;58.0;12.0;10.6;Nein;nein;nein;nein
2024;FSC;K;Extrudate;488.0;7.0;22.0;63.0;31.0;31.0;Nein;ja;nein;nein
2024;FSC;K;Crunchy;438.0;9.3;15.0;61.0;19.0;18.8;Nein;nein;nein;nein
2024;FSC;K;Crunchy;443.0;12.0;16.0;58.0;13.0;10.0;Nein;nein;nein;nein
2024;FSC;K;Crunchy;446.0;11.0;16.0;59.0;13.0;9.7;Nein;nein;nein;nein
2024;FSC;K;Crunchy;410.0;28.0;10.0;46.0;10.0;9.6;Ja;nein;nein;nein
