Jahr;Produktgruppe;Firmencode;Kategorie gemäss Anhang Erklärung von Mailand;Basis: Tierische Milch;Basis: Pflanzlich;Energiegehalt (kcal pro 100 ml);Eiweiss (g pro 100 ml);Fett (g pro 100 ml);Kohlenhydrate (g pro 100 ml);davon Zucker (g pro 100 ml) gemäss Verpackung;Zucker zugesetzt (g pro 100 ml) berechnet;Neu eingeführt seit 2020;Zielgruppe Kinder;Proteinangereichert;Laktosefrei;Bio
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;56.0;3.0;1.2;8.2;8.2;4.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;56.0;2.9;0.0;11.0;11.0;8.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;59.0;2.8;2.7;5.8;5.7;1.9;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;59.0;3.0;1.3;8.6;8.5;4.3;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Aroma;ja;nein;64.0;2.9;0.0;13.0;13.0;8.6;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Aroma;ja;nein;64.0;2.9;0.0;13.0;13.0;11.4;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;64.0;3.0;0.9;11.0;11.0;7.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;65.0;3.5;1.2;9.8;9.6;5.2;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;65.0;3.5;1.2;9.8;9.6;5.2;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;65.0;3.0;1.0;11.0;11.0;7.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;71.0;2.9;0.9;12.2;12.1;8.1;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;71.0;2.9;0.9;12.4;12.2;8.8;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;72.0;2.9;0.9;12.6;12.5;9.1;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Aroma;ja;nein;73.0;2.7;0.9;11.7;11.5;8.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;73.0;1.6;3.2;9.3;8.2;6.6;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;74.0;1.6;3.2;9.6;8.4;6.9;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;76.0;1.9;3.2;9.6;8.2;5.7;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;77.0;2.9;0.9;13.9;13.8;8.1;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;77.0;3.0;4.1;6.8;6.8;2.5;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;79.0;2.8;4.1;7.7;7.7;3.7;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;79.0;2.6;1.4;11.9;11.5;8.3;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Aroma;ja;nein;80.0;2.7;1.5;11.9;11.5;8.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Frucht;ja;nein;109.0;3.6;5.5;11.3;10.3;5.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Frucht;ja;nein;111.0;3.5;5.4;12.1;10.9;5.8;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;115.0;3.7;6.0;11.3;10.2;6.7;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «mild»: Aroma;ja;nein;116.0;3.5;5.5;13.1;12.1;8.2;ja;nein;nein;nein;nein
2024;Milchmischgetränke;C;Basis «sauer»: Frucht;ja;nein;62.0;3.2;0.5;12.0;12.0;8.6;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «mild»: Aroma;ja;nein;63.0;3.5;1.2;9.1;8.9;4.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «sauer»: Aroma;ja;nein;69.0;2.6;1.5;10.8;10.3;7.9;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «mild»: Aroma;ja;nein;63.0;3.5;1.2;9.1;8.9;4.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «sauer»: Frucht;ja;nein;67.0;2.5;1.4;10.5;10.0;7.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «sauer»: Frucht;ja;nein;69.0;2.5;1.4;10.9;10.5;7.2;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «mild»: Aroma;ja;nein;52.0;3.3;0.8;7.8;7.4;2.9;ja;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «mild»: Aroma;ja;nein;56.0;3.3;1.2;7.9;7.5;3.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «mild»: Aroma;ja;nein;40.0;3.5;0.6;5.2;4.6;0.0;ja;nein;nein;ja;nein
2024;Milchmischgetränke;F;Basis «sauer»: Frucht;ja;nein;39.0;3.0;1.4;3.4;3.1;0.0;nein;nein;nein;ja;nein
2024;Milchmischgetränke;F;Basis «sauer»: Frucht;ja;nein;70.0;2.7;1.2;11.7;11.0;6.1;nein;nein;nein;ja;ja
2024;Milchmischgetränke;F;Basis «mild»: Aroma;ja;nein;63.0;3.5;1.2;9.1;8.9;4.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;F;Basis «mild»: Aroma;nein;ja;63.0;0.8;2.6;9.3;5.8;2.8;ja;nein;nein;ja;nein
2024;Milchmischgetränke;A;Basis «mild»: Aroma;ja;nein;240.0;3.6;1.2;7.9;7.8;3.5;nein;nein;ja;ja;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;77.0;2.6;1.4;12.5;12.4;9.0;nein;nein;nein;ja;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;75.0;2.6;1.4;12.1;12.0;8.6;nein;nein;nein;ja;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;76.0;2.6;1.4;12.3;12.2;8.6;nein;nein;nein;ja;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;60.0;2.6;1.4;8.2;8.0;4.2;ja;ja;nein;ja;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;73.0;2.6;1.5;11.7;11.1;7.1;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;71.0;2.6;1.5;11.0;10.5;7.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Aroma;ja;nein;71.0;2.7;1.6;11.1;10.8;7.9;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Aroma;ja;nein;74.0;2.8;1.6;11.7;11.2;8.1;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;82.0;2.8;1.5;13.5;13.2;9.6;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;81.0;2.8;1.5;13.4;13.1;9.2;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Aroma;ja;nein;89.0;2.8;1.4;15.7;14.6;11.7;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;62.0;3.5;1.0;9.3;9.2;4.7;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;55.0;3.3;0.4;9.3;9.2;4.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «sauer»: Frucht;ja;nein;67.0;2.8;0.3;12.5;12.5;8.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;74.0;3.3;1.6;11.1;9.3;4.9;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;84.0;3.6;2.3;11.7;9.7;5.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Frucht;ja;nein;74.0;3.3;1.5;11.8;10.0;5.5;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;75.0;3.4;1.6;11.3;9.2;4.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Frucht;ja;nein;76.0;3.2;1.5;12.1;10.0;4.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;nein;ja;63.0;2.0;2.3;7.8;5.9;5.6;ja;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;58.0;2.9;1.2;9.0;8.6;4.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;78.0;2.7;3.9;7.9;7.4;3.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;55.0;2.9;1.1;8.1;7.6;3.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;44.0;3.0;1.6;4.4;3.9;0.0;nein;nein;nein;ja;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;67.0;2.9;4.2;4.3;3.9;0.0;ja;nein;nein;ja;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;59.0;2.8;1.1;9.2;8.8;5.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;58.0;2.8;1.1;8.9;8.6;4.8;nein;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;60.0;3.2;1.4;8.5;8.2;4.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;66.0;3.0;2.7;7.4;7.1;3.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;I;Basis «mild»: Aroma;ja;nein;48.0;2.9;1.2;6.5;6.5;2.0;ja;nein;nein;ja;nein
2024;Milchmischgetränke;B;Basis «mild»: Aroma;ja;nein;73.0;3.2;2.4;9.8;9.1;5.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;B;Basis «sauer»: Aroma;ja;nein;68.0;2.9;0.1;13.9;13.9;9.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;B;Basis «sauer»: Aroma;ja;nein;71.0;2.8;0.1;14.6;14.6;9.9;nein;nein;nein;nein;nein
2024;Milchmischgetränke;B;Basis «sauer»: Aroma;ja;nein;74.0;3.2;0.1;14.9;14.7;10.4;nein;nein;nein;nein;nein
2024;Milchmischgetränke;B;Basis «sauer»: Aroma;ja;nein;73.0;1.8;1.6;12.8;12.8;6.9;nein;nein;nein;nein;nein
2024;Milchmischgetränke;E;Basis «sauer»: Frucht;ja;nein;62.9;2.6;1.5;9.5;9.5;6.1;;ja;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;97.5;3.5;4.3;11.0;11.0;5.6;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;66.4;3.7;1.1;10.0;10.0;4.7;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;58.1;2.8;1.0;9.3;8.4;5.1;;nein;;;
2024;Milchmischgetränke;E;Basis «sauer»: Frucht;ja;nein;81.3;2.7;1.4;13.0;10.0;7.5;;nein;;;
2024;Milchmischgetränke;E;Basis «sauer»: Frucht;ja;nein;76.5;2.6;1.4;12.0;9.7;6.9;;nein;;;
2024;Milchmischgetränke;E;Basis «sauer»: Aroma;ja;nein;82.2;3.3;1.8;13.0;11.0;8.7;;nein;;;
2024;Milchmischgetränke;E;Basis «sauer»: Frucht;ja;nein;78.9;2.9;1.6;13.0;12.0;7.8;;nein;;;
2024;Milchmischgetränke;E;Basis «sauer»: Frucht;ja;nein;76.5;3.1;1.7;12.0;11.0;7.8;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;55.2;3.3;1.2;7.7;7.0;2.3;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;63.8;3.4;1.8;8.4;7.8;3.3;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;57.8;3.7;0.8;8.8;8.6;3.9;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;55.0;3.7;1.9;5.6;4.9;0.0;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;80.8;3.5;4.0;7.6;7.2;2.6;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;68.6;3.4;2.0;9.0;8.4;4.5;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Aroma;ja;nein;62.9;7.3;1.5;4.9;4.9;0.0;;nein;;;
2024;Milchmischgetränke;E;Basis «mild»: Frucht;ja;nein;68.6;7.2;1.5;6.4;5.8;0.0;;nein;;;
2024;Milchmischgetränke;G;Basis «mild»: Aroma;ja;nein;73.0;2.8;3.0;8.6;8.4;3.9;ja;nein;nein;nein;nein
2024;Milchmischgetränke;G;Basis «mild»: Aroma;ja;nein;39.0;2.8;1.3;3.6;3.6;0.0;ja;nein;nein;ja;nein
2024;Milchmischgetränke;G;Basis «mild»: Aroma;ja;nein;64.0;3.5;1.0;9.7;9.5;5.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;D;Basis «mild»: Aroma;ja;nein;94.0;3.0;2.0;15.7;9.8;2.0;ja;nein;nein;nein;nein
2024;Milchmischgetränke;D;Basis «mild»: Aroma;ja;nein;77.0;3.1;2.0;11.6;9.2;3.7;nein;nein;nein;nein;nein
2024;Milchmischgetränke;D;Basis «mild»: Aroma;ja;nein;80.0;7.4;1.1;10.5;7.0;2.9;ja;nein;ja;ja;nein
2024;Milchmischgetränke;D;Basis «mild»: Aroma;ja;nein;64.0;3.5;1.7;8.2;7.9;5.7;ja;nein;nein;nein;nein
2024;Milchmischgetränke;H;Basis «sauer»: Frucht;ja;nein;71.0;2.8;1.5;10.7;10.6;7.6;nein;ja;nein;nein;nein
2024;Milchmischgetränke;H;Basis «sauer»: Frucht;ja;nein;79.0;2.8;1.5;12.7;12.5;10.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;H;Basis «sauer»: Frucht;ja;nein;74.0;2.8;1.5;11.3;11.1;8.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;H;Basis «sauer»: Frucht;ja;nein;76.0;2.8;1.5;12.0;11.9;9.0;nein;nein;nein;nein;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;30.0;0.3;0.8;4.9;4.9;4.9;ja;nein;nein;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;35.0;1.5;0.8;4.9;4.9;4.9;ja;nein;nein;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;50.0;0.8;2.8;5.2;4.5;4.5;ja;nein;nein;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;79.0;3.1;3.9;7.4;7.0;7.0;ja;nein;nein;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;61.0;3.1;1.8;7.9;7.6;7.6;ja;nein;nein;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;71.0;6.0;2.8;5.0;4.9;4.9;ja;nein;ja;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;69.0;5.0;2.9;5.3;5.0;5.0;ja;nein;ja;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;57.0;3.0;1.8;6.7;6.7;6.7;ja;nein;nein;ja;nein
2024;Milchmischgetränke;H;Basis «mild»: Aroma;nein;ja;54.0;3.3;1.9;5.7;5.7;5.7;ja;nein;nein;ja;ja
