Jahr;Produktgruppe;Firmencode;Kategorie gemäss Anhang Erklärung von Mailand;Basis: Tierische Milch;Basis: Pflanzlich;Energiegehalt (kcal pro 100 g);Eiweiss (g pro 100 g);Fett (g pro 100 g);Kohlenhydrate (g pro 100 g);davon Zucker (g pro 100 g) gemäss Verpackung;Zucker zugesetzt (g pro 100 g) berechnet;Neu eingeführt seit 2020;Zielgruppe Kinder;Proteinangereichert;Laktosefrei;Bio
2024;Quark;F;Frucht;Ja;Nein;75.0;9.3;0.2;8.6;8.2;6.5;nein;Nein;nein;Nein;Nein
2024;Quark;F;Aroma;Ja;Nein;78.0;8.8;0.2;9.2;8.3;5.0;nein;Nein;nein;Nein;Nein
2024;Quark;F;Frucht;Ja;Nein;93.0;5.6;2.9;11.0;10.0;6.0;nein;Ja;nein;Nein;Nein
2024;Quark;F;Frucht;Ja;Nein;131.0;5.5;3.3;15.8;14.1;13.5;ja;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;104.0;7.1;2.6;13.0;11.9;8.1;nein;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;115.0;6.3;4.2;12.8;11.3;8.6;nein;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;115.0;6.3;4.2;12.8;11.3;8.5;nein;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;100.0;7.1;2.6;12.0;10.9;8.1;nein;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;101.0;7.1;2.6;12.1;11.0;8.1;nein;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;103.0;7.0;2.6;12.6;11.2;8.5;nein;Nein;nein;Nein;Nein
2024;Quark;A;Frucht;Ja;Nein;103.0;6.4;3.3;12.0;9.4;7.0;ja;Nein;nein;Nein;Ja
2024;Quark;B;Frucht;Ja;Nein;116.0;6.3;4.2;12.6;11.0;8.5;nein;Ja;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;117.0;6.3;4.2;12.8;11.3;8.5;nein;Ja;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;116.0;6.3;4.2;12.7;11.3;8.5;nein;Ja;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;104.0;7.1;2.6;12.0;10.9;8.1;nein;Nein;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;105.0;7.1;2.6;12.6;11.2;8.5;nein;Nein;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;104.0;7.1;2.6;12.1;11.0;8.1;nein;Nein;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;107.0;7.1;2.6;13.0;11.9;8.3;nein;Nein;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;115.0;6.3;4.2;12.3;10.9;8.4;nein;Ja;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;119.0;6.3;4.2;13.3;11.8;8.7;nein;Ja;nein;Nein;Nein
2024;Quark;B;Frucht;Ja;Nein;117.0;6.3;4.2;12.6;11.2;8.7;nein;Ja;nein;Nein;Nein
2024;Quark;C;Frucht;Ja;Nein;105.0;7.3;3.0;12.2;11.9;8.5;nein;Nein;nein;Nein;Nein
2024;Quark;C;Frucht;Ja;Nein;110.0;7.3;3.0;13.4;13.1;9.0;nein;Nein;nein;Nein;Nein
2024;Quark;C;Frucht;Ja;Nein;104.0;7.3;3.0;12.0;11.6;8.2;nein;Nein;nein;Nein;Nein
2024;Quark;C;Aroma;Ja;Nein;108.0;7.5;3.1;12.5;12.3;9.2;nein;Nein;nein;Nein;Nein
2024;Quark;C;Frucht;Ja;Nein;106.0;7.3;3.0;12.5;12.3;8.9;nein;Nein;nein;Nein;Nein
2024;Quark;C;Aroma;Ja;Nein;111.0;6.8;4.1;11.5;11.4;8.0;nein;Nein;nein;Nein;Nein
