Jahr;Produktgruppe;Firmencode;Kategorie gemäss Anhang Erklärung von Mailand;Energiegehalt (kcal pro 100 ml);Eiweiss (g pro 100 ml);Fett (g pro 100 ml);Kohlenhydrate (g pro 100 ml);davon Zucker (g pro 100 ml) gemäss Verpackung;Neu eingeführt seit 2021;Zielgruppe Kinder
2024;Erfrischungsgetränke;P;Eistee;15.0;0;0;3.6;3.6;ja;nein
2024;Erfrischungsgetränke;P;Eistee;14.6;0;0;3.6;3.6;ja;nein
2024;Erfrischungsgetränke;P;Süssgetränke, mit Kohlensäure;33.0;<0.1;<0.1;7.7;7.7;ja;nein
2024;Erfrischungsgetränke;P;Eistee;25.0;0;0;6.0;6.0;ja;nein
2024;Erfrischungsgetränke;P;Süssgetränke, mit Kohlensäure;20.0;0;0;5.0;5.0;ja;nein
2024;Erfrischungsgetränke;P;Süssgetränke, mit Kohlensäure;23.0;<0.5;<0.5;5.5;5.5;ja;nein
2024;Erfrischungsgetränke;P;Süssgetränke, mit Kohlensäure;21.0;<0.5;<0.5;5.2;5.2;ja;nein
2024;Erfrischungsgetränke;P;Süssgetränke, mit Kohlensäure;0.1;0;0;0.0;0.0;ja;nein
2024;Erfrischungsgetränke;P;Süssgetränke, mit Kohlensäure;13.4;0;0;3.3;3.3;ja;nein
2024;Erfrischungsgetränke;E;Eistee;20.0;0;0;5.0;5.0;ja;nein
2024;Erfrischungsgetränke;E;Eistee;20.0;0;0;5.0;5.0;ja;nein
2024;Erfrischungsgetränke;E;Eistee;27.0;0.5;0.5;6.7;6.7;ja;nein
2024;Erfrischungsgetränke;E;Süssgetränke, mit Kohlensäure;27.0;0.5;0.5;6.7;6.7;nein;nein
2024;Erfrischungsgetränke;E;Eistee;30.0;0;0.5;7.3;7.3;ja;nein
2024;Erfrischungsgetränke;E;Eistee;30.0;0.5;0.5;7.3;7.3;nein;nein
2024;Erfrischungsgetränke;E;Eistee;30.0;0.5;0.5;7.4;7.3;nein;nein
2024;Erfrischungsgetränke;E;Eistee;31.0;0.5;0.5;7.5;7.4;ja;nein
